file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7C736D,0,,,,,record0:segment0:timing0-0,,何かロック部分を壊す手段は無いか？,糸鋸だ スネーク\n糸鋸を使えば脱出できる,,,,NOT_CHECKED,51,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C736D,1,,,,,record1:segment0:timing0-0,何かロック部分を壊す手段は無いか？,糸鋸だ スネーク\n糸鋸を使えば脱出できる,どうにかしてロックを解除できないか？,,,,NOT_CHECKED,57,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C736D,2,,,,,record2:segment0:timing0-0,糸鋸だ スネーク\n糸鋸を使えば脱出できる,どうにかしてロックを解除できないか？,IDカードはどうした？\nカードを使うんだ スネーク,,,,NOT_CHECKED,54,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C736D,3,,,,,record3:segment0:timing0-0,どうにかしてロックを解除できないか？,IDカードはどうした？\nカードを使うんだ スネーク,糸鋸を持っていかれたのか…,,,,NOT_CHECKED,68,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C736D,4,,,,,record4:segment0:timing66-105,IDカードはどうした？\nカードを使うんだ スネーク,糸鋸を持っていかれたのか…,他に何か手はないのか？,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C736D,5,,,,,record4:segment1:timing0-0,糸鋸を持っていかれたのか…,他に何か手はないのか？,IDカードを没収されたか…,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C736D,6,,,,,record5:segment0:timing74-118,他に何か手はないのか？,IDカードを没収されたか…,他に脱出する手段はないか…,,,,NOT_CHECKED,35,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C736D,7,,,,,record5:segment1:timing0-0,IDカードを没収されたか…,他に脱出する手段はないか…,糸鋸もIDカードも失ったか…,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C736D,8,,,,,record6:segment0:timing71-131,他に脱出する手段はないか…,糸鋸もIDカードも失ったか…,何か別の方法を考えるしかないな,,,,NOT_CHECKED,38,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C736D,9,,,,,record6:segment1:timing0-0,糸鋸もIDカードも失ったか…,何か別の方法を考えるしかないな,じっとしていても仕方がない,,,,NOT_CHECKED,45,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C736D,10,,,,,record7:segment0:timing40-112,何か別の方法を考えるしかないな,じっとしていても仕方がない,幸い二人だ\n一人じゃ無理なことも出来る,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
