file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7AF36D,0,,,,,record0:segment0:timing0-0,,さっきの戦闘のおかげで警戒が厳重なままだ\n見つかるなよ,警戒が厳しい\n気をつけて進んでくれ,,,,NOT_CHECKED,80,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,1,,,,,record1:segment0:timing0-0,さっきの戦闘のおかげで警戒が厳重なままだ\n見つかるなよ,警戒が厳しい\n気をつけて進んでくれ,そのエレベーターで地下まで行けそうだな,,,,NOT_CHECKED,50,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,2,,,,,record2:segment0:timing0-0,警戒が厳しい\n気をつけて進んでくれ,そのエレベーターで地下まで行けそうだな,エレベーター前の警備が手薄になったな\n今なら行けそうだ！,,,,NOT_CHECKED,57,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,3,,,,,record3:segment0:timing0-0,そのエレベーターで地下まで行けそうだな,エレベーター前の警備が手薄になったな\n今なら行けそうだ！,ピースウォーカーは地下にいる\nエレベーターを使うんだ,,,,NOT_CHECKED,83,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,4,,,,,record4:segment0:timing0-0,エレベーター前の警備が手薄になったな\n今なら行けそうだ！,ピースウォーカーは地下にいる\nエレベーターを使うんだ,エレベーターに乗るには\n操作ボタンの前で<I=ACT>を押すんだ,,,,NOT_CHECKED,77,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,5,,,,,record5:segment0:timing0-0,ピースウォーカーは地下にいる\nエレベーターを使うんだ,エレベーターに乗るには\n操作ボタンの前で<I=ACT>を押すんだ,エレベーターが到着するまでどこかに隠れるんだ\n見つかるなよ,<I=ACT>,,,NOT_CHECKED,81,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,6,,,,,record6:segment0:timing0-0,エレベーターに乗るには\n操作ボタンの前で<I=ACT>を押すんだ,エレベーターが到着するまでどこかに隠れるんだ\n見つかるなよ,警戒状態でエレベーターに乗るのは危険だ！,,,,NOT_CHECKED,86,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,7,,,,,record7:segment0:timing64-102,エレベーターが到着するまでどこかに隠れるんだ\n見つかるなよ,警戒状態でエレベーターに乗るのは危険だ！,警戒が解かれるまで待て,,,,NOT_CHECKED,60,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,8,,,,,record7:segment1:timing0-0,警戒状態でエレベーターに乗るのは危険だ！,警戒が解かれるまで待て,敵に見つかったままエレベーターに乗るのは危険だ！\nしばらく身を隠せ！,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,9,,,,,record8:segment0:timing0-0,警戒が解かれるまで待て,敵に見つかったままエレベーターに乗るのは危険だ！\nしばらく身を隠せ！,エレベーターに乗り込むのは難しそうだな…\n他に地下へ降りるルートはないか？,,,,NOT_CHECKED,101,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF36D,10,,,,,record9:segment0:timing0-0,敵に見つかったままエレベーターに乗るのは危険だ！\nしばらく身を隠せ！,エレベーターに乗り込むのは難しそうだな…\n他に地下へ降りるルートはないか？,警戒レベルが高いとその扉は開かないようだな,,,,NOT_CHECKED,110,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
