file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7BF36D,0,,,,,record0:segment0:timing0-0,,よし ピースウォーカーまであと一息だ！\n急いでくれ！,そのシャッター 力を込めれば…\n<I=ACT>の連打で開けてみるんだ！,,,,NOT_CHECKED,75,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,1,,,,,record1:segment0:timing0-0,よし ピースウォーカーまであと一息だ！\n急いでくれ！,そのシャッター 力を込めれば…\n<I=ACT>の連打で開けてみるんだ！,そのシャッター 力を込めれば…\n<I=ACT>で開けてみるんだ！,<I=ACT>,,,NOT_CHECKED,88,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,2,,,,,record2:segment0:timing0-0,そのシャッター 力を込めれば…\n<I=ACT>の連打で開けてみるんだ！,そのシャッター 力を込めれば…\n<I=ACT>で開けてみるんだ！,シャッターは<I=ACT>を押して開けるんだ！,<I=ACT>,,,NOT_CHECKED,79,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,3,,,,,record3:segment0:timing0-0,そのシャッター 力を込めれば…\n<I=ACT>で開けてみるんだ！,シャッターは<I=ACT>を押して開けるんだ！,シャッターは<I=ACT>で開くんだ！,<I=ACT>,,,NOT_CHECKED,55,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,4,,,,,record4:segment0:timing0-0,シャッターは<I=ACT>を押して開けるんだ！,シャッターは<I=ACT>で開くんだ！,『アイコン』が出たら <I=ACT>を押して,<I=ACT>,,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,5,,,,,record5:segment0:timing0-0,シャッターは<I=ACT>で開くんだ！,『アイコン』が出たら <I=ACT>を押して,そのシャッターを開けるには<I=ACT>よ！,<I=ACT>,,,NOT_CHECKED,50,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,6,,,,,record6:segment0:timing0-0,『アイコン』が出たら <I=ACT>を押して,そのシャッターを開けるには<I=ACT>よ！,そのシャッターの奥にピースウォーカーが…\nよし <I=ACT>でシャッターを開けてくれ,<I=ACT>,,,NOT_CHECKED,52,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,7,,,,,record7:segment0:timing0-0,そのシャッターを開けるには<I=ACT>よ！,そのシャッターの奥にピースウォーカーが…\nよし <I=ACT>でシャッターを開けてくれ,ピースウォーカーは目と鼻の先だ\nシャッターを越えて奥へ進んでくれ,<I=ACT>,,,NOT_CHECKED,112,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,8,,,,,record8:segment0:timing0-0,そのシャッターの奥にピースウォーカーが…\nよし <I=ACT>でシャッターを開けてくれ,ピースウォーカーは目と鼻の先だ\nシャッターを越えて奥へ進んでくれ,正面突破は無理か…待てよ \n上の階層から回り込めば…？,,,,NOT_CHECKED,95,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,9,,,,,record9:segment0:timing0-0,ピースウォーカーは目と鼻の先だ\nシャッターを越えて奥へ進んでくれ,正面突破は無理か…待てよ \n上の階層から回り込めば…？,よし いいぞ！\n一気にピースウォーカーの格納庫へ進むんだ！,,,,NOT_CHECKED,78,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,10,,,,,record10:segment0:timing0-0,正面突破は無理か…待てよ \n上の階層から回り込めば…？,よし いいぞ！\n一気にピースウォーカーの格納庫へ進むんだ！,やったね さすが！\n名人も真っ青な連打だったよ！,,,,NOT_CHECKED,84,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,11,,,,,record11:segment0:timing98-171,よし いいぞ！\n一気にピースウォーカーの格納庫へ進むんだ！,やったね さすが！\n名人も真っ青な連打だったよ！,さあ ピースウォーカーまであと少しだ！,,,,NOT_CHECKED,69,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,12,,,,,record11:segment1:timing0-0,やったね さすが！\n名人も真っ青な連打だったよ！,さあ ピースウォーカーまであと少しだ！,ピースウォーカーの格納庫を探し出し\nAIポッドを破壊するんだ,,,,NOT_CHECKED,55,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,13,,,,,record12:segment0:timing0-0,さあ ピースウォーカーまであと少しだ！,ピースウォーカーの格納庫を探し出し\nAIポッドを破壊するんだ,どこかにピースウォーカーの格納庫があるはずだ,,,,NOT_CHECKED,85,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,14,,,,,record13:segment0:timing0-0,ピースウォーカーの格納庫を探し出し\nAIポッドを破壊するんだ,どこかにピースウォーカーの格納庫があるはずだ,時間がない\nピースウォーカーの格納庫へ向かってくれ,,,,NOT_CHECKED,66,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,15,,,,,record14:segment0:timing0-0,どこかにピースウォーカーの格納庫があるはずだ,時間がない\nピースウォーカーの格納庫へ向かってくれ,ピースウォーカーは起動準備中だ\n急いでくれ！,,,,NOT_CHECKED,74,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7BF36D,16,,,,,record15:segment0:timing0-0,時間がない\nピースウォーカーの格納庫へ向かってくれ,ピースウォーカーは起動準備中だ\n急いでくれ！,,,,,NOT_CHECKED,65,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
