file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7AF3AD,0,,,,,record0:segment0:timing0-0,,ピースウォーカーを制御している管制塔は北東にある,一旦来た道を東へ戻ってくれ\nそこから北を目指すんだ,,,,NOT_CHECKED,72,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,1,,,,,record1:segment0:timing0-0,ピースウォーカーを制御している管制塔は北東にある,一旦来た道を東へ戻ってくれ\nそこから北を目指すんだ,ここは隠れる場所が少なすぎるな…\n注意してくれ,,,,NOT_CHECKED,74,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,2,,,,,record2:segment0:timing0-0,一旦来た道を東へ戻ってくれ\nそこから北を目指すんだ,ここは隠れる場所が少なすぎるな…\n注意してくれ,嫌な予感がする…\nこういう場所は待ち伏せを受けやすい…,,,,NOT_CHECKED,68,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,3,,,,,record3:segment0:timing0-0,ここは隠れる場所が少なすぎるな…\n注意してくれ,嫌な予感がする…\nこういう場所は待ち伏せを受けやすい…,管制塔が見えるか!？\n先を急いでくれ！,,,,NOT_CHECKED,80,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,4,,,,,record4:segment0:timing0-0,嫌な予感がする…\nこういう場所は待ち伏せを受けやすい…,管制塔が見えるか!？\n先を急いでくれ！,管制塔へ急ぐんだ！,,,,NOT_CHECKED,54,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,5,,,,,record5:segment0:timing0-0,管制塔が見えるか!？\n先を急いでくれ！,管制塔へ急ぐんだ！,落ちたら命はないぞ\n気をつけてくれ,,,,NOT_CHECKED,27,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,6,,,,,record6:segment0:timing0-0,管制塔へ急ぐんだ！,落ちたら命はないぞ\n気をつけてくれ,気をつけて 鳥と違って人間は飛べないのよ,,,,NOT_CHECKED,50,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,7,,,,,record7:segment0:timing0-0,落ちたら命はないぞ\n気をつけてくれ,気をつけて 鳥と違って人間は飛べないのよ,落ちるなよ…君のユニフォームに\nロケットブースターでもついてるならいいけど…,,,,NOT_CHECKED,58,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,8,,,,,record8:segment0:timing0-0,気をつけて 鳥と違って人間は飛べないのよ,落ちるなよ…君のユニフォームに\nロケットブースターでもついてるならいいけど…,通信塔を目指すんだ\n西へ向かってくれ,,,,NOT_CHECKED,113,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,9,,,,,record9:segment0:timing0-0,落ちるなよ…君のユニフォームに\nロケットブースターでもついてるならいいけど…,通信塔を目指すんだ\n西へ向かってくれ,核が撃たれれば鳥たちもたくさん死ぬわ…,,,,NOT_CHECKED,53,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,10,,,,,record10:segment0:timing0-0,通信塔を目指すんだ\n西へ向かってくれ,核が撃たれれば鳥たちもたくさん死ぬわ…,頼む 核発射を阻止してくれ！,,,,NOT_CHECKED,57,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,11,,,,,record11:segment0:timing0-0,核が撃たれれば鳥たちもたくさん死ぬわ…,頼む 核発射を阻止してくれ！,核発射を止めてくれ！\n管制塔に向かうんだ！,,,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,12,,,,,record12:segment0:timing0-0,頼む 核発射を阻止してくれ！,核発射を止めてくれ！\n管制塔に向かうんだ！,鳥が…海鳥が殺される…\n核発射を止めて…,,,,NOT_CHECKED,62,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,13,,,,,record13:segment0:timing0-0,核発射を止めてくれ！\n管制塔に向かうんだ！,鳥が…海鳥が殺される…\n核発射を止めて…,管制塔に向かってくれ！,,,,NOT_CHECKED,59,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,14,,,,,record14:segment0:timing0-0,鳥が…海鳥が殺される…\n核発射を止めて…,管制塔に向かってくれ！,間違いない そこはソ連兵が抑えたようだ\n一体何があったんだ…？,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,15,,,,,record15:segment0:timing0-0,管制塔に向かってくれ！,間違いない そこはソ連兵が抑えたようだ\n一体何があったんだ…？,ソ連の兵隊さん…？\n確かに私を捕まえた人達とは格好が違うわね,,,,NOT_CHECKED,90,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,16,,,,,record16:segment0:timing0-0,間違いない そこはソ連兵が抑えたようだ\n一体何があったんだ…？,ソ連の兵隊さん…？\n確かに私を捕まえた人達とは格好が違うわね,チャフだ！　\nチャフグレネードで奴の動きを止めろ！,,,,NOT_CHECKED,89,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,17,,,,,record17:segment0:timing0-0,ソ連の兵隊さん…？\n確かに私を捕まえた人達とは格好が違うわね,チャフだ！　\nチャフグレネードで奴の動きを止めろ！,あいつは測的のために時々ホバリングする\nそこを狙うんだ！,,,,NOT_CHECKED,74,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,18,,,,,record18:segment0:timing0-0,チャフだ！　\nチャフグレネードで奴の動きを止めろ！,あいつは測的のために時々ホバリングする\nそこを狙うんだ！,電子妨害用の武器も効果があるはずだよ！,,,,NOT_CHECKED,83,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7AF3AD,19,,,,,record19:segment0:timing0-0,あいつは測的のために時々ホバリングする\nそこを狙うんだ！,電子妨害用の武器も効果があるはずだよ！,,,,,NOT_CHECKED,57,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
