file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7C73AD,0,,,,,record0:segment0:timing0-0,,ゲートが…！\n閉まり切る前に通り抜けろ！,こんな所でRPG！？\nムチャクチャだ！,,,,NOT_CHECKED,59,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,1,,,,,record1:segment0:timing0-0,ゲートが…！\n閉まり切る前に通り抜けろ！,こんな所でRPG！？\nムチャクチャだ！,遠慮いらねえぞ\nあんな奴らはみんなやっつけちまえ！,,,,NOT_CHECKED,50,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,2,,,,,record2:segment0:timing0-0,こんな所でRPG！？\nムチャクチャだ！,遠慮いらねえぞ\nあんな奴らはみんなやっつけちまえ！,早くエレベーターに乗るんだ,,,,NOT_CHECKED,74,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,3,,,,,record3:segment0:timing0-0,遠慮いらねえぞ\nあんな奴らはみんなやっつけちまえ！,早くエレベーターに乗るんだ,どうした？\nエレベーターが怖いの？,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,4,,,,,record4:segment0:timing0-0,早くエレベーターに乗るんだ,どうした？\nエレベーターが怖いの？,急げ！\nゲートが閉まる!!,,,,NOT_CHECKED,50,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,5,,,,,record5:segment0:timing0-0,どうした？\nエレベーターが怖いの？,急げ！\nゲートが閉まる!!,ゲートを閉じさせるな！ <I=ACT>だ \n<I=ACT>でゲートを支えるんだ！,,,,NOT_CHECKED,34,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,6,,,,,record6:segment0:timing0-0,急げ！\nゲートが閉まる!!,ゲートを閉じさせるな！ <I=ACT>だ \n<I=ACT>でゲートを支えるんだ！,仲間が通過するのを助けるんだ！,<I=ACT> | <I=ACT>,,,NOT_CHECKED,87,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,7,,,,,record7:segment0:timing60-147,ゲートを閉じさせるな！ <I=ACT>だ \n<I=ACT>でゲートを支えるんだ！,仲間が通過するのを助けるんだ！,ゲートのそばで<I=ACT>を押せ\nゲートの閉鎖を止めるんだ！,,,,NOT_CHECKED,45,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,8,,,,,record7:segment1:timing0-0,仲間が通過するのを助けるんだ！,ゲートのそばで<I=ACT>を押せ\nゲートの閉鎖を止めるんだ！,『アイコン』が出たら<I=ACT>を押すんだ\nゲートを支えて仲間を通してやってくれ！,<I=ACT>,,,NOT_CHECKED,78,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,9,,,,,record8:segment0:timing0-0,ゲートのそばで<I=ACT>を押せ\nゲートの閉鎖を止めるんだ！,『アイコン』が出たら<I=ACT>を押すんだ\nゲートを支えて仲間を通してやってくれ！,閉じたゲートはこじ開けて進むしかない,<I=ACT>,,,NOT_CHECKED,111,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7C73AD,10,,,,,record9:segment0:timing62-143,『アイコン』が出たら<I=ACT>を押すんだ\nゲートを支えて仲間を通してやってくれ！,閉じたゲートはこじ開けて進むしかない,『アイコン』が表示されたら<I=ACT>を\n連打してこじ開けろ！,,,,NOT_CHECKED,54,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
