kind,x0,y0,x1,y1,width,height,nonzero_pixels,overlaps_existing_glyph_rect,supports_66x66,notes
MAX_EMPTY_REGION,0,805,2048,1024,2048,219,0,NO,YES,Conservative all-zero region below max existing v1=804
GRID_SLOT,0,805,66,871,66,66,0,NO,YES,recommended
GRID_SLOT,66,805,132,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,132,805,198,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,198,805,264,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,264,805,330,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,330,805,396,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,396,805,462,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,462,805,528,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,528,805,594,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,594,805,660,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,660,805,726,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,726,805,792,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,792,805,858,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,858,805,924,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,924,805,990,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,990,805,1056,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1056,805,1122,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1122,805,1188,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1188,805,1254,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1254,805,1320,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1320,805,1386,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1386,805,1452,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1452,805,1518,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1518,805,1584,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1584,805,1650,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1650,805,1716,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1716,805,1782,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1782,805,1848,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1848,805,1914,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1914,805,1980,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,1980,805,2046,871,66,66,0,NO,YES,available zero slot
GRID_SLOT,0,871,66,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,66,871,132,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,132,871,198,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,198,871,264,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,264,871,330,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,330,871,396,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,396,871,462,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,462,871,528,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,528,871,594,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,594,871,660,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,660,871,726,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,726,871,792,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,792,871,858,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,858,871,924,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,924,871,990,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,990,871,1056,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1056,871,1122,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1122,871,1188,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1188,871,1254,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1254,871,1320,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1320,871,1386,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1386,871,1452,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1452,871,1518,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1518,871,1584,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1584,871,1650,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1650,871,1716,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1716,871,1782,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1782,871,1848,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1848,871,1914,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1914,871,1980,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,1980,871,2046,937,66,66,0,NO,YES,available zero slot
GRID_SLOT,0,937,66,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,66,937,132,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,132,937,198,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,198,937,264,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,264,937,330,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,330,937,396,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,396,937,462,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,462,937,528,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,528,937,594,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,594,937,660,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,660,937,726,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,726,937,792,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,792,937,858,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,858,937,924,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,924,937,990,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,990,937,1056,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,1056,937,1122,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,1122,937,1188,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,1188,937,1254,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,1254,937,1320,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,1320,937,1386,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,1386,937,1452,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,1452,937,1518,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,1518,937,1584,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,1584,937,1650,1003,66,66,0,NO,YES,available zero slot
GRID_SLOT,1650,937,1716,1003,66,66,0,NO,YES,available zero slot
