"case_id","scene","visual_failure","resource_class","file_id","unique_index","production_text","probe_char","codepoint","character_role","BIG_CN","SMALL_CN","SMALL_JPN","BIG_CN_glyph","SMALL_CN_glyph","SMALL_JPN_glyph","route_hypothesis","disposition","verification"
"CASE-001","拘束教程/投出","拘字显示为缺字或异常","LOOSE_OLANG","007E2F18","1039","要把拘束中的对手投出去，\n拘束时输入<I=MOVE>。","拘","U+62D8","missing glyph","NO","NO","NO","","","","BIG_CN/SMALL_CN/SMALL_JPN 均无 U+62D8","STATIC_CONFIRMED","生产源与三套 charmap 已对齐"
"CASE-002","CQC教程","拘字显示为缺字或异常","SLOT_OLANG","5D3B3A9A","10","CQC／拘束","拘","U+62D8","missing glyph","NO","NO","NO","","","","BIG_CN/SMALL_CN/SMALL_JPN 均无 U+62D8","STATIC_CONFIRMED","生产源与三套 charmap 已对齐"
"CASE-003","拘束教程","拘字显示为缺字或异常","LOOSE_OLANG","007E2F18","1034","要拘束对手，\n在对手附近长按<I=CQC>。","拘","U+62D8","missing glyph","NO","NO","NO","","","","BIG_CN/SMALL_CN/SMALL_JPN 均无 U+62D8","STATIC_CONFIRMED","生产源与三套 charmap 已对齐"
"CASE-004","敌人昏厥说明","厥字显示为缺字或异常","SLOT_OLANG","5D420130","122","被击中的对手会承受不住而昏厥","厥","U+53A5","missing glyph","NO","NO","NO","","","","BIG_CN/SMALL_CN/SMALL_JPN 均无 U+53A5","STATIC_CONFIRMED","生产源与三套 charmap 已对齐"
"CASE-005","Boss语音字幕","磋字显示为缺字或异常","SLOT_OLANG","5DDB94DF","2","Boss，请和我切磋！","磋","U+78CB","missing glyph","NO","NO","NO","","","","BIG_CN/SMALL_CN/SMALL_JPN 均无 U+78CB","STATIC_CONFIRMED","生产源与三套 charmap 已对齐"
"CASE-006","任务 briefing","曝光中的曝字显示为缺字或异常","BRIEFING_NBE","BRIEFING_MISSION_BLOCK_36D0B0","7","条约全面禁止核武器的试验、使用、\n进口和部署等行为……一旦事情曝光，\n<R=拉丁美洲禁止核武器组织,OPANAL>就会介入。这会成为国际问题。","曝","U+66DD","missing glyph","NO","NO","NO","","","","BIG_CN/SMALL_CN/SMALL_JPN 均无 U+66DD","STATIC_CONFIRMED","生产源与三套 charmap 已对齐"
"CASE-007","气球回收 briefing","拘字显示为缺字或异常","BRIEFING_NBE","BRIEFING_FILES_BLOCK_000D00","3","首先，给你打昏的敌人或被拘束的俘虏装上气球。","拘","U+62D8","missing glyph","NO","NO","NO","","","","BIG_CN/SMALL_CN/SMALL_JPN 均无 U+62D8","STATIC_CONFIRMED","生产源与三套 charmap 已对齐"
"CASE-008","Kazuhira Miller loading screen","中文句子出现点号或分段异常","LOOSE_OLANG","00D0C740","37","我们只会战斗……\n但我们要活得不受国家局势摆布。","","","route-dependent text","YES","YES","PARTIAL","","","","BIG_CN/SMALL_CN 全部中文有映射；SMALL_JPN 缺少多字","AB_TEST_REQUIRED","未从静态源码唯一确定实际 FONT route"
"CASE-009","Ramon Galvez Mena loading screen","大陆相关片段出现点号或分段异常","LOOSE_OLANG","00D0C740","39","中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。","陆","U+9646","probe glyph","YES","YES","NO","3046","2980","","CN route 不支持缺字解释；SMALL_JPN 缺 U+9646","AB_TEST_REQUIRED","陆在生产文本中出现两次且 CN 两套均有 glyph"
"CASE-010","Snake loading screen","粗略 OCR 片段尚未唯一对应生产文本","UNKNOWN","","","","","","","","","","","","","未确定","UNKNOWN","当前源码和元数据不足以唯一绑定 source/index/Unicode"
