character,codepoint,JPN001C_present,JPN001C_glyph_index,JPN001C_reference_count,MLG0007_present,MLG0007_glyph_index,MLG0007_reference_count,MLG000E_present,MLG000E_glyph_index,MLG000E_reference_count,both_mlg_present
们,U+4EEC,NO,,0,YES,729,1,YES,552,1,YES
只,U+53EA,NO,,0,YES,985,1,YES,820,1,YES
会,U+4F1A,NO,,0,YES,745,1,YES,301,1,YES
战,U+6218,NO,,0,YES,1534,1,YES,1416,1,YES
斗,U+6597,NO,,0,YES,1725,1,YES,1617,1,YES
但,U+4F46,NO,,0,YES,758,1,YES,579,1,YES
活,U+6D3B,NO,,0,YES,1978,1,YES,1887,1,YES
得,U+5F97,NO,,0,YES,425,1,YES,1307,1,YES
不,U+4E0D,NO,,0,YES,307,1,YES,293,1,YES
受,U+53D7,NO,,0,YES,356,1,YES,811,1,YES
局,U+5C40,NO,,0,YES,1315,1,YES,1177,1,YES
势,U+52BF,NO,,0,YES,910,1,YES,742,1,YES
摆,U+6446,NO,,0,YES,1677,1,YES,1565,1,YES
布,U+5E03,NO,,0,YES,1358,1,YES,1225,1,YES
洲,U+6D32,NO,,0,YES,1977,1,YES,1886,1,YES
是,U+662F,NO,,0,YES,1758,1,YES,1652,1,YES
连,U+8FDE,NO,,0,YES,2903,1,YES,2836,1,YES
接,U+63A5,NO,,0,YES,449,1,YES,1537,1,YES
陆,U+9646,NO,,0,YES,3046,1,YES,2980,1,YES
的,U+7684,NO,,0,YES,528,1,YES,390,1,YES
脐,U+8110,NO,,0,YES,2527,1,YES,2455,1,YES
带,U+5E26,NO,,0,YES,1366,1,YES,1233,1,YES
这,U+8FD9,NO,,0,YES,2899,1,YES,2832,1,YES
里,U+91CC,NO,,0,YES,2966,1,YES,2901,1,YES
