font,character,codepoint,codepoint_decimal,valid_mapping,glyph_index,glyph_index_reference_count,rect,rect_u0,rect_v0,rect_u1,rect_v1,rect_width,rect_height,bearing_x,width,advance,reserved,record_hex,bitmap_sha256,bitmap_bbox,bitmap_nonzero,bitmap_coverage,bitmap_nonzero_mean,bitmap_png,bitmap_png_x4
JPN001C,我,U+6211,25105,YES,239,1,"(1733,470)-(1799,536)",1733,470,1799,536,66,66,3,66,68,0,06C501D6070702180003004200440000,1c0896037932cff12dcef63b093f825e9a4ab1e6b2b0c8ba80d5423d72691490,"[3, 3, 64, 62]",1887,0.4331955922865014,242.91520932697404,../small_jpn_mlg_common_glyphs/JPN001C/U6211_我.png,../small_jpn_mlg_common_glyphs/JPN001C/U6211_我_x4.png
JPN001C,中,U+4E2D,20013,YES,143,1,"(1059,269)-(1125,335)",1059,269,1125,335,66,66,8,66,70,0,0423010D0465014F0008004200460000,c1d538cd5da0fc712d250c0c8ad5befd114b7cab196d2c65fd213bf68c8fdd67,"[8, 2, 62, 64]",1247,0.2862718089990817,251.48757016840418,../small_jpn_mlg_common_glyphs/JPN001C/U4E2D_中.png,../small_jpn_mlg_common_glyphs/JPN001C/U4E2D_中_x4.png
JPN001C,国,U+56FD,22269,YES,189,1,"(285,403)-(351,469)",285,403,351,469,66,66,6,66,68,0,011D0193015F01D50006004200440000,cd192d6eeadbef3c3159506e3f1e71f0d4a9eb5f48228d42821bad403186f884,"[6, 3, 64, 63]",1941,0.4455922865013774,251.36836682122618,../small_jpn_mlg_common_glyphs/JPN001C/U56FD_国.png,../small_jpn_mlg_common_glyphs/JPN001C/U56FD_国_x4.png
JPN001C,家,U+5BB6,23478,YES,211,1,"(1818,403)-(1884,469)",1818,403,1884,469,66,66,2,66,68,0,071A0193075C01D50002004200440000,f757d404a51f96b37606e8fdf65b1f6769708dfc6ef99a31bdf77d56f5c3844b,"[2, 3, 64, 64]",1653,0.37947658402203854,238.01209921355112,../small_jpn_mlg_common_glyphs/JPN001C/U5BB6_家.png,../small_jpn_mlg_common_glyphs/JPN001C/U5BB6_家_x4.png
JPN001C,大,U+5927,22823,YES,201,1,"(1120,403)-(1186,469)",1120,403,1186,469,66,66,3,66,69,0,0460019304A201D50003004200450000,ce3ce4e476a1f5e54ded045b6e8cd0db4ce92de176b875b4181d6d7a7bd0ae20,"[3, 4, 63, 63]",1068,0.24517906336088155,243.05337078651687,../small_jpn_mlg_common_glyphs/JPN001C/U5927_大.png,../small_jpn_mlg_common_glyphs/JPN001C/U5927_大_x4.png
MLG0007,我,U+6211,25105,YES,1531,1,"(2709,1497)-(2767,1564)",2709,1497,2767,1564,58,67,4,58,62,0,0A9505D90ACF061C0004003A003E0000,e47a64c240f2dba9db672df64650fe4b43a0eab16b29302ae7e3147928565071,"[3, 7, 55, 59]",1985,0.5108080288214102,176.53047858942065,../small_jpn_mlg_common_glyphs/MLG0007/U6211_我.png,../small_jpn_mlg_common_glyphs/MLG0007/U6211_我_x4.png
MLG0007,中,U+4E2D,20013,YES,308,1,"(3885,137)-(3943,204)",3885,137,3943,204,58,67,4,58,62,0,0F2D00890F6700CC0004003A003E0000,1819df40ce52b9a4b7f6c071139738d2967e17c264a5d4ee2bc95af6d2bacd3a,"[6, 7, 52, 59]",1358,0.3494595985589295,185.60456553755523,../small_jpn_mlg_common_glyphs/MLG0007/U4E2D_中.png,../small_jpn_mlg_common_glyphs/MLG0007/U4E2D_中_x4.png
MLG0007,国,U+56FD,22269,YES,369,1,"(3659,205)-(3717,272)",3659,205,3717,272,58,67,4,58,62,0,0E4B00CD0E8501100004003A003E0000,c092058f6dd1f08d7f47dd30fdaa28bde82c0cb45432b8df5469a58f2015be15,"[5, 9, 52, 59]",2009,0.5169840452907875,194.93728222996515,../small_jpn_mlg_common_glyphs/MLG0007/U56FD_国.png,../small_jpn_mlg_common_glyphs/MLG0007/U56FD_国_x4.png
MLG0007,家,U+5BB6,23478,YES,1279,1,"(3213,1225)-(3271,1292)",3213,1225,3271,1292,58,67,4,58,62,0,0C8D04C90CC7050C0004003A003E0000,47dc0e10b2ffcc5ea539ffc1b1f699c3e02ac85a4045e0b225d0e4b6ca3bd4c9,"[3, 6, 55, 59]",1891,0.48661863098301594,178.386039132734,../small_jpn_mlg_common_glyphs/MLG0007/U5BB6_家.png,../small_jpn_mlg_common_glyphs/MLG0007/U5BB6_家_x4.png
MLG0007,大,U+5927,22823,YES,381,1,"(383,273)-(441,340)",383,273,441,340,58,67,4,58,62,0,017F011101B901540004003A003E0000,6bcb187c4e95aadd81412d132099ccc618255810e325c047b9a01fdf76ec81d0,"[3, 7, 55, 59]",1239,0.31883685023160063,178.83777239709443,../small_jpn_mlg_common_glyphs/MLG0007/U5927_大.png,../small_jpn_mlg_common_glyphs/MLG0007/U5927_大_x4.png
