corpus_order,resource_class,file_id,unique_index,first_reference_index,reference_indices,reference_count,entity_context,fixture,jpn_text,cn_text,display_han_char_count
1,LOOSE_OLANG,00D0C740,20,124,124,1,page:tag:entity43:key0091C543:ref124:ord4,,私が知りたいのはひとつ。“真実”だ。 ,我只想知道一件事——“真相”。,10
2,LOOSE_OLANG,00D0C740,21,130,130,1,page:tag:entity42:key0091C542:ref130:ord4,,"創られた虚構ではなく…。
ボスの真実…最期のボスの意志を確かめたい。
それこそお前が知りたい事でもあるはずだ。","不要人为编造的虚构……
我要知道The Boss的真相……确认她最后的意志。
这也正是你想知道的，不是吗。",36
3,LOOSE_OLANG,00D0C740,22,136,136,1,page:tag:entity41:key0091C541:ref136:ord4,,"愛した彼女に答えを聴くまで死ぬことも出来ない…。
お前と同じ、生ける屍だ。","在从我爱过的女人那里听到答案之前，我还不能死……
和你一样，是具行尸走肉。",31
4,LOOSE_OLANG,00D0C740,23,142,142,1,page:tag:entity40:key0091C540:ref142:ord4,,"任務という権力のために真の英雄を殺した。
それがお前の“忠”か？","借任务的权力杀死真正的英雄。
这就是你的“忠诚”吗？",21
5,LOOSE_OLANG,00D0C740,24,148,148,1,page:tag:entity39:key0091C53F:ref148:ord4,,人殺しのご褒美に貰った穢れた名をまだぶら下げているのか。,杀人换来的肮脏称号，你还一直挂在身上吗？,18
6,LOOSE_OLANG,00D0C740,25,154,154,1,page:tag:entity38:key0091C53E:ref154:ord4,,"知っているぞ。
10年前 お前が何をしたのかも。
さあ 同じように殺せ。
ボスと同じように。","我知道。
十年前你做过什么，我也知道。
来吧，也照样杀了我。
就像杀The Boss那样。",28
7,LOOSE_OLANG,00D0C740,26,160,160,1,page:tag:entity26:key0006B55B:ref160:ord4,,"国のためでも政府のためでもない。
俺達は必要とされているからこそ戦う。","不是为了国家，也不是为了政府。
我们之所以战斗，是因为有人需要我们。",29
8,LOOSE_OLANG,00D0C740,27,166,166,1,page:tag:entity25:key0006B55A:ref166:ord4,,"革命だろうが、何だろうが、
銃を手にひとたび暴力に訴えれば、
いずれは皆地獄に堕ちる。","不管是不是革命，只要拿起枪诉诸暴力，
迟早所有人都会下地狱。",26
9,LOOSE_OLANG,00D0C740,28,172,172,1,page:tag:entity24:key0006B559:ref172:ord4,,"俺達は祖国を棄てた。
それでも生きてる。
それでも戦い続ける。
生きる理由は他にいくらでもある。","我们抛弃了祖国。
但我们还活着。
也还在继续战斗。
活下去的理由，要多少有多少。",32
10,LOOSE_OLANG,00D0C740,29,178,178,1,page:tag:entity23:key0006B558:ref178:ord4,SNAKE,いいか、俺達に勝利はない。,听好了，对我们来说，没有胜利可言。,14
11,LOOSE_OLANG,00D0C740,30,184,184,1,page:tag:entity29:key0021F418:ref184:ord4,,"私は 平和の使者よ。
あなたを見守ってる。","我是和平的使者。
我会守望着你。",13
12,LOOSE_OLANG,00D0C740,31,190,190,1,page:tag:entity28:key0021F417:ref190:ord4,,"嘆いていても、平和はやってこないし、続かない。
自分で向かっていかなければダメなの。
","光是叹息，和平不会到来，也不会延续。
必须自己向它走去。",23
13,LOOSE_OLANG,00D0C740,32,196,196,1,page:tag:entity27:key0021F416:ref196:ord4,PAZ,"私の名前は“ラ・パス”。
私は平和を守り抜く。
私はそのために生かされている。","我的名字是“Paz”。
我会守护和平到底。
我就是为此而活着的。",22
14,LOOSE_OLANG,00D0C740,34,208,208,1,page:tag:entity56:key00D1F419:ref208:ord4,,真実を知っても、過去は変えられない。,即使知道真相，也无法改变过去。,13
15,LOOSE_OLANG,00D0C740,35,214,214,1,page:tag:entity55:key00D1F418:ref214:ord4,,"あんたは国も身分も過去も理想も、何もかも棄てた。
しかし、まだ棄ててないものがある。","你抛弃了国家、身份、过去、理想，抛弃了一切。
但还有一样东西，你始终没有放下。",31
16,LOOSE_OLANG,00D0C740,36,220,220,1,page:tag:entity54:key00D1F417:ref220:ord4,,"一人の人間が、人間という種の終末を、背負う事なんか出来ない。
だからこそ、臆病な人類はこの数千年もの間、生き延びてきたんだ。","一个人不可能独自背负人类这个物种的终结。
正因如此，胆怯的人类才在这数千年间存活下来。",39
17,LOOSE_OLANG,00D0C740,37,226,226,1,page:tag:entity53:key00D1F416:ref226:ord4,KAZUHIRA_MILLER,"俺たちは戦うことしかできないが…
国家の事情に翻弄されずに生きる。","我们只会战斗……
但我们要活得不受国家局势摆布。",20
18,LOOSE_OLANG,00D0C740,38,232,232,1,page:tag:entity52:key00D1F415:ref232:ord4,,"紛争地帯を渡り歩いては その都度
戦場に利用されるのが望みか？","你难道想辗转于一个又一个冲突地区，
每次都被战场利用吗？",25
19,LOOSE_OLANG,00D0C740,39,238,238,1,page:tag:entity37:key00863CEF:ref238:ord4,RAMON_GALVEZ_MENA,"中米は北米大陸と南米大陸を繋ぐ臍の緒だ。
我々はここが欲しい。
","中美洲是连接北美大陆和南美大陆的脐带。
我们想要这里。",24
20,LOOSE_OLANG,00D0C740,40,244,244,1,page:tag:entity36:key00863CEE:ref244:ord4,,あなたを『BIGBOSS』と知っての頼みだ。,正因为知道你是“BIG BOSS”，我们才来拜托你。,14
21,LOOSE_OLANG,00D0C740,41,250,250,1,page:tag:entity35:key00374FA2:ref250:ord4,,最期に人が守るものは…命ではない。名声だ！,人到最后要守住的……不是生命，而是名声！,16
22,LOOSE_OLANG,00D0C740,42,256,256,1,page:tag:entity34:key00374FA1:ref256:ord4,,"思想に失墜したザ・ボスと共に、英雄の時代は終わった。
これからは“感情なきシステム”が英雄になる","随着在思想上身败名裂的The Boss，英雄的时代已经结束。
今后，“没有感情的系统”将成为英雄。",34
23,LOOSE_OLANG,00D0C740,43,262,262,1,page:tag:entity33:key00374FA0:ref262:ord4,,"機械は間違いを犯さない。
過ちを犯すのはいつも人間だ。","机器不会犯错。
犯错的永远是人类。",14
24,LOOSE_OLANG,00D0C740,44,268,268,1,page:tag:entity32:key00374F9F:ref268:ord4,,"…博士、平和は歩いては来ない。
お互い歩み寄るしかないのだ。","……博士，和平不会自己走来。
我们只能彼此走向对方。",20
25,LOOSE_OLANG,00D0C740,45,274,274,1,page:tag:entity31:key00374F9E:ref274:ord4,,"私達の目標は『完全なる抑止力』の実現にある。
だが『完全なる抑止力』を誕生させるためには、
私達の力を世界に向けて証明する必要があるのだ。","我们的目标，是实现“完全的威慑力”。
但要让“完全的威慑力”诞生，
我们必须向全世界证明我们的力量。",40
26,LOOSE_OLANG,00D0C740,46,280,280,1,page:tag:entity47:key00B2D968:ref280:ord4,,敵がいつ来るかわからないのに、のんびり飯なんか食ってられるか！,敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！,21
27,LOOSE_OLANG,00D0C740,47,286,286,1,page:tag:entity46:key00B2D967:ref286:ord4,,いつか俺、ハンターになりたいんだ。,总有一天，我想成为猎人。,10
28,LOOSE_OLANG,00D0C740,48,292,292,1,page:tag:entity45:key00B2D966:ref292:ord4,,見たことない生き物がいたら、知らせてくれよ。,如果遇到没见过的生物，记得告诉我。,15
29,LOOSE_OLANG,00D0C740,49,298,298,1,page:tag:entity44:key00B2D965:ref298:ord4,,"…みんなで僕を子供扱いする。
それが耐えられなかった。もう12なのに！","……大家都把我当小孩子。
我实在受不了。明明我都12岁了！",21
30,LOOSE_OLANG,00D0C740,50,304,304,1,page:tag:entity51:key00B949DE:ref304:ord4,,なんなのここの人達、味覚の野蛮人だらけじゃない！,这里的人到底怎么回事，怎么全是一群味觉野蛮人！,21
31,LOOSE_OLANG,00D0C740,51,310,310,1,page:tag:entity50:key00B949DD:ref310:ord4,,兵器に鳥の名前を付けるなんて、鳥に対して失礼だと思わない？,拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？,22
32,LOOSE_OLANG,00D0C740,52,316,316,1,page:tag:entity49:key00B949DC:ref316:ord4,,"森とひとつになるのはバーダーの基本よ。
人間の気配を感じると鳥にも異変が生じる。
それじゃ正確な観察は出来ないもの。","与森林融为一体是观鸟者的基本功。
鸟一旦察觉到人的气息，就会表现异常。
那样就没法准确观察了。",41
33,LOOSE_OLANG,00D0C740,53,322,322,1,page:tag:entity48:key00B949DB:ref322:ord4,,鳥の研究はやめて、空を飛ぼうかなって思う。,我在想，要不要别研究鸟了，自己飞上天空。,17
34,LOOSE_OLANG,00D0C740,54,328,328,1,page:tag:entity22:key00052BDA:ref328:ord4,,"革命が成功したら平和な国にしたいとは思う。
けれど、平和をもたらすためにはまず売国奴を排除しなくちゃならない。","我确实想在革命成功后把国家变得和平。
但要带来和平，首先得清除卖国贼。",31
35,LOOSE_OLANG,00D0C740,55,334,334,1,page:tag:entity21:key00052BD9:ref334:ord4,,"あたし達の仲間は、まだ多いとは言えない。でも、必ず勝つ。
勝利か死か。革命家の宿命よ。","我们的同志还不能算多。但我们一定会赢。
胜利或死亡。这就是革命者的宿命。",31
36,LOOSE_OLANG,00D0C740,56,340,340,1,page:tag:entity20:key00052BD8:ref340:ord4,,"もしかして…あんたは偉大な指導者…。
あたし達を…導いて…。","难道……你就是伟大的领袖……
请……带领我们……",15
