resource_class,file_id,scope,unique_index_start,unique_index_end,row_count,all_001c_100_percent,high_value_count,ordinary_count,min_0007_coverage,min_000e_coverage,min_00c7_coverage,max_loading_fixture_similarity,loading_union_similarity,unique_indices,sample_jpn_texts
OHD,1E4C1146,OUTSIDE_LOADING,0,24,25,YES,15,10,66.67%,66.67%,100.00%,0.260870,0.034965,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,まだ終わってない！ || まだ終わってない！！ || まだ終わってない！！！
LOOSE_OLANG,00D0C740,KNOWN_LOADING_FIXTURE,34,56,23,YES,23,0,60.87%,47.83%,100.00%,1.000000,0.139860,34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,真実を知っても、過去は変えられない。 || あんたは国も身分も過去も理想も、何もかも棄てた。\nしかし、まだ棄ててないものがある。 || 一人の人間が、人間という種の終末を、背負う事なんか出来ない。\nだからこそ、臆病な人類はこの数千年もの間、生き延びてきたんだ。
SLOT_OLANG,5D81E50B,OUTSIDE_LOADING,0,20,21,YES,0,21,100.00%,100.00%,100.00%,0.136364,0.010417,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,TOTAL: || SOLDIERS || SINGLE
SLOT_OLANG,5D1A33A8,OUTSIDE_LOADING,6,25,20,YES,0,20,100.00%,100.00%,100.00%,0.160000,0.013746,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,GATLING GUN || A || POD
SLOT_OLANG,5D83B291,OUTSIDE_LOADING,62,76,15,YES,0,15,100.00%,100.00%,100.00%,0.090909,0.006944,62;63;64;65;66;67;68;69;70;71;72;73;74;75;76,OK || NO || MAP
SLOT_OLANG,5D2362B8,OUTSIDE_LOADING,9,22,14,YES,0,14,100.00%,100.00%,100.00%,0.142857,0.013605,9;10;11;12;13;14;15;16;17;18;19;20;21;22,CREATE HOST || MODE || HOST NAME
SLOT_OLANG,5D74A6CA,OUTSIDE_LOADING,7,20,14,YES,0,14,100.00%,100.00%,100.00%,0.125000,0.010345,7;8;9;10;11;12;13;14;15;16;17;18;19;20,OTHERS || ITEM || SORT
STAGEDAT_OLANG,LANG_MYOUTER_DEVELOP.OLANG,OUTSIDE_LOADING,7,20,14,YES,0,14,100.00%,100.00%,100.00%,0.125000,0.010345,7;8;9;10;11;12;13;14;15;16;17;18;19;20,OTHERS || ITEM || SORT
LOOSE_OLANG,00D0C740,KNOWN_LOADING_FIXTURE,20,32,13,YES,13,0,71.88%,68.75%,100.00%,1.000000,0.136364,20;21;22;23;24;25;26;27;28;29;30;31;32,私が知りたいのはひとつ。“真実”だ。  || 創られた虚構ではなく…。\nボスの真実…最期のボスの意志を確かめたい。\nそれこそお前が知りたい事でもあるはずだ。 || 愛した彼女に答えを聴くまで死ぬことも出来ない…。\nお前と同じ、生ける屍だ。
LOOSE_OLANG,007E2F18,OUTSIDE_LOADING,260,271,12,YES,12,0,75.00%,61.11%,100.00%,1.000000,0.139860,260;261;262;263;264;265;266;267;268;269;270;271,愛した彼女に答えを聴くまで死ぬことも出来ない…。\nお前と同じ、生ける屍だ。 || 任務という権力のために真の英雄を殺した。\nそれがお前の“忠”か？ || 知っているぞ。\n10年前 お前が何をしたのかも。\nさあ 同じように殺せ。\nボスと同じように。
SLOT_OLANG,5D56A63D,OUTSIDE_LOADING,655,666,12,YES,0,12,100.00%,100.00%,100.00%,0.120000,0.010309,655;656;657;658;659;660;661;662;663;664;665;666,ESCORT || MECHANIC || F.POW
STAGEDAT_OLANG,LANG_ITEM_TEXT.OLANG,OUTSIDE_LOADING,655,666,12,YES,0,12,100.00%,100.00%,100.00%,0.120000,0.010309,655;656;657;658;659;660;661;662;663;664;665;666,ESCORT || MECHANIC || F.POW
SLOT_OLANG,5D52E4F8,OUTSIDE_LOADING,355,365,11,YES,0,11,100.00%,100.00%,100.00%,0.166667,0.013793,355;356;357;358;359;360;361;362;363;364;365,SMK G.(G) || K.PISTOL || SMK G.(B)
SLOT_OLANG,5D68BF67,OUTSIDE_LOADING,8,18,11,YES,0,11,100.00%,100.00%,100.00%,0.130435,0.010381,8;9;10;11;12;13;14;15;16;17;18,BATTLE DRESS || LIFE: || CO-OPS COMM.
