character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
℃,U+2103,DEGREE CELSIUS,So,Other,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_025B50#2: 也是。海拔每升高4000英尺，气温就会下降7℃以上。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
★,U+2605,BLACK STAR,So,Other,10,LOOSE_OLANG | SLOT_OLANG,LOOSE_OLANG/007E2F18#4122: 中村光★荒川UB星 || LOOSE_OLANG/007E2F18#4123: 中村光★荒川UB村长 || LOOSE_OLANG/007E2F18#4125: 中村光★荒川UBRiku || LOOSE_OLANG/007E2F18#4127: 中村光★荒川UBSister || LOOSE_OLANG/007E2F18#4128: 中村光★荒川UBMaria,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
佐,U+4F50,CJK UNIFIED IDEOGRAPH-4F50,Lo,CJK Unified Ideographs,3,BRIEFING | YPK_GTT,YPK_GTT/1C79F46D#36: 以大佐的资金为基础实现它。就像大战期间ONCE的“Cobra部队”那样。 || BRIEFING/BRIEFING_FILES_BLOCK_042C00#7: 这些目击报告，也能佐证恐龙仍然存活的说法。 || BRIEFING/BRIEFING_FILES_BLOCK_053820#10: 逻辑上我早就明白。可我需要佐证。TheBoss最后的行动，她真正的意图。无论如何都要！,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
凹,U+51F9,CJK UNIFIED IDEOGRAPH-51F9,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_026710#7: 对。这叫结构色。闪蝶的鳞粉表面有细微的凹凸，光线在那里发生干涉，所以看起来是蓝色的。 || BRIEFING/BRIEFING_FILES_BLOCK_026710#8: 那些凹凸的间距与蓝光的波长相吻合……,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
匠,U+5320,CJK UNIFIED IDEOGRAPH-5320,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0614E0#16: 他可是现代艺术巨匠啊？一生大半时间都在法国活动，创作了超过10万件作品的伟人啊？,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
匿,U+533F,CJK UNIFIED IDEOGRAPH-533F,Lo,CJK Unified Ideographs,5,SLOT_OLANG,SLOT_OLANG/5DDB94DF#88937: 然而授勋仪式结束后，Snake便销声匿迹。 || SLOT_OLANG/5DDB94DF#89121: 然而授勋仪式结束后，Snake便销声匿迹。 || SLOT_OLANG/5DDB94DF#89305: 然而授勋仪式结束后，Snake便销声匿迹。 || SLOT_OLANG/5DDB94DF#89489: 然而授勋仪式结束后，Snake便销声匿迹。 || SLOT_OLANG/5DDB94DF#89673: 然而授勋仪式结束后，Snake便销声匿迹。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
咆,U+5486,CJK UNIFIED IDEOGRAPH-5486,Lo,CJK Unified Ideographs,6,BRIEFING | YPK_GTT,YPK_GTT/1C79F42D#12: 正面听到咆哮会动弹不得！ || YPK_GTT/1C79F42D#13: 要是有耳塞之类的东西，就能挡住咆哮了…… || YPK_GTT/1C79F42D#28: 射击头部能削弱咆哮！ || YPK_GTT/1C79F42D#29: 掉在地上的棘刺会和咆哮共鸣。破坏它们！ || BRIEFING/BRIEFING_FILES_BLOCK_04BE80#12: 还有，从它背上掉下来的棘刺会与咆哮共鸣，让人痛苦不堪……。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
咳,U+54B3,CJK UNIFIED IDEOGRAPH-54B3,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_MISSION_BLOCK_376CD0#7: 嗯……。咳出来的气都是焦味。 || BRIEFING/BRIEFING_MISSION_BLOCK_3778F0#4: 嗯……。咳出来的气都是焦味。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
哀,U+54C0,CJK UNIFIED IDEOGRAPH-54C0,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_024CA0#1: 我从小就被教导内战有多么悲惨。同一个国家的人彼此争斗，是多么愚蠢、多么悲哀……,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
啜,U+555C,CJK UNIFIED IDEOGRAPH-555C,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_02B420#5: 我很期待。作战结束后啜一口热咖啡……不错。……哦。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
嗅,U+55C5,CJK UNIFIED IDEOGRAPH-55C5,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_MISSION_BLOCK_37CB00#19: 你对战斗的嗅觉很敏锐，可在看人这方面还差得远呢。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
噌,U+564C,CJK UNIFIED IDEOGRAPH-564C,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5DDFF09B#90146: 妈做的味噌汤……总是很咸啊……,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
堤,U+5824,CJK UNIFIED IDEOGRAPH-5824,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00C420#5: 对美国来说，日本就是「抵御共产主义的防波堤」。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
峙,U+5CD9,CJK UNIFIED IDEOGRAPH-5CD9,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_090C40#45: 在那里，她与苏联一方的特工正面对峙……。,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
