character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
噫,U+566B,CJK UNIFIED IDEOGRAPH-566B,Lo,CJK Unified Ideographs,76,SLOT_OLANG,SLOT_OLANG/5D81443C#52735: 噫！救、救命！ || SLOT_OLANG/5D81443C#52911: 噫！拜托冷静下来听我说！ || SLOT_OLANG/5D81443C#52975: 噫！救、救命！ || SLOT_OLANG/5D81443C#53151: 噫！拜托冷静下来听我说！ || SLOT_OLANG/5D81443C#53215: 噫！救、救命！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
诊,U+8BCA,CJK UNIFIED IDEOGRAPH-8BCA,Lo,CJK Unified Ideographs,51,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#9846: 进行治疗和诊察，提高所有人员对疾病的抵抗力。此外，还可以开发更强力的麻醉枪。 || STAGEDAT_OLANG/LANG_MYOUTER_TOP.OLANG#10105: 关于医疗班与诊疗所 || STAGEDAT_OLANG/LANG_MYOUTER_TOP.OLANG#10107: 而且，被送往“诊疗所”后的治疗速度也会提高。 || STAGEDAT_OLANG/LANG_MYOUTER_TOP.OLANG#10109: 将无法发挥原本的能力，并会自动被送往“诊疗所”。 || STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#19416: 进行治疗和诊察，提高所有人员对疾病的抵抗力。此外，还可以开发更强力的麻醉枪。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
厥,U+53A5,CJK UNIFIED IDEOGRAPH-53A5,Lo,CJK Unified Ideographs,37,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#10865: 闪光音响手雷。非杀伤武器。具有使敌兵昏厥的效果。开发后威力和效果范围增强。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#10866: 闪光音响手雷。非杀伤武器。具有使敌兵昏厥的效果。开发后威力和效果范围增强。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#10867: 闪光音响手雷。非杀伤武器。具有使敌兵昏厥的效果。开发后威力和效果范围增强。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#10868: 闪光音响手雷。非杀伤武器。具有使敌兵昏厥的效果。开发后威力和效果范围增强。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#10869: 闪光音响手雷。非杀伤武器。具有使敌兵昏厥的效果。开发后威力和效果范围增强。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
贤,U+8D24,CJK UNIFIED IDEOGRAPH-8D24,Lo,CJK Unified Ideographs,25,BRIEFING | SLOT_OLANG | YPK_GTT,YPK_GTT/1C79F46D#36: 世界应该合而为一。让“贤者们”再次统一。我会将自己的技术投入其中。 || SLOT_OLANG/5D2088CC#29981: 是「贤者的遗产」吗…？ || SLOT_OLANG/5D2088CC#30001: 在食蛇者行动中CIA从苏联夺走的「贤者的遗产」只有一半 || BRIEFING/BRIEFING_FILES_BLOCK_088F20#24: 美国政府为了得到“贤者的遗产”，上演了一出大戏。 || BRIEFING/BRIEFING_FILES_BLOCK_088F20#29: 查明“贤者的遗产”所在之处，是她最重要的任务。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
蚣,U+86A3,CJK UNIFIED IDEOGRAPH-86A3,Lo,CJK Unified Ideographs,18,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7026: sbm081/与俘虏（士兵，可蜈蚣）一起前往终点× || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7027: sbm081/与俘虏（士兵，可蜈蚣）一起前往终点× || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7028: sbm081内容/与俘虏（士兵，可蜈蚣）一起前往终点实装状态：× || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7154: sbm039内容/AIHacking将俘虏（研究员）用蜈蚣带到面板处，让其进行Hacking。Hacking期间与敌兵（Funnel）战斗实装状态：× || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7187: sbm028内容/与俘虏（研究员、可蜈蚣、隐形迷彩开发人员）一起前往终点实装状态：×,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
蜈,U+8708,CJK UNIFIED IDEOGRAPH-8708,Lo,CJK Unified Ideographs,18,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7026: sbm081/与俘虏（士兵，可蜈蚣）一起前往终点× || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7027: sbm081/与俘虏（士兵，可蜈蚣）一起前往终点× || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7028: sbm081内容/与俘虏（士兵，可蜈蚣）一起前往终点实装状态：× || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7154: sbm039内容/AIHacking将俘虏（研究员）用蜈蚣带到面板处，让其进行Hacking。Hacking期间与敌兵（Funnel）战斗实装状态：× || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7187: sbm028内容/与俘虏（研究员、可蜈蚣、隐形迷彩开发人员）一起前往终点实装状态：×,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
赠,U+8D60,CJK UNIFIED IDEOGRAPH-8D60,Lo,CJK Unified Ideographs,13,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#4948: 向其他玩家赠送武器或道具超过次时授予，以表彰其慷慨。（英雄度增加） || STAGEDAT_OLANG/LANG_MYOUTER_TOP.OLANG#10146: 可以接收其他玩家的礼物，也可以自己制作并赠送。 || STAGEDAT_OLANG/LANG_GETTITLE_INSIGNIA_LIST.OLANG#14985: 因向其他玩家赠送武器或道具的次数超过而授予，以表彰其慷慨。（英雄值增加） || STAGEDAT_OLANG/LANG_MYOUTER_TOP.OLANG#20147: 可以接收其他玩家的礼物，也可以自己制作并赠送。 || SLOT_OLANG/5D06A8D5#22934: #已向职员赠送礼物。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
徊,U+5F8A,CJK UNIFIED IDEOGRAPH-5F8A,Lo,CJK Unified Ideographs,12,BRIEFING | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#33: 看来你的声音传达给了那些徘徊的灵魂。 || YPK_GTT/1C0FB26B#34: 干得好。愿徘徊的灵魂安息…… || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7064: 拍摄埃雷迪亚中部热带云雾林（CloudForest）中徘徊的幽灵。灵魂会对将声音可视化的雷达产生反应。禁止使用所有LIFE恢复类道具。必要装备品：相机目标数：1 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7067: 拍摄尼加拉瓜美军导弹基地・维修船坞（小）中徘徊的幽灵。灵魂会对将声音可视化的雷达产生反应。禁止使用所有LIFE恢复类道具。仅限SINGLE。必要装备品：相机目标数：1 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7070: 拍摄埃雷迪亚中部热带云雾林（CloudForest）中遗迹（RuinasdeXochiquetzal）附近徘徊的幽灵。灵魂会对将声音可视化的雷达产生反应。时间限制：必要武器：必要装备品：相机目标数：,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
徘,U+5F98,CJK UNIFIED IDEOGRAPH-5F98,Lo,CJK Unified Ideographs,12,BRIEFING | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#33: 看来你的声音传达给了那些徘徊的灵魂。 || YPK_GTT/1C0FB26B#34: 干得好。愿徘徊的灵魂安息…… || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7064: 拍摄埃雷迪亚中部热带云雾林（CloudForest）中徘徊的幽灵。灵魂会对将声音可视化的雷达产生反应。禁止使用所有LIFE恢复类道具。必要装备品：相机目标数：1 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7067: 拍摄尼加拉瓜美军导弹基地・维修船坞（小）中徘徊的幽灵。灵魂会对将声音可视化的雷达产生反应。禁止使用所有LIFE恢复类道具。仅限SINGLE。必要装备品：相机目标数：1 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#7070: 拍摄埃雷迪亚中部热带云雾林（CloudForest）中遗迹（RuinasdeXochiquetzal）附近徘徊的幽灵。灵魂会对将声音可视化的雷达产生反应。时间限制：必要武器：必要装备品：相机目标数：,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
磋,U+78CB,CJK UNIFIED IDEOGRAPH-78CB,Lo,CJK Unified Ideographs,10,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19747: “下次请务必在道场和我切磋！” || SLOT_OLANG/5D4C49A2#36238: 下次务必在道场和我切磋一下！ || SLOT_OLANG/5D4C49A2#36594: 下次务必在道场和我切磋一下！ || SLOT_OLANG/5D4C49A2#36950: 下次务必在道场和我切磋一下！ || SLOT_OLANG/5D4C49A2#37306: 下次务必在道场和我切磋一下！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
窥,U+7AA5,CJK UNIFIED IDEOGRAPH-7AA5,Lo,CJK Unified Ideographs,8,BRIEFING | SLOT_OLANG | YPK_GTT,YPK_GTT/1C7A72ED#5: 蓝色的门上好像装有窥视窗。 || YPK_GTT/1C7A72ED#6: 好像只有蓝色的门上有窥视窗。 || YPK_GTT/1C7A72ED#8: 蓝色的门上有窥视窗……往里面看看！ || YPK_GTT/1C7A72ED#9: 靠近门上的窥视窗，图标出现后按。 || YPK_GTT/1C7A72ED#12: 被接管的房屋，门上都装了监视用窥视窗。就是蓝色的门。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
