character,codepoint,occurrences,file_id / index,JPN,current_CN,proposed_CN,replacement_supported_by_MLG-0007,reason
噫,U+566B,38,5D81443C / 116,ひぃ！ た…助けて！,噫！救、救命！,啊！救、救命！,YES,当前是对白语气词；“噫”偏书面且不符合两处惊呼语境，用“啊”不损失原意，且 MLG-0007 支持。
噫,U+566B,38,5D81443C / 468,ひ！ 頼む 落ち着いて話を聞いてくれ！,噫！拜托冷静下来听我说！,啊！拜托冷静下来听我说！,YES,当前是对白语气词；“噫”偏书面且不符合两处惊呼语境，用“啊”不损失原意，且 MLG-0007 支持。
窥,U+7AA5,1,BRIEFING_FILES_BLOCK_039D80 / 8,覗いている間も周囲の巡回は続いている。敵に見つからな / いようにね。 /,你窥视屋内的时候，周围的巡逻也不会停。别被敌人发现。,你查看屋内的时候，周围的巡逻也不会停。别被敌人发现。,YES,当前玩家教程/简报中的“窥视窗、窥视屋内”可自然改为“观察窗、查看屋内/门内”，不改变覗き窓与覗く的操作语义，替换片段均受 MLG-0007 支持。
窥,U+7AA5,1,BRIEFING_MISSION_BLOCK_36FF00 / 12,接収された家は、監視用にドアが付け替えられてる。 / 青いドアよ。覗き窓が付いてる。 / そこから中を確かめて。 /,被征用的房子为了监视，门都被换过了。是蓝色的门，上面有窥视窗。从那里确认里面的情况。,被征用的房子为了监视，门都被换过了。是蓝色的门，上面有观察窗。从那里确认里面的情况。,YES,当前玩家教程/简报中的“窥视窗、窥视屋内”可自然改为“观察窗、查看屋内/门内”，不改变覗き窓与覗く的操作语义，替换片段均受 MLG-0007 支持。
窥,U+7AA5,1,5D1B7B4B / 10,「誰もいない」（扉を覗いたプレイヤーの本体でのみ発声）,「谁也不在」（仅由窥视门内的玩家本体发声）,「谁也不在」（仅由查看门内的玩家本体发声）,YES,当前玩家教程/简报中的“窥视窗、窥视屋内”可自然改为“观察窗、查看屋内/门内”，不改变覗き窓与覗く的操作语义，替换片段均受 MLG-0007 支持。
窥,U+7AA5,1,1C7A72ED / 12,接収された家のドアには 監視用の覗き窓がついている\n青いドアよ,被接管的房屋，门上都装了监视用窥视窗。就是蓝色的门。,被接管的房屋，门上都装了监视用观察窗。就是蓝色的门。,YES,当前玩家教程/简报中的“窥视窗、窥视屋内”可自然改为“观察窗、查看屋内/门内”，不改变覗き窓与覗く的操作语义，替换片段均受 MLG-0007 支持。
窥,U+7AA5,1,1C7A72ED / 5,青いドアに 覗き窓が付いているようだ,蓝色的门上好像装有窥视窗。,蓝色的门上好像装有观察窗。,YES,当前玩家教程/简报中的“窥视窗、窥视屋内”可自然改为“观察窗、查看屋内/门内”，不改变覗き窓与覗く的操作语义，替换片段均受 MLG-0007 支持。
窥,U+7AA5,1,1C7A72ED / 6,覗き窓が付いているのは 青いドアだけみたいだな,好像只有蓝色的门上有窥视窗。,好像只有蓝色的门上有观察窗。,YES,当前玩家教程/简报中的“窥视窗、窥视屋内”可自然改为“观察窗、查看屋内/门内”，不改变覗き窓与覗く的操作语义，替换片段均受 MLG-0007 支持。
窥,U+7AA5,1,1C7A72ED / 8,青いドアに覗き窓がある…覗いてみるんだ！,蓝色的门上有窥视窗……往里面看看！,蓝色的门上有观察窗……往里面看看！,YES,当前玩家教程/简报中的“窥视窗、窥视屋内”可自然改为“观察窗、查看屋内/门内”，不改变覗き窓与覗く的操作语义，替换片段均受 MLG-0007 支持。
窥,U+7AA5,1,1C7A72ED / 9,ドアの覗き窓を覗くには近づいてアイコンが出たら\n<I=ACT>だ,靠近门上的窥视窗，图标出现后按。,靠近门上的观察窗，图标出现后按。,YES,当前玩家教程/简报中的“窥视窗、窥视屋内”可自然改为“观察窗、查看屋内/门内”，不改变覗き窓与覗く的操作语义，替换片段均受 MLG-0007 支持。
