record_index,status,mapped_codepoints,record_file_offset,record_hex,u0,v0,u1,v1,bearing_x,width,advance,reserved,own_nonzero,own_bbox,paired_00c7_nonzero,paired_00c7_bbox,own_sha256,paired_00c7_sha256
0,UNUSED_NONEMPTY,,,,4,1,25,67,3,21,23,0,183,"[3,26,19,41]",,,7247f980684f0023cfb216c60361b31d278ca21a83e750edc93cb3861fdbc090,
1,USED,U+0020,,,26,1,27,67,0,1,21,0,0,,,,efbb03b7a7f6fd3c29391d4d0281e1830a85caadd831c3f04716faca4107a42e,
2,USED,U+0028,,,29,1,49,67,1,20,20,0,353,"[0,4,20,63]",,,05b81808e24da15e967db18083700c52a182f295252cbfea239862b1b4991573,
3,USED,U+0029,,,51,1,71,67,1,20,20,0,351,"[0,4,20,63]",,,c645140ec012e5b202d9805b4d565a48c65a0d30ed0cac1581785998241662e3,
4,USED,U+002D,,,73,1,90,67,1,17,18,0,85,"[0,31,17,36]",,,821b5d3e5c1c6d24c7ca6b272e11962799b8b7ff37ac8297a4ac6fd711b97439,
5,USED,U+002E,,,92,1,105,67,1,13,13,0,130,"[0,45,13,57]",,,3c94971fc6c80b11e20874008bd68df86c67eb3a252b7c770455d113a3122955,
6,USED,U+0030,,,108,1,146,67,2,38,39,0,888,"[0,8,38,58]",,,41b256be5354083e57cb8dfa4546510cb1adaf2ffa28ccf8c511bf587ad92503,
7,USED,U+0031,,,156,1,181,67,9,25,32,0,498,"[0,9,25,56]",,,62c8fdd1457366da270dd18ed90733bfdb6be265d90f7e8b857a0d524d42adde,
8,USED,U+0032,,,186,1,220,67,4,34,37,0,781,"[0,8,34,57]",,,bafd32c2ab08545704885fcc68e04686a1177889e5293359e84a708b092b58f5,
9,USED,U+003A,,,222,1,235,67,1,13,13,0,261,"[0,20,13,57]",,,1a321afb1ad27374999149e07564d16cf6ae43dcf13cd31e0307119370d5ee11,
10,USED,U+0041,,,237,1,292,67,1,55,55,0,738,"[0,9,55,57]",,,4233340c09216a4e230d540967e37be227d6e63a5ba49634a14d960aa7bd413c,
11,USED,U+0042,,,293,1,339,67,0,46,47,0,1048,"[0,9,46,57]",,,2a20a57ed85e20cfc02f838a187a3d41ae7e27d49749183d27fe488461172a78,
12,USED,U+0043,,,342,1,387,67,2,45,45,0,661,"[0,8,45,58]",,,c91d546c658f50ea8b8ddb1dbbb412c2d07fab5410f4cb075088f190d44c4696,
13,USED,U+0044,,,389,1,440,67,1,51,51,0,1032,"[0,9,51,57]",,,7e36a2798866ffc7577c6f6d988346642df05cea836eb2831c46637fc9a82ed4,
14,USED,U+0045,,,442,1,488,67,1,46,46,0,822,"[0,9,46,57]",,,957cf00ea65e5ae183602b9d251c63a67d47b7aca8c807b987d01c4b5fc50a46,
15,USED,U+0046,,,490,1,535,67,1,45,44,0,719,"[0,9,44,57]",,,e5516d91a18ff5218c8ccc2148519cb4e427217cfb2f2cebf4c8d95269c21a88,
16,USED,U+0047,,,537,1,587,67,1,50,51,0,838,"[0,7,50,57]",,,71b8c2868b709985a225a96fbfd6eab162e72697bdc2087e537ce3c9f75f1468,
17,USED,U+0048,,,589,1,642,67,1,53,53,0,1083,"[0,9,53,57]",,,bcae4a82a64f0f7de8ac225c82c6608aadee314329e9965379310a65f4757162,
18,USED,U+0049,,,644,1,667,67,1,23,23,0,510,"[0,9,23,57]",,,7c7e0e841a8300946c7f184ca9cf4deb0bd11848fd527abc151d6fcb4e0a8185,
19,USED,U+004B,,,669,1,722,67,1,53,52,0,1058,"[0,9,53,57]",,,9dcf93358cea5698a84031dcb8da13f11fade7bee4f5d3d6499f9b280545f1fd,
