codepoint,decimal,character,present,glyph_index,record_file_offset,record_hex,bearing_x,width,advance,reserved,u0,v0,u1,v1,own_nonzero,own_bbox,paired_00c7_nonzero,paired_00c7_bbox,paired_00c7_sha256
U+0020,32, ,YES,1,0x1FEFA,001A0001001B00430000000100150000,0,1,21,0,26,1,27,67,0,,0,,efbb03b7a7f6fd3c29391d4d0281e1830a85caadd831c3f04716faca4107a42e
U+0028,40,(,YES,2,0x1FF0A,001D0001003100430001001400140000,1,20,20,0,29,1,49,67,353,"[0,4,20,63]",377,"[6,0,20,57]",89d96a6bc35075fe9132d15b7cc353989db4080a60fee72d637eebdbe1ee5f56
U+0029,41,),YES,3,0x1FF1A,00330001004700430001001400140000,1,20,20,0,51,1,71,67,351,"[0,4,20,63]",195,"[0,0,20,45]",ca6df6d400786f35e1a78acab1a70031904c92d2e9b43640e4412c0151de8309
U+002D,45,-,YES,4,0x1FF2A,00490001005A00430001001100120000,1,17,18,0,73,1,90,67,85,"[0,31,17,36]",403,"[0,4,17,62]",c358642aa6f149aac4ff195ad0966d2db58e6200cb7724f5415e60e3a7d911cd
U+002E,46,.,YES,5,0x1FF3A,005C0001006900430001000D000D0000,1,13,13,0,92,1,105,67,130,"[0,45,13,57]",301,"[0,4,13,62]",2b6123d0e25551a6001e4eac759bf736d7d82b80b0302ded96f473a771e8592c
U+0030,48,0,YES,6,0x1FF4A,006C0001009200430002002600270000,2,38,39,0,108,1,146,67,888,"[0,8,38,58]",868,"[3,4,38,62]",ea3e640ef4f5dd31b1efaba6f7b8c6f9dcf1c7bf22aa090ceb569f90057ceec4
U+0031,49,1,YES,7,0x1FF5A,009C000100B500430009001900200000,9,25,32,0,156,1,181,67,498,"[0,9,25,56]",509,"[0,7,25,57]",02cf1dd322005c24d85b20c3fe2f19efdafd71e70260805f531e9370111ab096
U+0032,50,2,YES,8,0x1FF6A,00BA000100DC00430004002200250000,4,34,37,0,186,1,220,67,781,"[0,8,34,57]",647,"[0,8,34,59]",39dabba494fdb4b091c23adaade763fe933b5823b4a5bbb413b43fbe76d3272f
U+003A,58,:,YES,9,0x1FF7A,00DE000100EB00430001000D000D0000,1,13,13,0,222,1,235,67,261,"[0,20,13,57]",335,"[0,9,13,56]",dea84ca0d547ec5731eb532feea626f8cc907589a68152f5869411a35dd9de63
U+0041,65,A,YES,10,0x1FF8A,00ED0001012400430001003700370000,1,55,55,0,237,1,292,67,738,"[0,9,55,57]",636,"[0,0,55,63]",d981a35ffd288a34a104fb7a7ccf73d85aabde9708e697af2fe5f7f414903e1b
U+0042,66,B,YES,11,0x1FF9A,01250001015300430000002E002F0000,0,46,47,0,293,1,339,67,1048,"[0,9,46,57]",868,"[0,4,46,63]",6c45480c448b18f4e3c904c0a147fb0b47f00a516e6670d38ccffb84c0399043
U+0043,67,C,YES,12,0x1FFAA,01560001018300430002002D002D0000,2,45,45,0,342,1,387,67,661,"[0,8,45,58]",459,"[0,11,45,55]",b0499058d70225135ba6a5c38f88065a2e501d9c3a53c608f09776796de4519d
U+0044,68,D,YES,13,0x1FFBA,0185000101B800430001003300330000,1,51,51,0,389,1,440,67,1032,"[0,9,51,57]",288,"[0,31,49,66]",15375748631541869161f72175cc6f576b02c61691c924c965dbd6d85d9bc869
U+0045,69,E,YES,14,0x1FFCA,01BA000101E800430001002E002E0000,1,46,46,0,442,1,488,67,822,"[0,9,46,57]",630,"[0,4,46,63]",3ed283f0aeacfed7aff26e467ce1fd396a954f8a5cdc5ec8a7c12906ecb7dd54
U+0046,70,F,YES,15,0x1FFDA,01EA0001021700430001002D002C0000,1,45,44,0,490,1,535,67,719,"[0,9,44,57]",717,"[0,8,41,57]",dc024840afcb9ab0b805a530227cbc6c0d8095adaea8a16e891188057bd784da
U+0047,71,G,YES,16,0x1FFEA,02190001024B00430001003200330000,1,50,51,0,537,1,587,67,838,"[0,7,50,57]",927,"[0,8,50,57]",2f1818a89af51b387b6e322c73009428ff5a1f207daf1d3e886b88759cda2826
U+0048,72,H,YES,17,0x1FFFA,024D0001028200430001003500350000,1,53,53,0,589,1,642,67,1083,"[0,9,53,57]",973,"[0,9,53,57]",5df9920e6e30baa0a9e735c916c5f36c5dd916208c111a526d1d62050b1b30f1
U+0049,73,I,YES,18,0x2000A,02840001029B00430001001700170000,1,23,23,0,644,1,667,67,510,"[0,9,23,57]",565,"[0,9,23,57]",0dd8df23fef08030eae5df04c5119b9b9528a8882c356f162926486893fc1d3a
U+004B,75,K,YES,19,0x2001A,029D000102D200430001003500340000,1,53,52,0,669,1,722,67,1058,"[0,9,53,57]",922,"[0,8,53,57]",7ad67154a1126fa2e95c801675ab44c4bfbdc57f54ce0d11092df301778f32a2
U+004C,76,L,YES,20,0x2002A,02D40001030100430001002D002C0000,1,45,44,0,724,1,769,67,621,"[0,9,44,57]",937,"[0,8,45,57]",2ad12ffebaa7fa6021887e6a27af4c267fcdc25108b688b0de62982145b83071
U+004D,77,M,YES,21,0x2003A,03030001033D00430001003A003A0000,1,58,58,0,771,1,829,67,1201,"[0,9,58,58]",1092,"[0,8,58,66]",97ed920b6440ff442e425126b2ec557acf32f937c0ca948eaf944f786cc32daa
U+004E,78,N,YES,22,0x2004A,033F0001037300430001003400330000,1,52,51,0,831,1,883,67,823,"[0,9,52,58]",633,"[0,2,52,65]",2fdb834196e187b17cc56ff77fb5aee624590ed403e018197951f0f972a8476e
U+004F,79,O,YES,23,0x2005A,0375000103A700430001003200320000,1,50,50,0,885,1,935,67,948,"[0,8,50,58]",555,"[0,2,50,64]",4fc9251f678ecece9487d1f965a9d2ac0aae4bbd862b25ab9aaa5386d3be4d0c
U+0050,80,P,YES,24,0x2006A,03A9000103D400430001002B002B0000,1,43,43,0,937,1,980,67,822,"[0,9,43,57]",710,"[0,9,43,57]",109dc4f3d96973afdc89fccb0d219ecd85dff6f761a7e878c0b27c7e3e6987d7
U+0052,82,R,YES,25,0x2007A,03D60001040800430001003200310000,1,50,49,0,982,1,1032,67,1084,"[0,9,50,57]",1069,"[0,8,50,59]",d00627d695e5d16bd0149cc6e2cd921e704ccafe2c52df74aea52bc003e2a9c3
U+0053,83,S,YES,26,0x2008A,040A0001043100430001002700270000,1,39,39,0,1034,1,1073,67,792,"[0,8,38,58]",754,"[0,9,39,56]",148ad269346f3b7a72ee2c2eddc8f4485e946a6254c65fa27ac3df96de7ad3c5
U+0054,84,T,YES,27,0x2009A,04330001046600430001003300320000,1,51,50,0,1075,1,1126,67,723,"[0,9,51,57]",1062,"[0,9,51,57]",f6249f7460d33670f18fcd7c2df7e681d6c5e040152ea3e1124bbc882f33fe11
U+0055,85,U,YES,28,0x200AA,04680001049D00430001003500340000,1,53,52,0,1128,1,1181,67,653,"[0,9,53,57]",878,"[0,8,53,57]",7d1f5f0a068989b9e529a12e9375827a693677bf7505891ee1cee6db0a65bcbc
U+0057,87,W,YES,29,0x200BA,049F000104DD00430001003E003D0000,1,62,61,0,1183,1,1245,67,1145,"[0,9,62,58]",1330,"[0,9,62,56]",0a34e854db7f7f1c2dde04d7900958eb3f40ea973a77ce2e3b5eecca08f33cbf
U+0060,96,`,YES,30,0x200CA,04DF000104F200430001001300140000,1,19,20,0,1247,1,1266,67,100,"[0,0,19,8]",204,"[0,9,19,35]",e7063d277580af172c8288230bd7e1c1f7cc40461cf7d34009af0033d64cec91
U+0061,97,a,YES,31,0x200DA,04F3000105190043FFFF002600260000,-1,38,38,0,1267,1,1305,67,663,"[0,23,38,58]",656,"[0,8,38,57]",276a11cb1e92d40dc8afbff5cbac3fbb640db99dcb1062d986a045a5e9129cba
U+0062,98,b,YES,32,0x200EA,051A000105420043FFFF002800270000,-1,40,39,0,1306,1,1346,67,817,"[0,5,40,58]",626,"[0,9,40,56]",488422332ae0a92cd28b8a4436fc9f39629e57b10fb0702295d9bf2ff6fe98a2
U+0065,101,e,YES,33,0x200FA,05440001056600430001002200220000,1,34,34,0,1348,1,1382,67,553,"[0,23,34,58]",684,"[0,9,34,57]",37459bd63943f14f08cef147c7612a115dbc753061d660c125987d09d589b2ce
U+0069,105,i,YES,34,0x2010A,05670001057E0043FFFF001700170000,-1,23,23,0,1383,1,1406,67,482,"[0,8,23,57]",629,"[0,9,23,56]",56c31b01cd133e92bee65122eab7ee8b1d6527dbc93e4e476f2e81c98d1eeab2
U+006C,108,l,YES,35,0x2011A,057F000105960043FFFF001700170000,-1,23,23,0,1407,1,1430,67,511,"[0,5,23,57]",386,"[0,9,23,56]",3fac548ba23e8d97c263fa92ac935df6fc71503260c80fc03196b80e745ef7ed
U+006E,110,n,YES,36,0x2012A,0597000105C500430000002E002D0000,0,46,45,0,1431,1,1477,67,761,"[0,22,46,57]",602,"[0,9,46,56]",9c66a463aa1b3f2d8537f776e36984c940a3095a10b4a806cdb0c960c70ed5b6
U+006F,111,o,YES,37,0x2013A,05C6000105EA00430000002400240000,0,36,36,0,1478,1,1514,67,594,"[0,23,36,58]",743,"[0,9,36,56]",80d71cd6add8b1671d1948a52657cb91e581634f2deec1db92d16fb352c53140
U+0072,114,r,YES,38,0x2014A,05EB0001060900430000001E001D0000,0,30,29,0,1515,1,1545,67,459,"[0,22,30,57]",634,"[0,9,30,56]",5d658a63ef64c576db239c22d262d432ca9471351dab1227181d457dea2e3708
U+0074,116,t,YES,39,0x2015A,060A0001062500430000001B001B0000,0,27,27,0,1546,1,1573,67,468,"[0,12,27,58]",675,"[0,9,27,56]",cb8970019d537633c1677dcaf013ac62b7e1b2d01eec84b49d60f7d3aef49e1d
