character,codepoint,production_occurrences,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
!,U+0021,134,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
"""",U+0022,436,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
#,U+0023,22,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
$,U+0024,1,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
%,U+0025,293,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
&,U+0026,16,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
',U+0027,437,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
(,U+0028,1577,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
),U+0029,1565,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
*,U+002A,60,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
+,U+002B,170,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
",",U+002C,105,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
-,U+002D,5112,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
.,U+002E,1691,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
/,U+002F,924,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
0,U+0030,8260,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
1,U+0031,6976,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
2,U+0032,4032,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
3,U+0033,2516,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
4,U+0034,3117,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
5,U+0035,2618,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
6,U+0036,2835,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
7,U+0037,2554,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
8,U+0038,1012,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
9,U+0039,2160,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
:,U+003A,728,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
;,U+003B,1,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
<,U+003C,57,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
=,U+003D,3,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
>,U+003E,61,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
?,U+003F,202,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
@,U+0040,39,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
A,U+0041,16940,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
B,U+0042,5641,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
C,U+0043,9774,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
D,U+0044,5005,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
E,U+0045,19082,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
F,U+0046,2495,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
G,U+0047,5431,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
H,U+0048,2548,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
I,U+0049,9471,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
J,U+004A,289,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
K,U+004B,3984,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
L,U+004C,7197,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
M,U+004D,12186,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
N,U+004E,8206,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
O,U+004F,12758,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
P,U+0050,8553,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
