codepoint,character,unicode_name,category,occurrence_count,resource_classes,is_han,is_ascii,is_kana,is_punctuation,is_symbol,selector_requirement
U+0020, ,SPACE,Zs,27,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+002D,-,HYPHEN-MINUS,Pd,2,LOOSE_OLANG,NO,YES,NO,YES,NO,PROVEN_001C
U+0031,1,DIGIT ONE,Nd,1,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0032,2,DIGIT TWO,Nd,1,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0041,A,LATIN CAPITAL LETTER A,Lu,8,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0042,B,LATIN CAPITAL LETTER B,Lu,7,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0043,C,LATIN CAPITAL LETTER C,Lu,7,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0044,D,LATIN CAPITAL LETTER D,Lu,7,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0045,E,LATIN CAPITAL LETTER E,Lu,34,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0046,F,LATIN CAPITAL LETTER F,Lu,1,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0047,G,LATIN CAPITAL LETTER G,Lu,3,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0048,H,LATIN CAPITAL LETTER H,Lu,2,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0049,I,LATIN CAPITAL LETTER I,Lu,11,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+004C,L,LATIN CAPITAL LETTER L,Lu,8,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+004D,M,LATIN CAPITAL LETTER M,Lu,16,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+004E,N,LATIN CAPITAL LETTER N,Lu,11,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+004F,O,LATIN CAPITAL LETTER O,Lu,24,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0050,P,LATIN CAPITAL LETTER P,Lu,12,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0052,R,LATIN CAPITAL LETTER R,Lu,18,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0053,S,LATIN CAPITAL LETTER S,Lu,32,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0054,T,LATIN CAPITAL LETTER T,Lu,19,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0055,U,LATIN CAPITAL LETTER U,Lu,8,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0056,V,LATIN CAPITAL LETTER V,Lu,5,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0057,W,LATIN CAPITAL LETTER W,Lu,1,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0060,`,GRAVE ACCENT,Sk,1,LOOSE_OLANG,NO,YES,NO,NO,YES,PROVEN_001C
U+0061,a,LATIN SMALL LETTER A,Ll,1,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0065,e,LATIN SMALL LETTER E,Ll,3,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0068,h,LATIN SMALL LETTER H,Ll,3,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+006F,o,LATIN SMALL LETTER O,Ll,3,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+0073,s,LATIN SMALL LETTER S,Ll,6,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+007A,z,LATIN SMALL LETTER Z,Ll,1,LOOSE_OLANG,NO,YES,NO,NO,NO,PROVEN_001C
U+2014,—,EM DASH,Pd,2,LOOSE_OLANG,NO,NO,NO,YES,NO,PROVEN_001C
U+201C,“,LEFT DOUBLE QUOTATION MARK,Pi,7,LOOSE_OLANG,NO,NO,NO,YES,NO,PROVEN_001C
U+201D,”,RIGHT DOUBLE QUOTATION MARK,Pf,7,LOOSE_OLANG,NO,NO,NO,YES,NO,PROVEN_001C
U+2026,…,HORIZONTAL ELLIPSIS,Po,26,LOOSE_OLANG,NO,NO,NO,YES,NO,PROVEN_001C
U+3001,、,IDEOGRAPHIC COMMA,Po,15,LOOSE_OLANG,NO,NO,NO,YES,NO,PROVEN_001C
U+3002,。,IDEOGRAPHIC FULL STOP,Po,69,LOOSE_OLANG,NO,NO,NO,YES,NO,PROVEN_001C
U+3010,【,LEFT BLACK LENTICULAR BRACKET,Ps,2,LOOSE_OLANG,NO,NO,NO,YES,NO,PROVEN_001C
U+3011,】,RIGHT BLACK LENTICULAR BRACKET,Pe,2,LOOSE_OLANG,NO,NO,NO,YES,NO,PROVEN_001C
U+4E00,一,CJK UNIFIED IDEOGRAPH-4E00,Lo,13,LOOSE_OLANG,YES,NO,NO,NO,NO,PROVEN_001C
U+4E0A,上,CJK UNIFIED IDEOGRAPH-4E0A,Lo,3,LOOSE_OLANG,YES,NO,NO,NO,NO,PROVEN_001C
