selector,codepoint,character,glyph_index,atlas_x,atlas_y,width,height,bearing,advance,glyph_source,font_file,font_file_sha256,font_face_index,font_size,baseline,bitmap_sha256,is_han_override
00c7c9f9.xpr,U+0000,,0,2,2,21,66,5,25,CLEAN_JPN_PRESERVED,,,,,,1b644e26af35d134651dca67d3a009da92a650980ad16a98620281a44f367e7d,NO
00c7c9f9.xpr,U+0009,	,1,25,2,1,66,0,0,CLEAN_JPN_PRESERVED,,,,,,efbb03b7a7f6fd3c29391d4d0281e1830a85caadd831c3f04716faca4107a42e,NO
00c7c9f9.xpr,U+0020, ,2,28,2,1,66,0,21,CLEAN_JPN_PRESERVED,,,,,,efbb03b7a7f6fd3c29391d4d0281e1830a85caadd831c3f04716faca4107a42e,NO
00c7c9f9.xpr,U+0021,!,3,31,2,8,66,3,11,CLEAN_JPN_PRESERVED,,,,,,c241547c4e880b7cad2d45469711ae82a9ca49549d530c288cef3e8dbc1b93cf,NO
00c7c9f9.xpr,U+0022,"""",4,41,2,14,66,2,16,CLEAN_JPN_PRESERVED,,,,,,1b95c02ccb38401d4519cf09319368f1c6d1b74be9aecf9fff426352601ada0f,NO
00c7c9f9.xpr,U+0023,#,5,57,2,45,66,2,46,CLEAN_JPN_PRESERVED,,,,,,5ea3d13eabc98789ccf644aa5a1e0cefbbccc21bfa968dfa744ed5b11ee1a5ab,NO
00c7c9f9.xpr,U+0024,$,6,104,2,35,66,2,36,CLEAN_JPN_PRESERVED,,,,,,8be3d8824081ce1a7d95717afd7721e23b3330cac714e983c0ffd7012ecbbef1,NO
00c7c9f9.xpr,U+0025,%,7,141,2,49,66,2,50,CLEAN_JPN_PRESERVED,,,,,,1d17971ff133914825aa8d03ac0247fa69273779c9041cf4a0598ee99b8acc6e,NO
00c7c9f9.xpr,U+0026,&,8,192,2,45,66,2,45,CLEAN_JPN_PRESERVED,,,,,,ec4690ec5fe830e3313fd24c43b5a6f9d6a8fa1396ea122a4ae8fc8c1b153034,NO
00c7c9f9.xpr,U+0027,',9,239,2,15,66,2,16,CLEAN_JPN_PRESERVED,,,,,,4ede8eb04ddb614c493987dd260469940542a4202de17e87c8e4f364bb1b1881,NO
00c7c9f9.xpr,U+0028,(,10,256,2,19,66,2,20,CLEAN_JPN_PRESERVED,,,,,,b35b9f6a054284abb8a2c427060f8f48a63cfeee013a4886a82b65f60753c22f,NO
00c7c9f9.xpr,U+0029,),11,277,2,19,66,2,20,CLEAN_JPN_PRESERVED,,,,,,892456cded5d3b37d15c735ae33a1fc0b9b74ab9eeb38e2cd49361c4aa0e2dcb,NO
00c7c9f9.xpr,U+002A,*,12,298,2,37,66,2,38,CLEAN_JPN_PRESERVED,,,,,,2a38a6962cc2aed9620a5afa9660c683cee41e76de4edf6a3f9cf8b500bdce5c,NO
00c7c9f9.xpr,U+002B,+,13,337,2,44,66,2,44,CLEAN_JPN_PRESERVED,,,,,,667624a926d03ab61f7d96e8f9a66acec2b9b9cadb91fd6219b4ec13ab8ab034,NO
00c7c9f9.xpr,U+002C,",",14,383,2,9,66,2,10,CLEAN_JPN_PRESERVED,,,,,,8eb616ae2c4b82bfd85b4975bea4e34aa520b8fc15bf2336b980754bdd8de660,NO
00c7c9f9.xpr,U+002D,-,15,394,2,17,66,2,18,CLEAN_JPN_PRESERVED,,,,,,2b6d5a1efd0bc66965d462db6f5f6ba95f2798c5b0620275e76ebddb1b0f77ed,NO
00c7c9f9.xpr,U+002E,.,16,413,2,8,66,2,10,CLEAN_JPN_PRESERVED,,,,,,3fdedd8114f1eebea470535cad9dcf5c3c9675aa377a0e44f5db7f730103cf11,NO
00c7c9f9.xpr,U+002F,/,17,423,2,31,66,1,31,CLEAN_JPN_PRESERVED,,,,,,aadce824113f518735309d61fe6f25896e8c7264b30e4e1e37577d6b27b2bc85,NO
00c7c9f9.xpr,U+0030,0,18,456,2,34,66,2,34,CLEAN_JPN_PRESERVED,,,,,,c18798149c7741b92b3d4d34655bdd9956645334ef000d5785b500ec73a3728b,NO
00c7c9f9.xpr,U+0031,1,19,492,2,15,66,7,29,CLEAN_JPN_PRESERVED,,,,,,6fb5600a6b8964d7153907c1cbb9c01c40007e981e683df9e1624ef02fae031a,NO
00c7c9f9.xpr,U+0032,2,20,509,2,31,66,3,33,CLEAN_JPN_PRESERVED,,,,,,7af9e0ec1f9f75b646359f481331f26669e7c63db7b19bef490a6c7dbec27f67,NO
00c7c9f9.xpr,U+0033,3,21,542,2,31,66,3,33,CLEAN_JPN_PRESERVED,,,,,,87af04b46455fa4c91137bd8c324fb3d82154a339a546027b33db4e0cde3b4a3,NO
00c7c9f9.xpr,U+0034,4,22,575,2,33,66,2,34,CLEAN_JPN_PRESERVED,,,,,,77ad7e3daafcb80226a6950ac966ed7009354735f8a9e020e4fc36a442487f73,NO
00c7c9f9.xpr,U+0035,5,23,610,2,31,66,3,33,CLEAN_JPN_PRESERVED,,,,,,8171fb8d27bf2451c02fe9843c103a406e36d7ad8dfccc1e98932425fde6c747,NO
00c7c9f9.xpr,U+0036,6,24,643,2,31,66,3,33,CLEAN_JPN_PRESERVED,,,,,,d79eedf3c7f613deeb14857f123015cee280abdf7dad778f2ea827ec644e6d3c,NO
00c7c9f9.xpr,U+0037,7,25,676,2,30,66,4,32,CLEAN_JPN_PRESERVED,,,,,,0d0635b38012fa924bdc02beb8d18d7788fbbf1f6e67022d67f9a5c0a3b2c07c,NO
00c7c9f9.xpr,U+0038,8,26,708,2,33,66,2,34,CLEAN_JPN_PRESERVED,,,,,,5457ada96e193e39cc2ea03f197fad113aad72420f24a7d424657d97aaa0e1c9,NO
00c7c9f9.xpr,U+0039,9,27,743,2,31,66,3,33,CLEAN_JPN_PRESERVED,,,,,,18e876ae932edd1bf8529ee198b01dbb747fb2031ee7154aa11559ceb6ed7941,NO
00c7c9f9.xpr,U+003A,:,28,776,2,8,66,2,10,CLEAN_JPN_PRESERVED,,,,,,9c3de759accd9d9a3694e51f2d7dea89a2351d3299a4b8a975dc7c5ed8a2bc23,NO
00c7c9f9.xpr,U+003B,;,29,786,2,9,66,2,10,CLEAN_JPN_PRESERVED,,,,,,220b395aa831986bcb8014b8a6a164568e8ba12861b4557e1aa8bfa3213e967d,NO
00c7c9f9.xpr,U+003C,<,30,797,2,31,66,1,32,CLEAN_JPN_PRESERVED,,,,,,f45a810c613555927cd921420c7c8db47f97b89d3d08ade84a9dfbf1b9eea41c,NO
