jpn_base,jpn_ruby,cn_base,cn_ruby,occurrence_count
ZEKE,ジーク,ZEKE,ZEKE,65
人工知能,AI,人工智能,AI,23
CIPHER,サイファー,CIPHER,CIPHER,25
FSLN,サンディニスタ,FSLN,SANDINISTA,28
同志,コンパ,同志,COMPA,25
父さん,ミ・ビエホ,老爸,MI VIEJO,31
研究施設,ラボ,研究设施,LAB,23
司令官,コマンダンテ,指挥官,COMANDANTE,16
任務,ミッション,任务,MISSION,19
BIGBOSS,ビッグボス,BIG BOSS,BIG BOSS,31
貧者の傘,ソンブリヤ・デ・ポブレ,穷人的伞,SOMBRILLA DE POBRE,12
列車車庫,ターミナル,铁路货运站,TERMINAL,22
機械,マシン,机器,MACHINE,17
CIA,ラ・シーア,CIA,LA CIA,9
幽霊,ファンタズマ,幽灵,FANTASMA,8
彼女,ザ・ボス,她,THE BOSS,11
FSLN,フレンテ,FSLN,FRENTE,6
ビニールシート,チャンパ,塑料布,CHAMPA,6
国家警備隊,グァルディア,国民警卫队,LA GUARDIA,10
地域,エリア,区域,AREA,6
アメリカ航空宇宙局,NASA,美国国家航空航天局,NASA,5
ニカラグア湖,ラゴ・コシボルカ,尼加拉瓜湖,LAGO COCIBOLCA,7
爬虫類,レプタイル,爬虫类,REPTILE,9
狙撃兵,スナイパー,狙击手,SNIPER,8
目標,ターゲット,目标,TARGET,7
祖国,ニカラグア,祖国,NICARAGUA,11
UMA,ユーマ,UMA,UMA,4
　標　的　,ターゲット,目标,TARGET,4
偵察,スカウト,侦察,SCOUT,9
合衆国,アメリカ,美国,AMERICA,9
天国,ヘブン,天堂,HEAVEN,7
平和,パス,和平,PAZ,7
意志,ウィル,意志,WILL,6
標的,ターゲット,靶标,TARGET,4
狩人,ハンター,猎人,HUNTER,4
祖国,アメリカ,祖国,AMERICA,7
米州機構,OAS,美洲国家组织,OAS,4
自動照準,AUTO AIM,自动瞄准,AUTO AIM,4
高等研究企画局,ARPA,高级研究计划局,ARPA,4
 CIA ,ラ・シーア,CIA,LA CIA,3
 本体 ,プラットフォーム,本体,PLATFORM,3
CIA,コールドマン,CIA,COLDMAN,3
『国境なき軍隊』,MSF,『无国界军队』,MSF,3
コーヒー園,カフェタル,咖啡园,CAFETAL,3
ニカラグア人,ニカ,尼加拉瓜人,NICA,3
バナナ園,バナネル,香蕉园,BANANAL,5
依頼人,クライアント,委托人,CLIENT,3
原爆傷害調査委員会,ABCC,原爆伤害调查委员会,ABCC,3
大陸間弾道ミサイル,ICBM,洲际弹道导弹,ICBM,3
天国の外,アウター・ヘブン,世外天堂,OUTER HEAVEN,4
山岳,イラス,山区,IRAZÚ,4
平和,ラ・パス,和平,LA PAZ,3
彼女,ママルポッド,她,MAMMAL POD,3
手を上げている,ホールドアップ,举手投降,HOLD UP,3
指導者,カシーケ,领袖,CACIQUE,3
指示,タギング,指示,TAGGING,3
施設,ラボ,设施,LAB,6
未確認動物,UMA,未确认动物,UMA,3
本部,ラングレー,总部,LANGLEY,5
業,カルマ,业,KARMA,3
相互確証破壊,MAD,相互确保摧毁,MAD,5
祖国,ニカ,祖国,NICA,4
葉巻,シガー,雪茄,CIGAR,5
蛙,ソモサ,蛤蟆,SOMOZA,5
開発公社,CODESA,发展公司,CODESA,3
 FSLN ,サンディニスタ,FSLN,SANDINISTA,4
 ここ ,マザーベース,这里,MOTHER BASE,2
 実 存 主 義 ,エグジスタンシアリスム,存 在 主 义,EXISTENTIALISME,2
 怪物 ,モンスター,怪物,MONSTER,2
 掃討 ,クリアリング,扫荡,clearing,2
 降伏 ,ホールドアップ,投降,HOLD UP,3
0,ゼロ,0,ZERO,2
EVA,エヴァ,EVA,EVA,2
　核　砲　弾　,デイビー・クロケット,核　炮　弹,DAVY CROCKETT,2
『OUTER OPS』,アウター オプス,『OUTER OPS』,OUTER OPS,2
『UMA』,ユーマ,『UMA』,UMA,2
あいつ,チコリブリ,那家伙,Chicolibri,2
あたし達,サンディニスタ,我们,SANDINISTA,2
お前,スネーク,你,SNAKE,2
ぶら下がれば,エルード,悬挂,ELUDE,2
ろくでなし,サノバビッチ,混蛋,son of a bitch,2
サン・ファン河,リオ・サン・ファン,圣胡安河,Río San Juan,2
