resource_class,file_id,json_path,csv_path,json_exists,csv_exists,json_rows,csv_rows,matched_rows,text_equal_rows,text_different_rows,json_only_rows,csv_only_rows,canonical_source,production_compiler,builder,builder_translation_input,status,notes
LOOSE_OLANG,0005EE2F,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/0005EE2F.json,translations/loose_olang/0005EE2F.csv,true,true,31,31,31,31,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=1
LOOSE_OLANG,00225520,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/00225520.json,translations/loose_olang/00225520.csv,true,true,54,54,54,54,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=1
LOOSE_OLANG,00327F6A,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/00327F6A.json,translations/loose_olang/00327F6A.csv,true,true,4,4,4,4,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=1
LOOSE_OLANG,0043DA6E,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/0043DA6E.json,translations/loose_olang/0043DA6E.csv,true,true,21,21,21,21,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=1
LOOSE_OLANG,005184E3,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/005184E3.manifest.json,translations/loose_olang/005184E3.csv,true,true,139,139,139,139,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=3; explicit manifest canonical
LOOSE_OLANG,0060E2F2,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/0060E2F2.json,translations/loose_olang/0060E2F2.csv,true,true,19,19,19,19,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=1
LOOSE_OLANG,0066E64E,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/0066E64E.json,translations/loose_olang/0066E64E.csv,true,true,66,66,66,66,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=1
LOOSE_OLANG,0072F326,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/0072F326.json,translations/loose_olang/0072F326.csv,true,true,42,42,42,42,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=1
LOOSE_OLANG,007E2F18,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/007E2F18.manifest.json,translations/loose_olang/007E2F18.csv,true,true,1094,1094,1094,1094,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=12; explicit manifest canonical
LOOSE_OLANG,00C6A046,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/00C6A046.json,translations/loose_olang/00C6A046.csv,true,true,8,8,8,8,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=1
LOOSE_OLANG,00C79B17,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/00C79B17.json,translations/loose_olang/00C79B17.csv,true,true,26,26,26,26,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=1
LOOSE_OLANG,00CB1FB7,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/00CB1FB7.json,translations/loose_olang/00CB1FB7.csv,true,true,106,106,106,106,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=1
LOOSE_OLANG,00D0C740,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/00D0C740.json,translations/loose_olang/00D0C740.csv,true,true,68,68,68,68,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=1
LOOSE_OLANG,00D345A5,work/luna_translation_templates/sol_translation_mappings/LOOSE_OLANG/00D345A5.manifest.json,translations/loose_olang/00D345A5.csv,true,true,41,41,41,41,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnLooseOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (LOOSE_OLANG rows),PASS,canonical_json_artifacts=3; explicit manifest canonical
SLOT_OLANG,5D02EB62,work/luna_translation_templates/sol_translation_mappings/SLOT_OLANG/5D02EB62.json,translations/slot_olang/5D02EB62.csv,true,true,1,1,1,1,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnSlotOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (SLOT_OLANG rows),PASS,canonical_json_artifacts=1
SLOT_OLANG,5D06A8D5,work/luna_translation_templates/sol_translation_mappings/SLOT_OLANG/5D06A8D5.manifest.json,translations/slot_olang/5D06A8D5.csv,true,true,69,69,69,69,0,0,0,JSON_CANONICAL_CSV_GENERATED,tools/Compile-ProductionTranslations.py::main/compile_files/build_manifest,tools/Build-JpnSlotOlangFromManifest.py::read_manifest/translated_texts,build/translation/compiled_translation_manifest.csv (SLOT_OLANG rows),PASS_DEFINED_JSON_PRECEDENCE,canonical_json_artifacts=3; explicit manifest canonical; conflicting complete flat JSON exists; explicit manifest wins
