relative_destination,source_builder_or_output,resource_class,operation,backup_required,generated_or_committed,sha256,runtime_dependency,status
mgspw/JPN/disc0_rel/002aba34.DAT,build/readiness/unified_slot/mgspw/JPN/disc0_rel/002aba34.DAT,SLOT_DAT,replace,yes,generated,91eaf50c20c2ce00237a6ec02ffda7e4018c1edb8ab014e5ec27566ef36071d2,slot runtime,CONFIRMED_RESOURCE
mgspw/JPN/disc0_rel/002aba34.KEY,build/readiness/unified_slot/mgspw/JPN/disc0_rel/002aba34.KEY,SLOT_KEY,replace,yes,generated,a156448279a43d386808a650c6c29f6de7210a7fa352af7f08f94b0f4e3f307c2,slot runtime,CONFIRMED_RESOURCE
mgspw/JPN/disc0_rel/009645fa.PDT,build/readiness/stagedat/mgspw/JPN/disc0_rel/009645fa.PDT,STAGEDAT,replace,yes,generated,ad14d3453b5ca2ae5dc7fde97b6c50bfdf69944760e47919472568e041b64308,STAGEDAT_OLANG runtime,CONFIRMED_RESOURCE
mgspw/JPN/disc0_rel/0076531d.DAT,build/readiness/briefing/mgspw/JPN/disc0_rel/0076531d.DAT,BRIEFING_DAT,replace,yes,generated,c861796bae44eed00849e21cff423bfdb55af081fa96259cd53910427c4c818e,BRIEFING_NBE runtime,CONFIRMED_RESOURCE
mgspw/JPN/Text/0005ee2f.olang,build/readiness/full_package/mgspw/JPN/Text/0005ee2f.olang,LOOSE_OLANG,replace,yes,generated,6c6b252023cb90b3bca5f373522280770decbde9954c80df14b509a8c4d1a831,LOOSE_OLANG runtime,CONFIRMED_RESOURCE
mgspw/JPN/Text/00225520.olang,build/readiness/full_package/mgspw/JPN/Text/00225520.olang,LOOSE_OLANG,replace,yes,generated,38000e8250f8f3a5d5ceb212ad8480c5a00d7de7df1965a2722641e3899668d6,LOOSE_OLANG runtime,CONFIRMED_RESOURCE
mgspw/JPN/Text/00327f6a.olang,build/readiness/full_package/mgspw/JPN/Text/00327f6a.olang,LOOSE_OLANG,replace,yes,generated,5deaaf5a7999d93fc5873bb093e806b461cd1f8977a38b88bee3a436c1d246c7,LOOSE_OLANG runtime,CONFIRMED_RESOURCE
mgspw/JPN/Text/0043da6e.olang,build/readiness/full_package/mgspw/JPN/Text/0043da6e.olang,LOOSE_OLANG,replace,yes,generated,ebd29edb50b00761321e9845c850fcc94f7be82b364146fe70a38df793aec2e5,LOOSE_OLANG runtime,CONFIRMED_RESOURCE
mgspw/JPN/Text/005184e3.olang,build/readiness/full_package/mgspw/JPN/Text/005184e3.olang,LOOSE_OLANG,replace,yes,generated,65d41c67cd5862bdd1edb4c2dac40fa1ad0ad7cf105f5c1c9e363b4978c4cf73,LOOSE_OLANG runtime,CONFIRMED_RESOURCE
mgspw/JPN/Text/0060e2f2.olang,build/readiness/full_package/mgspw/JPN/Text/0060e2f2.olang,LOOSE_OLANG,replace,yes,generated,1ed04c58eb22978080cda60175bc5573cbf5943ecdb05c9c8ddc4ccc9d254116,LOOSE_OLANG runtime,CONFIRMED_RESOURCE
mgspw/JPN/Text/0066e64e.olang,build/readiness/full_package/mgspw/JPN/Text/0066e64e.olang,LOOSE_OLANG,replace,yes,generated,a88a98d5e8ab10c528a711e55722289c9366b684a138d7eb77692fbb81561e6c,LOOSE_OLANG runtime,CONFIRMED_RESOURCE
mgspw/JPN/Text/0072f326.olang,build/readiness/full_package/mgspw/JPN/Text/0072f326.olang,LOOSE_OLANG,replace,yes,generated,73c0e051446fea326bbcb25318b6bb2dd918ef710310873d2f6cf231005b7c31,LOOSE_OLANG runtime,CONFIRMED_RESOURCE
mgspw/JPN/Text/007e2f18.olang,build/readiness/full_package/mgspw/JPN/Text/007e2f18.olang,LOOSE_OLANG,replace,yes,generated,3eb5a2379bda249069c443382a392b594b3971c8b231a3479893957a5274e3d3,LOOSE_OLANG runtime,CONFIRMED_RESOURCE
mgspw/JPN/Text/00c6a046.olang,build/readiness/full_package/mgspw/JPN/Text/00c6a046.olang,LOOSE_OLANG,replace,yes,generated,955acbf492fb4f76657767ae65457affd9d240eb9fa731abc752f29b66c75787,LOOSE_OLANG runtime,CONFIRMED_RESOURCE
