resource_type,container,page,page_entry_start,page_entry_capacity,tag_index,file_id,payload_variant_index,occurrence_count,occurrence_locations,archive_entry_index,archive_entry_name,entity_index,entity_key,entity_key_occurrence,reference_index,ordinal_in_entity,language_key,style,body_relative_offset,text_absolute_offset,text_encoding,text_byte_length,terminator_present,text_group_id,control_tokens,jpn_text,mlg_cn_reference,eng_reference,reference_status,reference_method,reference_reason,cn_text
STAGEDAT_OLANG,JPN/disc0_rel/009645fa.PDT,1,,,,lang_communicationstelop.olang,0,1,1:0:lang_communicationstelop.olang,0,lang_communicationstelop.olang,0,00A1718F,0,0,0,00000DB0,0x00000402,118,274,UTF-8,51,true,TXT_74FEA40DF7A58916,[],（不要）通信が不安定になっています,,（不要）通信が不安定になっています,AUX_UNCHANGED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,auxiliary bank retains the original JPN text,
STAGEDAT_OLANG,JPN/disc0_rel/009645fa.PDT,1,,,,lang_communicationstelop.olang,0,1,1:0:lang_communicationstelop.olang,0,lang_communicationstelop.olang,1,00A1718F,1,1,0,00000DB0,0x00000402,170,326,UTF-8,309,true,TXT_82BE3B6329749C12,[],（不要）通信不安定メッセージ002。流れる文字のテスト用にとっても長い文章を入れてみていますよーーーーーーーーーーーーーーーー。ドンだけ長い文章にすればいいかわからないのでだいぶたくさん入れてみてますよーーーー,,（不要）通信不安定メッセージ002。流れる文字のテスト用にとっても長い文章を入れてみていますよーーーーーーーーーーーーーーーー。ドンだけ長い文章にすればいいかわからないのでだいぶたくさん入れてみてますよーーーー,AUX_UNCHANGED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,auxiliary bank retains the original JPN text,
STAGEDAT_OLANG,JPN/disc0_rel/009645fa.PDT,1,,,,lang_communicationstelop.olang,0,1,1:0:lang_communicationstelop.olang,0,lang_communicationstelop.olang,2,0005F700,0,2,0,00000DB0,0x00000402,0,156,UTF-8,45,true,TXT_683745D41C05D540,"[""$1""]",$1 がミッションから離脱しました,$1 已离开任务。,$1 has left the mission.,AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,,
STAGEDAT_OLANG,JPN/disc0_rel/009645fa.PDT,1,,,,lang_communicationstelop.olang,0,1,1:0:lang_communicationstelop.olang,0,lang_communicationstelop.olang,4,00AE80D2,0,3,0,00000DB0,0x00000402,78,234,UTF-8,39,true,TXT_844FB7B73457D9B6,[],通信が不安定になっています,CONNECTION UNSTABLE,CONNECTION UNSTABLE,AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,,
STAGEDAT_OLANG,JPN/disc0_rel/009645fa.PDT,1,,,,lang_communicationstelop.olang,0,1,1:0:lang_communicationstelop.olang,0,lang_communicationstelop.olang,3,0085D8B6,0,4,0,00000DB0,0x00000402,46,202,UTF-8,30,true,TXT_17BDCD4224C66DC3,[],接続に失敗しています,CONNECTION FAILED,CONNECTION FAILED,AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,,
STAGEDAT_OLANG,JPN/disc0_rel/009645fa.PDT,1,,,,lang_demotelop.olang,0,1,1:6:lang_demotelop.olang,6,lang_demotelop.olang,0,0029E0FC,0,0,0,00000DB0,0x00000402,260,1328,UTF-8,45,true,TXT_5A69C1BC38F7907D,[],"









         1974年11月4日  15:42   ","







1974年11月4日 15:42","









         November 4, 1974 15:42",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,,
STAGEDAT_OLANG,JPN/disc0_rel/009645fa.PDT,1,,,,lang_demotelop.olang,0,1,1:6:lang_demotelop.olang,6,lang_demotelop.olang,1,0029E0FC,1,1,0,00000DB0,0x00000402,220,1288,UTF-8,38,true,TXT_1BF1A886DBC538EC,[],"









         1974年11月10日  ","







1974年11月10日","









         November 10, 1974",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,,
STAGEDAT_OLANG,JPN/disc0_rel/009645fa.PDT,1,,,,lang_demotelop.olang,0,1,1:6:lang_demotelop.olang,6,lang_demotelop.olang,2,0029E0FC,2,2,0,00000DB0,0x00000402,60,1128,UTF-8,66,true,TXT_2AC6E772924977A3,[],"










          コロンビア　バランキヤ港沿岸   ","








哥伦比亚，巴兰基亚海岸","










          Barranquilla Coast, Colombia",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,,
STAGEDAT_OLANG,JPN/disc0_rel/009645fa.PDT,1,,,,lang_demotelop.olang,0,1,1:6:lang_demotelop.olang,6,lang_demotelop.olang,3,0029E0FC,3,3,0,00000DB0,0x00000402,0,1068,UTF-8,59,true,TXT_CA836D9F0E079899,[],"










          コスタリカ　カリブ海沿岸  ","








哥斯达黎加，加勒比海岸","










          Caribbean Coast, Costa Rica",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,,
STAGEDAT_OLANG,JPN/disc0_rel/009645fa.PDT,1,,,,lang_demotelop.olang,0,1,1:6:lang_demotelop.olang,6,lang_demotelop.olang,4,0029E0FC,4,4,0,00000DB0,0x00000402,496,1564,UTF-8,17,true,TXT_7748E3F1008414D6,[],OPENING/TUTORIAL ,开场/教程,OPENING/TUTORIAL ,AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,,
STAGEDAT_OLANG,JPN/disc0_rel/009645fa.PDT,1,,,,lang_demotelop.olang,0,1,1:6:lang_demotelop.olang,6,lang_demotelop.olang,5,0029E0FC,5,5,0,00000DB0,0x00000402,306,1374,UTF-8,18,true,TXT_6C085AE207C1E107,[],"
MISSION COMPLETE ","
任务完成","
MISSION COMPLETE ",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,,
