source,container,stream_index,stream_offset,next_text_stream_offset,distance_to_next_text_stream,stream_probe_size,parsed_extent,valid_data_overlaps_next_stream,block_index,block_offset_in_stream,block_file_offset,block_total_size,block_end_file_offset,field_04_hex,field_08_hex,version,relative_value,size_minus_four,field_1c_hex,offset_table_file_offset,text_base_file_offset,text_capacity,briefing_id,translation_unit_id,logical_ids_json,identifier_status,text_index,text_relative_offset,text_file_offset,terminator_file_offset,terminator_present,jpn_text,jpn_control_tokens,jpn_utf8_bytes,parse_status,parse_error,cn_text,lane,file_id,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason,eng_source_rows_json,alignment_shape
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,0,0,0x54,0xA0,YES,"カズ、“教授”が用意したプラントは、どんな具合だ？
",[],76,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"Kaz，那位「教授」
给我们的平台设施长怎么样？","[""Kaz，那位「教授」\n给我们的平台设施长怎么样？""]","Kaz, what kind of shape is that plant the
""professor"" gave us in?
","[""Kaz, what kind of shape is that plant the\n\""professor\"" gave us in?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x0; ENG blocks=0x944B0; ENG source rows=0x944B0#0; block_semantic_score=0.258965.,"[""0x944B0#0""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,1,77,0xA1,0x10F,YES,"着いた時は笑うしかなかった。海鳥だらけのデカい巣箱っ
て感じだったからな。
",[],110,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"我第一眼看到它的时候，
还以为是什么笑话。那简直是个巨大的鸟窝—
到处都是海鸥。","[""我第一眼看到它的时候，\n还以为是什么笑话。那简直是个巨大的鸟窝—\n到处都是海鸥。""]","First time I laid eyes on it, I thought it was some
kind of joke.
It was a giant birdhouse - seagulls everywhere.
","[""First time I laid eyes on it, I thought it was some\nkind of joke.\nIt was a giant birdhouse - seagulls everywhere.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x0; ENG blocks=0x944B0,0x944B0; ENG source rows=0x944B0#1,0x944B0#2; block_semantic_score=0.258965.","[""0x944B0#1"", ""0x944B0#2""]",1:2
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,2,188,0x110,0x184,YES,"サビと糞は何とか落とした。基礎構造は傷んでないから、
手入れすれば十分使える。
",[],116,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"基础结构还是完好的——
费点力气收拾一下就能用了。","[""基础结构还是完好的——\n费点力气收拾一下就能用了。""]","The underlying structure's intact - a little elbow
grease and we should be in business.
","[""The underlying structure's intact - a little elbow\ngrease and we should be in business.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x0; ENG blocks=0x944B0; ENG source rows=0x944B0#4; block_semantic_score=0.258965.,"[""0x944B0#4""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,3,305,0x185,0x205,YES,"もともとはどこの所有だったんだ？　いくらボロくても、
造るには相当のカネが必要だろう。
",[],128,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"不管现在是什么样子，
当初肯定砸了不少钱建的。据我所知，这是一所
美国大学建造的研究平台，","[""不管现在是什么样子，\n当初肯定砸了不少钱建的。据我所知，这是一所\n美国大学建造的研究平台，""]","Whatever shape it's in now, somebody sank some
serious money into building it.
From what I can tell, an American university built it
as a research platform
","[""Whatever shape it's in now, somebody sank some\nserious money into building it.\nFrom what I can tell, an American university built it\nas a research platform\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x0; ENG blocks=0x944B0,0x944B0; ENG source rows=0x944B0#6,0x944B0#7; block_semantic_score=0.258965.","[""0x944B0#6"", ""0x944B0#7""]",1:2
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,4,434,0x206,0x2C9,YES,"どうやらこのプラント、アメリカの大学が<R=海洋温度差発電,OTEC>
の研究用に造ったものらしい。サビだらけの発電タービン
に名前が残ってた。
","[""<R=海洋温度差発電,OTEC>""]",195,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"用于海洋温差发电，也就是""OTEC""。","[""用于海洋温差发电，也就是\""OTEC\""。""]","for ocean thermal energy conversion, ""OTEC.""
","[""for ocean thermal energy conversion, \""OTEC.\""\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x0; ENG blocks=0x944B0; ENG source rows=0x944B0#8; block_semantic_score=0.258965.,"[""0x944B0#8""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,5,630,0x2CA,0x36F,YES,"建造にあたっては、もちろん政府や企業の援助もあったん
だろう。だが、結局熱効率の問題を解決できずに研究は中
止。
",[],165,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"我猜他们建这个的时候，
应该也得到了政府和企业的协助。但他们没能解决热效率问题，
项目就被取消了。","[""我猜他们建这个的时候，\n应该也得到了政府和企业的协助。但他们没能解决热效率问题，\n项目就被取消了。""]","I'm guessing they must have had government and
corporate assistance to build it, too.
But they couldn't solve the thermal efficiency
problem, and the project was canceled.
","[""I'm guessing they must have had government and\ncorporate assistance to build it, too.\nBut they couldn't solve the thermal efficiency\nproblem, and the project was canceled.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x0; ENG blocks=0x944B0,0x944B0; ENG source rows=0x944B0#10,0x944B0#11; block_semantic_score=0.258965.","[""0x944B0#10"", ""0x944B0#11""]",1:2
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,6,796,0x370,0x3E1,YES,"廃棄されたこいつを、KGBのフロント企業が安く買い叩い
た…ってとこじゃないか？
",[],113,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"一家克格勃(KGB)的皮包公司
几乎是白捡似地买下了它…
至少我是这么猜的。","[""一家克格勃(KGB)的皮包公司\n几乎是白捡似地买下了它…\n至少我是这么猜的。""]","a KGB front company scooped it up for next to
nothing... At least, that's my theory.
","[""a KGB front company scooped it up for next to\nnothing... At least, that's my theory.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x0; ENG blocks=0x944B0; ENG source rows=0x944B0#13; block_semantic_score=0.258965.,"[""0x944B0#13""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,7,910,0x3E2,0x450,YES,"フロント企業を通したとは言え、よくKGBがアメリカ資本
のプラントを買えたな。
",[],110,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"克格勃(KGB)是怎么买下一座
用美国资本建造的平台的，
就算是通过皮包公司？","[""克格勃(KGB)是怎么买下一座\n用美国资本建造的平台的，\n就算是通过皮包公司？""]","How'd the KGB manage to buy a plant built with
American capital, front company or not?
","[""How'd the KGB manage to buy a plant built with\nAmerican capital, front company or not?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x0; ENG blocks=0x944B0; ENG source rows=0x944B0#14; block_semantic_score=0.258965.,"[""0x944B0#14""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,8,1021,0x451,0x488,YES,"ああ、あの“教授”、相当のやり手だ。
",[],55,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"是啊，那个""教授""还真是个厉害角色。","[""是啊，那个\""教授\""还真是个厉害角色。""]","Yeah, that ""professor"" is quite the operator.
","[""Yeah, that \""professor\"" is quite the operator.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x0; ENG blocks=0x944B0; ENG source rows=0x944B0#15; block_semantic_score=0.258965.,"[""0x944B0#15""]",1:1
JPN,0076531D,0,0x0,0x1000,4096,65536,5332,YES,0,0x0,0x0,1528,0x600,0xFFFFFFFF,0xFFFFFFFF,20,72,1524,0x00000000,0x20,0x54,1452,,STREAM_000000_BLOCK_0000,[],NONE,9,1077,0x489,0x4FF,YES,"それとこのプラント、同規格のプラントと<R=連結,ジョイント>できる造り
になってる。
","[""<R=連結,ジョイント>""]",118,SUCCESS,,,JPN_FILES,BRIEFING_FILES_BLOCK_000000,"这座平台的设计使得它能够
与其他同规格的平台对接。","[""这座平台的设计使得它能够\n与其他同规格的平台对接。""]","the plant's set up so that it can join up with other
plants of the same standard.
","[""the plant's set up so that it can join up with other\nplants of the same standard.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x0; ENG blocks=0x944B0; ENG source rows=0x944B0#17; block_semantic_score=0.258965.,"[""0x944B0#17""]",1:1
