resource_type,container,page,page_entry_start,page_entry_capacity,tag_index,file_id,payload_variant_index,occurrence_count,occurrence_locations,archive_entry_index,archive_entry_name,entity_index,entity_key,entity_key_occurrence,reference_index,ordinal_in_entity,language_key,style,body_relative_offset,text_absolute_offset,text_encoding,text_byte_length,terminator_present,text_group_id,control_tokens,jpn_text,mlg_cn_reference,eng_reference,reference_status,reference_method,reference_reason,cn_text
LOOSE_OLANG,JPN/Text/0005ee2f.olang,,,,,0005EE2F,0,1,0005ee2f.olang,,,2,00049DA9,0,4,4,00000DB0,0x00000402,4688,8000,UTF-8,15,true,TXT_29236E14BB30A64D,[],デフォルト,,,AUX_EMPTY,exact_jpn_loose_file_and_reference_index,auxiliary bank contains an empty string at this coordinate,
LOOSE_OLANG,JPN/Text/0005ee2f.olang,,,,,0005EE2F,0,1,0005ee2f.olang,,,23,0047C178,0,10,4,00000DB0,0x00000402,3300,6612,UTF-8,7,true,TXT_C1B977BED3CEA2B7,[],TEXTURE,TEXTURES,TEXTURES,AUX_CN_ATTACHED,exact_jpn_loose_file_and_reference_index,,
LOOSE_OLANG,JPN/Text/0005ee2f.olang,,,,,0005EE2F,0,1,0005ee2f.olang,,,38,00E12FEC,0,16,4,00000DB0,0x00000402,4392,7704,UTF-8,84,true,TXT_D13CBE2AA4A6FA75,[],ゲーム中に使用する雑誌データを切り替えることができます。,更改游戏中使用的杂志。,Change which magazine is used in the game.,AUX_CN_ATTACHED,exact_jpn_loose_file_and_reference_index,,
LOOSE_OLANG,JPN/Text/0005ee2f.olang,,,,,0005EE2F,0,1,0005ee2f.olang,,,7,001889B7,0,22,4,00000DB0,0x00000402,5438,8750,UTF-8,15,true,TXT_4A47791334A2409C,[],雑誌データ,杂志,Magazines,AUX_CN_ATTACHED,exact_jpn_loose_file_and_reference_index,,
LOOSE_OLANG,JPN/Text/0005ee2f.olang,,,,,0005EE2F,0,1,0005ee2f.olang,,,19,003A136D,0,28,4,00000DB0,0x00000402,3400,6712,UTF-8,5,true,TXT_A430E6D293D0F1D5,[],VOICE,,VOICE,AUX_UNCHANGED,exact_jpn_loose_file_and_reference_index,auxiliary bank retains the original JPN text,
LOOSE_OLANG,JPN/Text/0005ee2f.olang,,,,,0005EE2F,0,1,0005ee2f.olang,,,37,00DBA915,0,34,4,00000DB0,0x00000402,4160,7472,UTF-8,95,true,TXT_122E19F42E24AE1A,[],ゲーム中に使用するAI兵器の音声データを切り替えることができます。,更改游戏中使用的AI武器语音。,Change which AI weapon voices are used in the game.,AUX_CN_ATTACHED,exact_jpn_loose_file_and_reference_index,,
LOOSE_OLANG,JPN/Text/0005ee2f.olang,,,,,0005EE2F,0,1,0005ee2f.olang,,,31,0091B2B1,0,40,4,00000DB0,0x00000402,20,3332,UTF-8,23,true,TXT_948FB35D6DD65CED,[],AI兵器音声データ,AI兵器语音,AI Weapon Voices,AUX_CN_ATTACHED,exact_jpn_loose_file_and_reference_index,,
LOOSE_OLANG,JPN/Text/0005ee2f.olang,,,,,0005EE2F,0,1,0005ee2f.olang,,,35,00B7F4AE,0,46,4,00000DB0,0x00000402,44,3356,UTF-8,3,true,TXT_B5C7AED7CD2A3085,[],ALL,全部,All,AUX_CN_ATTACHED,exact_jpn_loose_file_and_reference_index,,
LOOSE_OLANG,JPN/Text/0005ee2f.olang,,,,,0005EE2F,0,1,0005ee2f.olang,,,30,007C6806,0,52,4,00000DB0,0x00000402,4478,7790,UTF-8,110,true,TXT_F1C870E928997CFA,[],ゲーム中に使用する雑誌データ・AI兵器音声データを切り替えることができます。,更改游戏中使用的AI武器语音。,Change which AI weapon voices are used in the game.,AUX_CN_ATTACHED,exact_jpn_loose_file_and_reference_index,,
LOOSE_OLANG,JPN/Text/0005ee2f.olang,,,,,0005EE2F,0,1,0005ee2f.olang,,,24,0050A352,0,58,4,00000DB0,0x00000402,4128,7440,UTF-8,9,true,TXT_B55EB06D25E14A36,[],すべて,全部,All,AUX_CN_ATTACHED,exact_jpn_loose_file_and_reference_index,,
