file_id,record_index,segment_index,segment_count,header_size,record_size,aligned_size,timing_start,timing_end,text_start,text_end,text_capacity,jpn_text,mlg_cn_reference,eng_reference,reference_status,reference_method,reference_reason,cn_text
1C0FB26B,0,0,1,56,119,128,0,0,0,63,63,そこでの任務は済んだ\n目的地へ向かってくれ,好，那片区域搞定了。前往目标点吧。,"OK, you're done with that area. Head for the goal.",AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS,
1C0FB26B,1,0,1,56,101,112,0,0,0,45,45,目的地に向かえ\nそこで回収する,前往回收区域。我们会去那里接你。,Head for the recovery zone. We'll pick you up there.,AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS,
1C0FB26B,2,0,1,56,98,112,0,0,0,42,42,任務完了ね\n目的地へはやく…,看来你完成任务了。现在快去回收点。,I see you completed your mission. Now hurry to the recovery point.,AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS,
1C0FB26B,3,0,1,56,120,128,0,0,0,64,64,あとは目的地に行くだけ…でも気は抜かないで,,,NO_RELIABLE_GTT_MAPPING,v2_mapping_audit,no unique equal-topology SUCCESS/HARD_OVERFLOW mapping,
1C0FB26B,4,0,1,56,96,96,0,0,0,40,40,あとは目的地に向かうだけだ,现在前往回收区域即可。,Now simply make your way to the recovery zone.,AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS,
1C0FB26B,5,0,1,56,84,96,0,0,0,28,28,まず警戒を解くんだ,别暴露自己，等他们解除\n警报。,Stay out of sight 'til they've called off\nthe alert.,AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=HARD_OVERFLOW,
1C0FB26B,6,0,1,56,138,144,0,0,0,82,82,敵を無力化出来るなら \n睡眠・気絶・瀕死状態でも構わない,,,NO_RELIABLE_GTT_MAPPING,v2_mapping_audit,no unique equal-topology SUCCESS/HARD_OVERFLOW mapping,
1C0FB26B,7,0,1,56,125,128,0,0,0,69,69,まだ見つからないか？\n暗視装置を使ったらどうだ,还是找不到他们？你试过用夜视仪吗？,Still can't find them? Have you tried using a night vision device?,AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS,
1C0FB26B,8,0,1,56,92,96,0,0,0,36,36,ブラボー！\n見事なもんだ,好极了！漂亮！,Bravo! Nice work!,AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS,
1C0FB26B,9,0,1,56,98,112,0,0,0,42,42,さすがボス！\nほれぼれするぜ,这才像话！太厉害了！,Now that's what I'm talkin' about! Amazing!,AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS,
