resource_type,container,page,page_entry_start,page_entry_capacity,tag_index,file_id,payload_variant_index,occurrence_count,occurrence_locations,record_index,record_offset,record_size,metadata_hex,text_offset_in_record,text_capacity,text_encoding,text_byte_length,terminator_present,text_group_id,control_tokens,jpn_text,mlg_cn_reference,eng_reference,reference_status,reference_method,reference_reason,cn_text
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,0,16,128,B99FB10032000C0000000000000000000000000000000700C0BDF0FF763930395F3030315F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,27,true,TXT_33D798CBB4F8E18F,[],まだ終わってない！,还没结束！,It's not over yet!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,1,144,128,BA9FB10033000800D007C409B80BC409D007230000000700204E0000763930395F3030315F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,30,true,TXT_DFB1078A9AD07562,[],まだ終わってない！！,还没结束！！,It's not over yet!!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,2,272,128,BB9FB10034000800A00F881370178813B80B230000000700E0220200763930395F3030325F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,33,true,TXT_06E482B2F7F46EEA,[],まだ終わってない！！！,还没结束！！！,It's not over yet!!!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,3,400,128,BC9FB10035000800401F282310272823881323000000070030570500763930395F3030335F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,36,true,TXT_967F05901C13314D,[],まだ終わってない！！！！,还没结束！！！！,It's not over yet!!!!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,4,528,128,BD9FB10036000C0000000000000000000000000000000700C0BDF0FF763930395F3030345F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,27,true,TXT_B38CF45E427509B5,[],俺たちはまだやれる,我们还在战斗中。,We're still in this fight.,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,5,656,128,BE9FB10037000900D007C409B80BC409C409230000000700B8880000763930395F3030345F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,30,true,TXT_F0E83372821159D7,[],俺たちはまだやれる！,我们还在战斗中！,We're still in this fight!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,6,784,128,BF9FB10038000900A00F881370178813AC0D23000000070010980200763930395F3030355F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,33,true,TXT_9BE6C0754F48564E,[],俺たちはまだやれる！！,我们还在战斗中！！,We're still in this fight!!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,7,912,128,C09FB10039000900401F2823102728237C15230000000700B08F0600763930395F3030365F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,36,true,TXT_B0E57DDBCFEFEB16,[],俺たちはまだやれる！！！,我们还在战斗中！！！,We're still in this fight!!!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,8,1040,128,C19FB1003A000C0000000000000000000000000000000700C0BDF0FF763930395F3030375F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,9,true,TXT_0FD3882BD7D19AB5,[],やるぞ,我准备好了。,I'm ready to go.,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,9,1168,128,C29FB1003B000800DC055307CA085307000023000100070030750000763930395F3030375F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,12,true,TXT_655625F1012DFC74,[],やるぞ！,我准备好了！,I'm ready to go!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,10,1296,128,D99FB1003C000800B80BA60E9411A60E0000230001000700785D0200763930395F3030385F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,15,true,TXT_DBE7516B63C6B3D8,[],やるぞ！！,我准备好了！！,I'm ready to go!!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,11,1424,128,DA9FB1003D00080070174C1D28234C1D000023000100070050A50500763930395F3030395F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,18,true,TXT_F31D3D4557DEBC9B,[],やるぞ！！！,我准备好了！！！,I'm ready to go!!!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,12,1552,128,DB9FB1003E000C0000000000000000000000000000000700C0BDF0FF763930395F3031305F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,18,true,TXT_313BE2293C229833,[],俺がついてる,我跟你一起。,I'm with ya.,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,13,1680,128,DC9FB1003F000900DC055307CA0853070000230001000700409C0000763930395F3031305F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,21,true,TXT_54D1DE3CBE982D5F,[],俺がついてる！,我跟你一起！,I'm with ya!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,14,1808,128,DD9FB10040000900B80BA60E9411A60E0000230001000700B8F90200763930395F3031315F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,24,true,TXT_FA051CD658EE5355,[],俺がついてる！！,我跟你一起！！,I'm with ya!!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,15,1936,128,DE9FB1004100090070174C1D28234C1D0000230001000700C0B60600763930395F3031325F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,27,true,TXT_2BC64B645481C795,[],俺がついてる！！！,我跟你一起！！！,I'm with ya!!!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,16,2064,128,DF9FB10042000C0000000000000000000000000000000700C0BDF0FF763930395F3031335F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,9,true,TXT_63067967811E8018,[],死ぬな,别死啊。,Don't die on me.,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,17,2192,128,E09FB1004300080032004B0032003200D007000000000700B0AD0100763930395F3031335F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,12,true,TXT_2C4706845AB4DAB3,[],死ぬな！,别死啊！,Don't die on me!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,18,2320,128,E19FB100440008006400640064006400B80B000000000700844F0400763930395F3031345F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,18,true,TXT_BE6113FBBA4C1B76,[],死ぬな！！！,别死啊！！！,Don't die on me!!!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,19,2448,128,E29FB10045000C0000000000000000000000000000000600C0BDF0FF763930395F3031355F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,15,true,TXT_D4141E99DD99FAC2,[],さすがだな,我就知道你能行！,I knew you had it in you!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,20,2576,128,F99FB10046002800C800FA00C800C800F40123000000060070170000763930395F3031365F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,18,true,TXT_1AB6F8B6A71D4748,[],さすがだな！,我就知道你能行！！,I knew you had it in you!!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,21,2704,128,FA9FB10047000C0000000000000000000000000000000600C0BDF0FF763930395F3031375F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,15,true,TXT_8298989BFFD572CA,[],さすがです,我就知道你能行…,I knew you had it in you...,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,22,2832,128,FB9FB100480068009001F40190019001C800230000000600C0BDF0FF763930395F3031385F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,18,true,TXT_F00B0FD80A90EB74,[],さすがです！,我就知道你能行… …,I knew you had it in you... ...,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,23,2960,128,FC9FB10049000C0000000000000000000000000000000600C0BDF0FF763930395F3031395F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,18,true,TXT_ED18ABFCD268E9E6,[],いいセンスだ,你挺厉害。,You're pretty good.,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,24,3088,128,FD9FB1004A002800E803E204E803E803DC0523000000060088840200763930395F3032305F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,21,true,TXT_5BB3DAC794859A26,[],いいセンスだ！,你挺厉害！,You're pretty good!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,25,3216,128,FE9FB1004B000C0000000000000000000000000000000700C0BDF0FF763930395F3032315F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,15,true,TXT_1FE701F2CFDF7C78,[],後は頼むぞ,接下来交给你了。,You take it from here.,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,26,3344,128,FF9FB1004C0009000000000000000000000000000100070098AB0200763930395F3032325F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,18,true,TXT_15AE0CCD4D014A9B,[],後は頼むぞ！,接下来交给你了！,You take it from here!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,27,3472,128,00A0B1004D000C0000000000000000000000000000000200C0BDF0FF763930395F3032335F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,6,true,TXT_1AA81D86C6DA7D6E,[],眠れ,说晚安吧。,Say good night.,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,28,3600,128,01A0B1004E0008000000000000000000DC0500000000020038C10100763930395F3032345F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,12,true,TXT_FC9FA054DB9BAE65,[],眠れ……,说晚安吧… …,Say good night... ...,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,29,3728,128,02A0B1004F00080000000000000000000000000000000200C0BDF0FF763930395F3032355F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,9,true,TXT_22F30F194A8BDED0,[],落ちろ,趴下。,Down on the ground.,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
OHD,JPN/disc0_rel/002aba34.DAT,4,323584,81920,20,1E4C1146,0,1,4:20,30,3856,128,19A0B10050000800F401F401F401F4018813000000000200D8470300763930395F3032355F7370725F736E615F310000000000000000000000000000,60,68,UTF-8,12,true,TXT_3F0DE8585F16B9CB,[],落ちろ！,趴下！,Down on the ground!,AUX_CN_ATTACHED,exact_jpn_ohd_page_record;eng_same_six_page_group_record,,
