file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7C73AD,0,,,,,record0:segment0:timing0-0,,ゲートが…！\n閉まり切る前に通り抜けろ！,こんな所でRPG！？\nムチャクチャだ！,,大门……！\n趁它完全关上前冲过去！,,MATCH,59,50,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C73AD,1,,,,,record1:segment0:timing0-0,ゲートが…！\n閉まり切る前に通り抜けろ！,こんな所でRPG！？\nムチャクチャだ！,遠慮いらねえぞ\nあんな奴らはみんなやっつけちまえ！,,在这种地方用RPG！？\n太乱来了！,,MATCH,50,44,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C73AD,2,,,,,record2:segment0:timing0-0,こんな所でRPG！？\nムチャクチャだ！,遠慮いらねえぞ\nあんな奴らはみんなやっつけちまえ！,早くエレベーターに乗るんだ,,别客气。\n把那些家伙全收拾掉！,,MATCH,74,44,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C73AD,3,,,,,record3:segment0:timing0-0,遠慮いらねえぞ\nあんな奴らはみんなやっつけちまえ！,早くエレベーターに乗るんだ,どうした？\nエレベーターが怖いの？,,快上电梯！,,MATCH,39,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C73AD,4,,,,,record4:segment0:timing0-0,早くエレベーターに乗るんだ,どうした？\nエレベーターが怖いの？,急げ！\nゲートが閉まる!!,,怎么了？\n怕坐电梯吗？,,MATCH,50,32,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C73AD,5,,,,,record5:segment0:timing0-0,どうした？\nエレベーターが怖いの？,急げ！\nゲートが閉まる!!,ゲートを閉じさせるな！ <I=ACT>だ \n<I=ACT>でゲートを支えるんだ！,,快！\n大门要关了！！,,MATCH,34,29,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C73AD,6,,,,,record6:segment0:timing0-0,急げ！\nゲートが閉まる!!,ゲートを閉じさせるな！ <I=ACT>だ \n<I=ACT>でゲートを支えるんだ！,仲間が通過するのを助けるんだ！,<I=ACT> | <I=ACT>,别让大门关上！按<I=ACT>！\n用<I=ACT>撑住大门！,<I=ACT> | <I=ACT>,MATCH,87,61,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C73AD,7,,,,,record7:segment0:timing60-147,ゲートを閉じさせるな！ <I=ACT>だ \n<I=ACT>でゲートを支えるんだ！,仲間が通過するのを助けるんだ！,ゲートのそばで<I=ACT>を押せ\nゲートの閉鎖を止めるんだ！,,帮同伴通过！,,MATCH,45,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C73AD,8,,,,,record7:segment1:timing0-0,仲間が通過するのを助けるんだ！,ゲートのそばで<I=ACT>を押せ\nゲートの閉鎖を止めるんだ！,『アイコン』が出たら<I=ACT>を押すんだ\nゲートを支えて仲間を通してやってくれ！,<I=ACT>,在大门旁按<I=ACT>，\n阻止大门关闭！,<I=ACT>,MATCH,78,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C73AD,9,,,,,record8:segment0:timing0-0,ゲートのそばで<I=ACT>を押せ\nゲートの閉鎖を止めるんだ！,『アイコン』が出たら<I=ACT>を押すんだ\nゲートを支えて仲間を通してやってくれ！,閉じたゲートはこじ開けて進むしかない,<I=ACT>,出现“图标”后按<I=ACT>，\n撑住大门让同伴过去！,<I=ACT>,MATCH,111,66,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C73AD,10,,,,,record9:segment0:timing62-143,『アイコン』が出たら<I=ACT>を押すんだ\nゲートを支えて仲間を通してやってくれ！,閉じたゲートはこじ開けて進むしかない,『アイコン』が表示されたら<I=ACT>を\n連打してこじ開けろ！,,关上的大门只能强行撬开再前进。,,MATCH,54,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
