file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7B73AD,0,,,,,record0:segment0:timing82-136,,この地形は不利だな 裸同然だ,どうにかして遮蔽物を作れないか？,,这地形不利，几乎毫无遮掩。,,MATCH,40,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,1,,,,,record0:segment1:timing0-0,この地形は不利だな 裸同然だ,どうにかして遮蔽物を作れないか？,RPGを持っている… 面倒だな,,想办法弄点掩体出来。,,MATCH,48,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,2,,,,,record1:segment0:timing0-0,どうにかして遮蔽物を作れないか？,RPGを持っている… 面倒だな,ランチャーを持っているのか やっかいだな,,他们有RPG……麻烦了。,,MATCH,37,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,3,,,,,record2:segment0:timing0-0,RPGを持っている… 面倒だな,ランチャーを持っているのか やっかいだな,あの橋を落とすことが出来たら敵は大混乱だろうな…,,他们有发射器吗？真棘手。,,MATCH,58,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,4,,,,,record3:segment0:timing0-0,ランチャーを持っているのか やっかいだな,あの橋を落とすことが出来たら敵は大混乱だろうな…,あの橋を落として有利な状況を作れないか…？,,要是能把那座桥炸塌，敌人肯定会大乱……,,MATCH,72,57,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,5,,,,,record4:segment0:timing0-0,あの橋を落とすことが出来たら敵は大混乱だろうな…,あの橋を落として有利な状況を作れないか…？,そのままじゃいいマトだ！ 遮蔽物を作れ！\n何か利用できるものはないか？,,能不能炸塌那座桥，创造有利局面……？,,MATCH,63,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,6,,,,,record5:segment0:timing0-0,あの橋を落として有利な状況を作れないか…？,そのままじゃいいマトだ！ 遮蔽物を作れ！\n何か利用できるものはないか？,核発射を止めてくれ！\n管制塔に向かうんだ！,,这样下去就是活靶子！弄个掩体！\n有什么能利用的吗？,,MATCH,102,74,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,7,,,,,record6:segment0:timing0-0,そのままじゃいいマトだ！ 遮蔽物を作れ！\n何か利用できるものはないか？,核発射を止めてくれ！\n管制塔に向かうんだ！,鳥が…海鳥が殺される…\n核発射を止めて…,,阻止核弹发射！\n前往控制塔！,,MATCH,62,41,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,8,,,,,record7:segment0:timing0-0,核発射を止めてくれ！\n管制塔に向かうんだ！,鳥が…海鳥が殺される…\n核発射を止めて…,頼む 核発射を阻止してくれ！,,鸟儿……海鸟会死……\n阻止核弹发射……,,MATCH,59,56,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,9,,,,,record8:segment0:timing0-0,鳥が…海鳥が殺される…\n核発射を止めて…,頼む 核発射を阻止してくれ！,管制塔に向かってくれ！,,拜托了，阻止核弹发射！,,MATCH,40,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,10,,,,,record9:segment0:timing0-0,頼む 核発射を阻止してくれ！,管制塔に向かってくれ！,チャフだ！　\nチャフグレネードで奴の動きを止めろ！,,前往控制塔！,,MATCH,33,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,11,,,,,record10:segment0:timing0-0,管制塔に向かってくれ！,チャフだ！　\nチャフグレネードで奴の動きを止めろ！,あいつは測的のために時々ホバリングする\nそこを狙うんだ！,,干扰箔！\n用干扰箔手雷让它停下来！,,MATCH,74,50,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,12,,,,,record11:segment0:timing0-0,チャフだ！　\nチャフグレネードで奴の動きを止めろ！,あいつは測的のために時々ホバリングする\nそこを狙うんだ！,電子妨害用の武器も効果があるはずだよ！,,它为了测定目标会偶尔悬停。\n就瞄准那个时候！,,MATCH,83,65,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,13,,,,,record12:segment0:timing0-0,あいつは測的のために時々ホバリングする\nそこを狙うんだ！,電子妨害用の武器も効果があるはずだよ！,そっちへ行ってどうする,,电子干扰武器应该也有效！,,MATCH,57,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B73AD,14,,,,,record13:segment0:timing0-0,電子妨害用の武器も効果があるはずだよ！,そっちへ行ってどうする,管制塔だ 管制塔を目指して進め！,,往那边走干什么？,,MATCH,33,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
