file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7B72ED,0,,,,,record0:segment0:timing0-0,,橋を渡って 北へ向かうんだ,輸送ルートが見える,,过桥，往北走。,,MATCH,37,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B72ED,1,,,,,record1:segment0:timing42-101,橋を渡って 北へ向かうんだ,輸送ルートが見える,"<R=列車車庫,ターミナル>で見たトラックは 行ってしまったようだ",,能看到运输路线了。,,MATCH,27,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B72ED,2,,,,,record1:segment1:timing0-0,輸送ルートが見える,"<R=列車車庫,ターミナル>で見たトラックは 行ってしまったようだ",対岸を見てくれ,"<R=列車車庫,ターミナル>","<R=火车终点站,TERMINAL>看到的卡车好像已经开走了。","<R=火车终点站,TERMINAL>",MATCH,87,67,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B72ED,3,,,,,record2:segment0:timing33-92,"<R=列車車庫,ターミナル>で見たトラックは 行ってしまったようだ",対岸を見てくれ,"<R=列車車庫,ターミナル>から延びた トラックの輸送ルートだ",,看看对岸。,,MATCH,21,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B72ED,4,,,,,record2:segment1:timing0-0,対岸を見てくれ,"<R=列車車庫,ターミナル>から延びた トラックの輸送ルートだ",導水管の足場を渡れるはずだ,"<R=列車車庫,ターミナル>","那是从<R=火车终点站,TERMINAL>延伸出去的卡车运输路线。","<R=火车终点站,TERMINAL>",MATCH,81,73,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B72ED,5,,,,,record3:segment0:timing0-0,"<R=列車車庫,ターミナル>から延びた トラックの輸送ルートだ",導水管の足場を渡れるはずだ,足場は上下二重構造になってるんだ,,应该能从水渠的脚手架过去。,,MATCH,39,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B72ED,6,,,,,record4:segment0:timing0-0,導水管の足場を渡れるはずだ,足場は上下二重構造になってるんだ,上の足場は少し壊れてるけど 下側は大丈夫だよ,,脚手架是上下两层结构。,,MATCH,48,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B72ED,7,,,,,record5:segment0:timing0-0,足場は上下二重構造になってるんだ,上の足場は少し壊れてるけど 下側は大丈夫だよ,二人でなら上に登れると思うんだけど,,上层有些损坏，不过下层没问题。,,MATCH,64,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B72ED,8,,,,,record6:segment0:timing0-0,上の足場は少し壊れてるけど 下側は大丈夫だよ,二人でなら上に登れると思うんだけど,"吊り橋から<R=ぶら下がれば,エルード>\n敵をやり過ごせるかもしれん",,两个人的话应该能爬上去。,,MATCH,51,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7B72ED,9,,,,,record7:segment0:timing0-0,二人でなら上に登れると思うんだけど,"吊り橋から<R=ぶら下がれば,エルード>\n敵をやり過ごせるかもしれん",エルードするには\n橋の手すりの近くで<I=ACT>を押すんだ,"<R=ぶら下がれば,エルード>","从吊桥<R=悬挂,ELUDE>下去，\n也许能躲过敌人。","<R=悬挂,ELUDE>",MATCH,91,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
