file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7AF3AD,0,,,,,record0:segment0:timing0-0,,ピースウォーカーを制御している管制塔は北東にある,一旦来た道を東へ戻ってくれ\nそこから北を目指すんだ,,控制和平行者的控制塔在东北方。,,MATCH,72,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,1,,,,,record1:segment0:timing0-0,ピースウォーカーを制御している管制塔は北東にある,一旦来た道を東へ戻ってくれ\nそこから北を目指すんだ,ここは隠れる場所が少なすぎるな…\n注意してくれ,,先沿原路向东返回，\n再从那里向北走。,,MATCH,74,53,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,2,,,,,record2:segment0:timing0-0,一旦来た道を東へ戻ってくれ\nそこから北を目指すんだ,ここは隠れる場所が少なすぎるな…\n注意してくれ,嫌な予感がする…\nこういう場所は待ち伏せを受けやすい…,,这里能藏身的地方太少了……\n小心。,,MATCH,68,50,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,3,,,,,record3:segment0:timing0-0,ここは隠れる場所が少なすぎるな…\n注意してくれ,嫌な予感がする…\nこういう場所は待ち伏せを受けやすい…,管制塔が見えるか!？\n先を急いでくれ！,,有种不好的预感……\n这种地方很容易遭到伏击……,,MATCH,80,68,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,4,,,,,record4:segment0:timing0-0,嫌な予感がする…\nこういう場所は待ち伏せを受けやすい…,管制塔が見えるか!？\n先を急いでくれ！,管制塔へ急ぐんだ！,,看到控制塔了吗！？\n快往前赶！,,MATCH,54,44,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,5,,,,,record5:segment0:timing0-0,管制塔が見えるか!？\n先を急いでくれ！,管制塔へ急ぐんだ！,落ちたら命はないぞ\n気をつけてくれ,,快去控制塔！,,MATCH,27,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,6,,,,,record6:segment0:timing0-0,管制塔へ急ぐんだ！,落ちたら命はないぞ\n気をつけてくれ,気をつけて 鳥と違って人間は飛べないのよ,,掉下去可就没命了。\n小心。,,MATCH,50,38,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,7,,,,,record7:segment0:timing0-0,落ちたら命はないぞ\n気をつけてくれ,気をつけて 鳥と違って人間は飛べないのよ,落ちるなよ…君のユニフォームに\nロケットブースターでもついてるならいいけど…,,小心，人可不像鸟那样会飞。,,MATCH,58,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,8,,,,,record8:segment0:timing0-0,気をつけて 鳥と違って人間は飛べないのよ,落ちるなよ…君のユニフォームに\nロケットブースターでもついてるならいいけど…,通信塔を目指すんだ\n西へ向かってくれ,,别掉下去……除非你的制服上\n装了火箭助推器……,,MATCH,113,68,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,9,,,,,record9:segment0:timing0-0,落ちるなよ…君のユニフォームに\nロケットブースターでもついてるならいいけど…,通信塔を目指すんだ\n西へ向かってくれ,核が撃たれれば鳥たちもたくさん死ぬわ…,,前往通信塔。\n向西走。,,MATCH,53,32,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,10,,,,,record10:segment0:timing0-0,通信塔を目指すんだ\n西へ向かってくれ,核が撃たれれば鳥たちもたくさん死ぬわ…,頼む 核発射を阻止してくれ！,,核弹一旦发射，很多鸟儿也会死……,,MATCH,57,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,11,,,,,record11:segment0:timing0-0,核が撃たれれば鳥たちもたくさん死ぬわ…,頼む 核発射を阻止してくれ！,核発射を止めてくれ！\n管制塔に向かうんだ！,,拜托了，阻止核弹发射！,,MATCH,40,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,12,,,,,record12:segment0:timing0-0,頼む 核発射を阻止してくれ！,核発射を止めてくれ！\n管制塔に向かうんだ！,鳥が…海鳥が殺される…\n核発射を止めて…,,阻止核弹发射！\n去控制塔！,,MATCH,62,38,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF3AD,13,,,,,record13:segment0:timing0-0,核発射を止めてくれ！\n管制塔に向かうんだ！,鳥が…海鳥が殺される…\n核発射を止めて…,管制塔に向かってくれ！,,鸟儿……海鸟会死的……\n阻止核弹发射……,,MATCH,59,59,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
