file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7AF2ED,0,,,,,record0:segment0:timing0-0,,ぎりぎり間に合ったようだな\n敵兵を無力化して 列車を確保するんだ！,それはきっとバシリスコの足跡だ\n気をつけてくれ,,看来勉强赶上了。\n让敌兵失去战斗能力，控制列车！,,MATCH,96,71,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2ED,1,,,,,record1:segment0:timing0-0,ぎりぎり間に合ったようだな\n敵兵を無力化して 列車を確保するんだ！,それはきっとバシリスコの足跡だ\n気をつけてくれ,"バシリスコは身長にして<R=30バーラ,25m>はあったはずだ",,那一定是Basilisco的脚印。\n小心。,,MATCH,68,44,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2ED,2,,,,,record2:segment0:timing0-0,それはきっとバシリスコの足跡だ\n気をつけてくれ,"バシリスコは身長にして<R=30バーラ,25m>はあったはずだ",足跡からもデカさが分かるだろ？,"<R=30バーラ,25m>","听说Basilisco足有<R=30瓦拉,25m>高。","<R=30瓦拉,25m>",MATCH,73,43,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2ED,3,,,,,record3:segment0:timing0-0,"バシリスコは身長にして<R=30バーラ,25m>はあったはずだ",足跡からもデカさが分かるだろ？,敵兵を全員無力化するんだ,,从脚印也看得出它有多大吧？,,MATCH,45,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2ED,4,,,,,record4:segment0:timing0-0,足跡からもデカさが分かるだろ？,敵兵を全員無力化するんだ,全敵兵を無力化するんだ,,让所有敌兵无法战斗。,,MATCH,36,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2ED,5,,,,,record5:segment0:timing0-0,敵兵を全員無力化するんだ,全敵兵を無力化するんだ,麻酔 気絶でもいい\n全敵兵を無力化するんだ,,让所有敌兵无法战斗。,,MATCH,33,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2ED,6,,,,,record6:segment0:timing0-0,全敵兵を無力化するんだ,麻酔 気絶でもいい\n全敵兵を無力化するんだ,敵を無力化出来るなら \n睡眠・気絶・瀕死状態でも構わない,,麻醉、打晕都行。\n让所有敌兵无法战斗。,,MATCH,60,56,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2ED,7,,,,,record7:segment0:timing0-0,麻酔 気絶でもいい\n全敵兵を無力化するんだ,敵を無力化出来るなら \n睡眠・気絶・瀕死状態でも構わない,そのあたりに とっても葉っぱが大きい\n草があるでしょ？　グンネラ・インシグニスよ,,只要让敌人无法战斗，\n睡眠、昏迷、濒死都可以。,,MATCH,81,68,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2ED,8,,,,,record8:segment0:timing139-224,敵を無力化出来るなら \n睡眠・気絶・瀕死状態でも構わない,そのあたりに とっても葉っぱが大きい\n草があるでしょ？　グンネラ・インシグニスよ,"グンネラ・インシグニスの別名は\n<R=貧者の傘,ソンブリヤ・デ・ポブレ>",,看到附近那种叶片很大的植物了吗？\n那是大叶蚁塔。,,MATCH,117,71,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2ED,9,,,,,record8:segment1:timing232-287,そのあたりに とっても葉っぱが大きい\n草があるでしょ？　グンネラ・インシグニスよ,"グンネラ・インシグニスの別名は\n<R=貧者の傘,ソンブリヤ・デ・ポブレ>",文字通り 傘としても使えるの,"<R=貧者の傘,ソンブリヤ・デ・ポブレ>","大叶蚁塔还有个别名，\n<R=穷人的伞,SOMBRILLA DE POBRE>。","<R=穷人的伞,SOMBRILLA DE POBRE>",MATCH,97,70,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
