file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D3B01CD,0,0,0,1,,page2086:tag8:entity0:key00000000:ref0:ord0,,スネーク！　森に入る 気をつけろ,ピースウォーカーが行ってしまう！,,,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,Snake，你要进入树林了。小心！,"[""Snake，你要进入树林了。小心！""]","Snake, you're entering the woods. Watch out!","[""Snake, you're entering the woods. Watch out!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B01CD,1,1,1,1,,page2086:tag8:entity4:key00000003:ref1:ord0,スネーク！　森に入る 気をつけろ,ピースウォーカーが行ってしまう！,△ボタンを連打するんだ！,,,,NOT_CHECKED,48,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,你快要跟丢和平行者了！,"[""你快要跟丢和平行者了！""]",You're about to lose Peace Walker!,"[""You're about to lose Peace Walker!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B01CD,2,2,2,1,,page2086:tag8:entity3:key00000002:ref2:ord0,ピースウォーカーが行ってしまう！,△ボタンを連打するんだ！,ダメだ 見失う,,,,NOT_CHECKED,36,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,尽可能快地按<I=△>键！,"[""尽可能快地按<I=△>键！""]",Hit the <I=△> button as fast as you can!,"[""Hit the <I=△> button as fast as you can!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B01CD,3,3,3,1,,page2086:tag8:entity2:key00000001:ref3:ord0,△ボタンを連打するんだ！,ダメだ 見失う,ピースウォーカーを追え！,,,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,再快点！我们快看不到它了！,"[""再快点！我们快看不到它了！""]",Faster! We're losing sight of it!,"[""Faster! We're losing sight of it!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B01CD,4,4,4,1,,page2086:tag8:entity1:key00000000:ref4:ord0,ダメだ 見失う,ピースウォーカーを追え！,帰れ！,,,,NOT_CHECKED,36,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,和平行者要逃走了！,"[""和平行者要逃走了！""]",Peace Walker's getting away!,"[""Peace Walker's getting away!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B01CD,5,5,5,1,,page2086:tag8:entity5:key00000000:ref5:ord0,ピースウォーカーを追え！,帰れ！,"スネーク その先は<R=国境,ニカラグア>だ！ ",,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,回家去！,"[""回家去！""]",Go home!,"[""Go home!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B01CD,6,6,6,1,,page2086:tag8:entity9:key00000003:ref6:ord0,帰れ！,"スネーク その先は<R=国境,ニカラグア>だ！ ",まずい… 見ろ！,"<R=国境,ニカラグア>",,,NOT_CHECKED,58,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,Snake，前面就是边境！,"[""Snake，前面就是边境！""]","Snake, that's the border up ahead! ","[""Snake, that's the border up ahead! ""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B01CD,7,7,7,1,,page2086:tag8:entity8:key00000002:ref7:ord0,"スネーク その先は<R=国境,ニカラグア>だ！ ",まずい… 見ろ！,"ここまでだ <R=BIGBOSS,ビッグボス> ",,,,NOT_CHECKED,22,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,天哪…看看那个！,"[""天哪…看看那个！""]",Holy... Look at that! ,"[""Holy... Look at that! ""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B01CD,8,8,8,1,,page2086:tag8:entity7:key00000001:ref8:ord0,まずい… 見ろ！,"ここまでだ <R=BIGBOSS,ビッグボス> ",間もなく 国境です,"<R=BIGBOSS,ビッグボス>",,,NOT_CHECKED,44,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,回头见，Big Boss。,"[""回头见，Big Boss。""]","See you around, Big Boss.","[""See you around, Big Boss.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3B01CD,9,9,9,1,,page2086:tag8:entity6:key00000000:ref9:ord0,"ここまでだ <R=BIGBOSS,ビッグボス> ",間もなく 国境です,,,,,NOT_CHECKED,25,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,正在接近边境。,"[""正在接近边境。""]",Approaching the border. ,"[""Approaching the border. ""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
