file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3AFD4D,0,0,0,1,,page2003:tag2:entity3:key00000003:ref0:ord0,,しかし 兵士としての精神は…,確かに技術は ,,,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD4D,1,1,1,1,,page2003:tag2:entity2:key00000002:ref1:ord0,しかし 兵士としての精神は…,確かに技術は ,後はあなたが自ら学ぶこと,,,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD4D,2,2,2,1,,page2003:tag2:entity1:key00000001:ref2:ord0,確かに技術は ,後はあなたが自ら学ぶこと,何もかも あなたに教えた,,,,NOT_CHECKED,36,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD4D,3,3,3,1,,page2003:tag2:entity0:key00000000:ref3:ord0,後はあなたが自ら学ぶこと,何もかも あなたに教えた,国への献身,,,,NOT_CHECKED,34,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD4D,4,4,4,1,,page2003:tag2:entity6:key00000002:ref4:ord0,何もかも あなたに教えた,国への献身,"主君への… 『<R=愛国心,patriotism>』？",,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD4D,5,5,5,1,,page2003:tag2:entity5:key00000001:ref5:ord0,国への献身,"主君への… 『<R=愛国心,patriotism>』？","東洋では『<R=忠,loyalty>を尽くす』という言葉がある …意味わかる？","<R=愛国心,patriotism>",,,NOT_CHECKED,49,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD4D,6,6,6,1,,page2003:tag2:entity4:key00000000:ref6:ord0,"主君への… 『<R=愛国心,patriotism>』？","東洋では『<R=忠,loyalty>を尽くす』という言葉がある …意味わかる？",…たとえそれが愛した相手でも,"<R=忠,loyalty>",,,NOT_CHECKED,91,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD4D,7,7,7,1,,page2003:tag2:entity8:key00000001:ref7:ord0,"東洋では『<R=忠,loyalty>を尽くす』という言葉がある …意味わかる？",…たとえそれが愛した相手でも,忠を尽くしている限り 私達に信じていいものはない,,,,NOT_CHECKED,42,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD4D,8,8,8,1,,page2003:tag2:entity7:key00000000:ref8:ord0,…たとえそれが愛した相手でも,忠を尽くしている限り 私達に信じていいものはない,ジャック,,,,NOT_CHECKED,70,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD4D,9,9,9,1,,page2003:tag2:entity12:key00000003:ref9:ord0,忠を尽くしている限り 私達に信じていいものはない,ジャック,"『<R=任務,ミッション>』だけよ",,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
