selector,codepoint,character,glyph_index,atlas_x,atlas_y,width,height,bearing,advance,glyph_source,font_file,font_file_sha256,font_face_index,font_size,baseline,bitmap_sha256,is_han_override
001cbbd1.xpr,U+0000,,0,1,1,21,66,3,23,CLEAN_JPN_PRESERVED,,,,,,7247f980684f0023cfb216c60361b31d278ca21a83e750edc93cb3861fdbc090,NO
001cbbd1.xpr,U+0020, ,1,23,1,1,66,0,21,CLEAN_JPN_PRESERVED,,,,,,efbb03b7a7f6fd3c29391d4d0281e1830a85caadd831c3f04716faca4107a42e,NO
001cbbd1.xpr,U+0028,(,2,25,1,20,66,1,20,CLEAN_JPN_PRESERVED,,,,,,05b81808e24da15e967db18083700c52a182f295252cbfea239862b1b4991573,NO
001cbbd1.xpr,U+0029,),3,46,1,20,66,1,20,CLEAN_JPN_PRESERVED,,,,,,c645140ec012e5b202d9805b4d565a48c65a0d30ed0cac1581785998241662e3,NO
001cbbd1.xpr,U+002D,-,4,67,1,17,66,1,18,CLEAN_JPN_PRESERVED,,,,,,821b5d3e5c1c6d24c7ca6b272e11962799b8b7ff37ac8297a4ac6fd711b97439,NO
001cbbd1.xpr,U+002E,.,5,85,1,13,66,1,13,CLEAN_JPN_PRESERVED,,,,,,3c94971fc6c80b11e20874008bd68df86c67eb3a252b7c770455d113a3122955,NO
001cbbd1.xpr,U+0030,0,6,99,1,38,66,2,39,CLEAN_JPN_PRESERVED,,,,,,41b256be5354083e57cb8dfa4546510cb1adaf2ffa28ccf8c511bf587ad92503,NO
001cbbd1.xpr,U+0031,1,7,138,1,25,66,9,32,CLEAN_JPN_PRESERVED,,,,,,62c8fdd1457366da270dd18ed90733bfdb6be265d90f7e8b857a0d524d42adde,NO
001cbbd1.xpr,U+0032,2,8,164,1,34,66,4,37,CLEAN_JPN_PRESERVED,,,,,,bafd32c2ab08545704885fcc68e04686a1177889e5293359e84a708b092b58f5,NO
001cbbd1.xpr,U+003A,:,9,199,1,13,66,1,13,CLEAN_JPN_PRESERVED,,,,,,1a321afb1ad27374999149e07564d16cf6ae43dcf13cd31e0307119370d5ee11,NO
001cbbd1.xpr,U+0041,A,10,213,1,55,66,1,55,CLEAN_JPN_PRESERVED,,,,,,4233340c09216a4e230d540967e37be227d6e63a5ba49634a14d960aa7bd413c,NO
001cbbd1.xpr,U+0042,B,11,269,1,46,66,0,47,CLEAN_JPN_PRESERVED,,,,,,2a20a57ed85e20cfc02f838a187a3d41ae7e27d49749183d27fe488461172a78,NO
001cbbd1.xpr,U+0043,C,12,316,1,45,66,2,45,CLEAN_JPN_PRESERVED,,,,,,c91d546c658f50ea8b8ddb1dbbb412c2d07fab5410f4cb075088f190d44c4696,NO
