file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DB9708C,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,38,,page76:tag2:entity9:key00000009:ref0:ord0;page82:tag1:entity9:key00000009:ref0:ord0;page88:tag3:entity9:key00000009:ref0:ord0;page94:tag2:entity9:key00000009:ref0:ord0;page100:tag2:entity9:key00000009:ref0:ord0;page106:tag2:entity9:key00000009:ref0:ord0;page112:tag2:entity9:key00000009:ref0:ord0;page118:tag2:entity9:key00000009:ref0:ord0;page124:tag2:entity9:key00000009:ref0:ord0;page130:tag1:entity9:key00000009:ref0:ord0;page136:tag1:entity9:key00000009:ref0:ord0;page142:tag1:entity9:key00000009:ref0:ord0;page148:tag2:entity9:key00000009:ref0:ord0;page154:tag3:entity9:key00000009:ref0:ord0;page160:tag1:entity9:key00000009:ref0:ord0;page166:tag1:entity9:key00000009:ref0:ord0;page172:tag2:entity9:key00000009:ref0:ord0;page178:tag2:entity9:key00000009:ref0:ord0;page184:tag2:entity9:key00000009:ref0:ord0;page202:tag2:entity9:key00000009:ref0:ord0;page208:tag2:entity9:key00000009:ref0:ord0;page214:tag1:entity9:key00000009:ref0:ord0;page220:tag2:entity9:key00000009:ref0:ord0;page226:tag2:entity9:key00000009:ref0:ord0;page232:tag2:entity9:key00000009:ref0:ord0;page244:tag2:entity9:key00000009:ref0:ord0;page250:tag2:entity9:key00000009:ref0:ord0;page268:tag2:entity9:key00000009:ref0:ord0;page274:tag2:entity9:key00000009:ref0:ord0;page280:tag2:entity9:key00000009:ref0:ord0;page286:tag2:entity9:key00000009:ref0:ord0;page298:tag2:entity9:key00000009:ref0:ord0;page304:tag2:entity9:key00000009:ref0:ord0;page310:tag2:entity9:key00000009:ref0:ord0;page316:tag2:entity9:key00000009:ref0:ord0;page328:tag2:entity9:key00000009:ref0:ord0;page334:tag3:entity9:key00000009:ref0:ord0;page340:tag2:entity9:key00000009:ref0:ord0,,どうかしたのか！？,異状発生 増援部隊 確認に向かえ,,怎么回事！？,,MATCH,27,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=JPN_PRIMARY;AUX_CONFIRMED
5DB9708C,1,1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,38,,page76:tag2:entity8:key00000008:ref1:ord0;page82:tag1:entity8:key00000008:ref1:ord0;page88:tag3:entity8:key00000008:ref1:ord0;page94:tag2:entity8:key00000008:ref1:ord0;page100:tag2:entity8:key00000008:ref1:ord0;page106:tag2:entity8:key00000008:ref1:ord0;page112:tag2:entity8:key00000008:ref1:ord0;page118:tag2:entity8:key00000008:ref1:ord0;page124:tag2:entity8:key00000008:ref1:ord0;page130:tag1:entity8:key00000008:ref1:ord0;page136:tag1:entity8:key00000008:ref1:ord0;page142:tag1:entity8:key00000008:ref1:ord0;page148:tag2:entity8:key00000008:ref1:ord0;page154:tag3:entity8:key00000008:ref1:ord0;page160:tag1:entity8:key00000008:ref1:ord0;page166:tag1:entity8:key00000008:ref1:ord0;page172:tag2:entity8:key00000008:ref1:ord0;page178:tag2:entity8:key00000008:ref1:ord0;page184:tag2:entity8:key00000008:ref1:ord0;page202:tag2:entity8:key00000008:ref1:ord0;page208:tag2:entity8:key00000008:ref1:ord0;page214:tag1:entity8:key00000008:ref1:ord0;page220:tag2:entity8:key00000008:ref1:ord0;page226:tag2:entity8:key00000008:ref1:ord0;page232:tag2:entity8:key00000008:ref1:ord0;page244:tag2:entity8:key00000008:ref1:ord0;page250:tag2:entity8:key00000008:ref1:ord0;page268:tag2:entity8:key00000008:ref1:ord0;page274:tag2:entity8:key00000008:ref1:ord0;page280:tag2:entity8:key00000008:ref1:ord0;page286:tag2:entity8:key00000008:ref1:ord0;page298:tag2:entity8:key00000008:ref1:ord0;page304:tag2:entity8:key00000008:ref1:ord0;page310:tag2:entity8:key00000008:ref1:ord0;page316:tag2:entity8:key00000008:ref1:ord0;page328:tag2:entity8:key00000008:ref1:ord0;page334:tag3:entity8:key00000008:ref1:ord0;page340:tag2:entity8:key00000008:ref1:ord0,どうかしたのか！？,異状発生 増援部隊 確認に向かえ,どうした！？,,发生异常 增援部队 前去确认,,MATCH,44,38,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=JPN_PRIMARY;AUX_CONFIRMED
5DB9708C,2,2,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,38,,page76:tag2:entity7:key00000007:ref2:ord0;page82:tag1:entity7:key00000007:ref2:ord0;page88:tag3:entity7:key00000007:ref2:ord0;page94:tag2:entity7:key00000007:ref2:ord0;page100:tag2:entity7:key00000007:ref2:ord0;page106:tag2:entity7:key00000007:ref2:ord0;page112:tag2:entity7:key00000007:ref2:ord0;page118:tag2:entity7:key00000007:ref2:ord0;page124:tag2:entity7:key00000007:ref2:ord0;page130:tag1:entity7:key00000007:ref2:ord0;page136:tag1:entity7:key00000007:ref2:ord0;page142:tag1:entity7:key00000007:ref2:ord0;page148:tag2:entity7:key00000007:ref2:ord0;page154:tag3:entity7:key00000007:ref2:ord0;page160:tag1:entity7:key00000007:ref2:ord0;page166:tag1:entity7:key00000007:ref2:ord0;page172:tag2:entity7:key00000007:ref2:ord0;page178:tag2:entity7:key00000007:ref2:ord0;page184:tag2:entity7:key00000007:ref2:ord0;page202:tag2:entity7:key00000007:ref2:ord0;page208:tag2:entity7:key00000007:ref2:ord0;page214:tag1:entity7:key00000007:ref2:ord0;page220:tag2:entity7:key00000007:ref2:ord0;page226:tag2:entity7:key00000007:ref2:ord0;page232:tag2:entity7:key00000007:ref2:ord0;page244:tag2:entity7:key00000007:ref2:ord0;page250:tag2:entity7:key00000007:ref2:ord0;page268:tag2:entity7:key00000007:ref2:ord0;page274:tag2:entity7:key00000007:ref2:ord0;page280:tag2:entity7:key00000007:ref2:ord0;page286:tag2:entity7:key00000007:ref2:ord0;page298:tag2:entity7:key00000007:ref2:ord0;page304:tag2:entity7:key00000007:ref2:ord0;page310:tag2:entity7:key00000007:ref2:ord0;page316:tag2:entity7:key00000007:ref2:ord0;page328:tag2:entity7:key00000007:ref2:ord0;page334:tag3:entity7:key00000007:ref2:ord0;page340:tag2:entity7:key00000007:ref2:ord0,異状発生 増援部隊 確認に向かえ,どうした！？,了解 敵はまだ近くにいるはずだ 探し出せ！,,怎么了！？,,MATCH,18,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=JPN_PRIMARY;AUX_CONFIRMED
5DB9708C,3,3,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,38,,page76:tag2:entity6:key00000006:ref3:ord0;page82:tag1:entity6:key00000006:ref3:ord0;page88:tag3:entity6:key00000006:ref3:ord0;page94:tag2:entity6:key00000006:ref3:ord0;page100:tag2:entity6:key00000006:ref3:ord0;page106:tag2:entity6:key00000006:ref3:ord0;page112:tag2:entity6:key00000006:ref3:ord0;page118:tag2:entity6:key00000006:ref3:ord0;page124:tag2:entity6:key00000006:ref3:ord0;page130:tag1:entity6:key00000006:ref3:ord0;page136:tag1:entity6:key00000006:ref3:ord0;page142:tag1:entity6:key00000006:ref3:ord0;page148:tag2:entity6:key00000006:ref3:ord0;page154:tag3:entity6:key00000006:ref3:ord0;page160:tag1:entity6:key00000006:ref3:ord0;page166:tag1:entity6:key00000006:ref3:ord0;page172:tag2:entity6:key00000006:ref3:ord0;page178:tag2:entity6:key00000006:ref3:ord0;page184:tag2:entity6:key00000006:ref3:ord0;page202:tag2:entity6:key00000006:ref3:ord0;page208:tag2:entity6:key00000006:ref3:ord0;page214:tag1:entity6:key00000006:ref3:ord0;page220:tag2:entity6:key00000006:ref3:ord0;page226:tag2:entity6:key00000006:ref3:ord0;page232:tag2:entity6:key00000006:ref3:ord0;page244:tag2:entity6:key00000006:ref3:ord0;page250:tag2:entity6:key00000006:ref3:ord0;page268:tag2:entity6:key00000006:ref3:ord0;page274:tag2:entity6:key00000006:ref3:ord0;page280:tag2:entity6:key00000006:ref3:ord0;page286:tag2:entity6:key00000006:ref3:ord0;page298:tag2:entity6:key00000006:ref3:ord0;page304:tag2:entity6:key00000006:ref3:ord0;page310:tag2:entity6:key00000006:ref3:ord0;page316:tag2:entity6:key00000006:ref3:ord0;page328:tag2:entity6:key00000006:ref3:ord0;page334:tag3:entity6:key00000006:ref3:ord0;page340:tag2:entity6:key00000006:ref3:ord0,どうした！？,了解 敵はまだ近くにいるはずだ 探し出せ！,了解 警戒強化にあたれ,,收到 敌人应该还在附近 找出来！,,MATCH,59,44,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=JPN_PRIMARY;AUX_CONFIRMED
5DB9708C,4,4,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,38,,page76:tag2:entity5:key00000005:ref4:ord0;page82:tag1:entity5:key00000005:ref4:ord0;page88:tag3:entity5:key00000005:ref4:ord0;page94:tag2:entity5:key00000005:ref4:ord0;page100:tag2:entity5:key00000005:ref4:ord0;page106:tag2:entity5:key00000005:ref4:ord0;page112:tag2:entity5:key00000005:ref4:ord0;page118:tag2:entity5:key00000005:ref4:ord0;page124:tag2:entity5:key00000005:ref4:ord0;page130:tag1:entity5:key00000005:ref4:ord0;page136:tag1:entity5:key00000005:ref4:ord0;page142:tag1:entity5:key00000005:ref4:ord0;page148:tag2:entity5:key00000005:ref4:ord0;page154:tag3:entity5:key00000005:ref4:ord0;page160:tag1:entity5:key00000005:ref4:ord0;page166:tag1:entity5:key00000005:ref4:ord0;page172:tag2:entity5:key00000005:ref4:ord0;page178:tag2:entity5:key00000005:ref4:ord0;page184:tag2:entity5:key00000005:ref4:ord0;page202:tag2:entity5:key00000005:ref4:ord0;page208:tag2:entity5:key00000005:ref4:ord0;page214:tag1:entity5:key00000005:ref4:ord0;page220:tag2:entity5:key00000005:ref4:ord0;page226:tag2:entity5:key00000005:ref4:ord0;page232:tag2:entity5:key00000005:ref4:ord0;page244:tag2:entity5:key00000005:ref4:ord0;page250:tag2:entity5:key00000005:ref4:ord0;page268:tag2:entity5:key00000005:ref4:ord0;page274:tag2:entity5:key00000005:ref4:ord0;page280:tag2:entity5:key00000005:ref4:ord0;page286:tag2:entity5:key00000005:ref4:ord0;page298:tag2:entity5:key00000005:ref4:ord0;page304:tag2:entity5:key00000005:ref4:ord0;page310:tag2:entity5:key00000005:ref4:ord0;page316:tag2:entity5:key00000005:ref4:ord0;page328:tag2:entity5:key00000005:ref4:ord0;page334:tag3:entity5:key00000005:ref4:ord0;page340:tag2:entity5:key00000005:ref4:ord0,了解 敵はまだ近くにいるはずだ 探し出せ！,了解 警戒強化にあたれ,了解 増援を送る 警戒を強化せよ,,收到 加强警戒,,MATCH,31,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=JPN_PRIMARY;AUX_CONFIRMED
5DB9708C,5,5,5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5,38,,page76:tag2:entity4:key00000004:ref5:ord0;page82:tag1:entity4:key00000004:ref5:ord0;page88:tag3:entity4:key00000004:ref5:ord0;page94:tag2:entity4:key00000004:ref5:ord0;page100:tag2:entity4:key00000004:ref5:ord0;page106:tag2:entity4:key00000004:ref5:ord0;page112:tag2:entity4:key00000004:ref5:ord0;page118:tag2:entity4:key00000004:ref5:ord0;page124:tag2:entity4:key00000004:ref5:ord0;page130:tag1:entity4:key00000004:ref5:ord0;page136:tag1:entity4:key00000004:ref5:ord0;page142:tag1:entity4:key00000004:ref5:ord0;page148:tag2:entity4:key00000004:ref5:ord0;page154:tag3:entity4:key00000004:ref5:ord0;page160:tag1:entity4:key00000004:ref5:ord0;page166:tag1:entity4:key00000004:ref5:ord0;page172:tag2:entity4:key00000004:ref5:ord0;page178:tag2:entity4:key00000004:ref5:ord0;page184:tag2:entity4:key00000004:ref5:ord0;page202:tag2:entity4:key00000004:ref5:ord0;page208:tag2:entity4:key00000004:ref5:ord0;page214:tag1:entity4:key00000004:ref5:ord0;page220:tag2:entity4:key00000004:ref5:ord0;page226:tag2:entity4:key00000004:ref5:ord0;page232:tag2:entity4:key00000004:ref5:ord0;page244:tag2:entity4:key00000004:ref5:ord0;page250:tag2:entity4:key00000004:ref5:ord0;page268:tag2:entity4:key00000004:ref5:ord0;page274:tag2:entity4:key00000004:ref5:ord0;page280:tag2:entity4:key00000004:ref5:ord0;page286:tag2:entity4:key00000004:ref5:ord0;page298:tag2:entity4:key00000004:ref5:ord0;page304:tag2:entity4:key00000004:ref5:ord0;page310:tag2:entity4:key00000004:ref5:ord0;page316:tag2:entity4:key00000004:ref5:ord0;page328:tag2:entity4:key00000004:ref5:ord0;page334:tag3:entity4:key00000004:ref5:ord0;page340:tag2:entity4:key00000004:ref5:ord0,了解 警戒強化にあたれ,了解 増援を送る 警戒を強化せよ,了解 敵を殲滅せよ,,收到 派出增援 加强警戒,,MATCH,44,32,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=JPN_PRIMARY;AUX_CONFIRMED
5DB9708C,6,6,6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6,38,,page76:tag2:entity3:key00000003:ref6:ord0;page82:tag1:entity3:key00000003:ref6:ord0;page88:tag3:entity3:key00000003:ref6:ord0;page94:tag2:entity3:key00000003:ref6:ord0;page100:tag2:entity3:key00000003:ref6:ord0;page106:tag2:entity3:key00000003:ref6:ord0;page112:tag2:entity3:key00000003:ref6:ord0;page118:tag2:entity3:key00000003:ref6:ord0;page124:tag2:entity3:key00000003:ref6:ord0;page130:tag1:entity3:key00000003:ref6:ord0;page136:tag1:entity3:key00000003:ref6:ord0;page142:tag1:entity3:key00000003:ref6:ord0;page148:tag2:entity3:key00000003:ref6:ord0;page154:tag3:entity3:key00000003:ref6:ord0;page160:tag1:entity3:key00000003:ref6:ord0;page166:tag1:entity3:key00000003:ref6:ord0;page172:tag2:entity3:key00000003:ref6:ord0;page178:tag2:entity3:key00000003:ref6:ord0;page184:tag2:entity3:key00000003:ref6:ord0;page202:tag2:entity3:key00000003:ref6:ord0;page208:tag2:entity3:key00000003:ref6:ord0;page214:tag1:entity3:key00000003:ref6:ord0;page220:tag2:entity3:key00000003:ref6:ord0;page226:tag2:entity3:key00000003:ref6:ord0;page232:tag2:entity3:key00000003:ref6:ord0;page244:tag2:entity3:key00000003:ref6:ord0;page250:tag2:entity3:key00000003:ref6:ord0;page268:tag2:entity3:key00000003:ref6:ord0;page274:tag2:entity3:key00000003:ref6:ord0;page280:tag2:entity3:key00000003:ref6:ord0;page286:tag2:entity3:key00000003:ref6:ord0;page298:tag2:entity3:key00000003:ref6:ord0;page304:tag2:entity3:key00000003:ref6:ord0;page310:tag2:entity3:key00000003:ref6:ord0;page316:tag2:entity3:key00000003:ref6:ord0;page328:tag2:entity3:key00000003:ref6:ord0;page334:tag3:entity3:key00000003:ref6:ord0;page340:tag2:entity3:key00000003:ref6:ord0,了解 増援を送る 警戒を強化せよ,了解 敵を殲滅せよ,"<R=増援は出せない,ネガティブ> 現有戦力で対処せよ",,收到 歼灭敌人,,MATCH,25,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=JPN_PRIMARY;AUX_CONFIRMED
5DB9708C,7,7,7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7,38,,page76:tag2:entity2:key00000002:ref7:ord0;page82:tag1:entity2:key00000002:ref7:ord0;page88:tag3:entity2:key00000002:ref7:ord0;page94:tag2:entity2:key00000002:ref7:ord0;page100:tag2:entity2:key00000002:ref7:ord0;page106:tag2:entity2:key00000002:ref7:ord0;page112:tag2:entity2:key00000002:ref7:ord0;page118:tag2:entity2:key00000002:ref7:ord0;page124:tag2:entity2:key00000002:ref7:ord0;page130:tag1:entity2:key00000002:ref7:ord0;page136:tag1:entity2:key00000002:ref7:ord0;page142:tag1:entity2:key00000002:ref7:ord0;page148:tag2:entity2:key00000002:ref7:ord0;page154:tag3:entity2:key00000002:ref7:ord0;page160:tag1:entity2:key00000002:ref7:ord0;page166:tag1:entity2:key00000002:ref7:ord0;page172:tag2:entity2:key00000002:ref7:ord0;page178:tag2:entity2:key00000002:ref7:ord0;page184:tag2:entity2:key00000002:ref7:ord0;page202:tag2:entity2:key00000002:ref7:ord0;page208:tag2:entity2:key00000002:ref7:ord0;page214:tag1:entity2:key00000002:ref7:ord0;page220:tag2:entity2:key00000002:ref7:ord0;page226:tag2:entity2:key00000002:ref7:ord0;page232:tag2:entity2:key00000002:ref7:ord0;page244:tag2:entity2:key00000002:ref7:ord0;page250:tag2:entity2:key00000002:ref7:ord0;page268:tag2:entity2:key00000002:ref7:ord0;page274:tag2:entity2:key00000002:ref7:ord0;page280:tag2:entity2:key00000002:ref7:ord0;page286:tag2:entity2:key00000002:ref7:ord0;page298:tag2:entity2:key00000002:ref7:ord0;page304:tag2:entity2:key00000002:ref7:ord0;page310:tag2:entity2:key00000002:ref7:ord0;page316:tag2:entity2:key00000002:ref7:ord0;page328:tag2:entity2:key00000002:ref7:ord0;page334:tag3:entity2:key00000002:ref7:ord0;page340:tag2:entity2:key00000002:ref7:ord0,了解 敵を殲滅せよ,"<R=増援は出せない,ネガティブ> 現有戦力で対処せよ",直ちに警戒を強化せよ,"<R=増援は出せない,ネガティブ>","<R=无法派出增援,NEGATIVE> 用现有战力处理","<R=无法派出增援,NEGATIVE>",MATCH,69,53,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=JPN_PRIMARY;RUBY_PRESERVED
5DB9708C,8,8,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,38,,page76:tag2:entity19:key00000013:ref8:ord0;page82:tag1:entity19:key00000013:ref8:ord0;page88:tag3:entity19:key00000013:ref8:ord0;page94:tag2:entity19:key00000013:ref8:ord0;page100:tag2:entity19:key00000013:ref8:ord0;page106:tag2:entity19:key00000013:ref8:ord0;page112:tag2:entity19:key00000013:ref8:ord0;page118:tag2:entity19:key00000013:ref8:ord0;page124:tag2:entity19:key00000013:ref8:ord0;page130:tag1:entity19:key00000013:ref8:ord0;page136:tag1:entity19:key00000013:ref8:ord0;page142:tag1:entity19:key00000013:ref8:ord0;page148:tag2:entity19:key00000013:ref8:ord0;page154:tag3:entity19:key00000013:ref8:ord0;page160:tag1:entity19:key00000013:ref8:ord0;page166:tag1:entity19:key00000013:ref8:ord0;page172:tag2:entity19:key00000013:ref8:ord0;page178:tag2:entity19:key00000013:ref8:ord0;page184:tag2:entity19:key00000013:ref8:ord0;page202:tag2:entity19:key00000013:ref8:ord0;page208:tag2:entity19:key00000013:ref8:ord0;page214:tag1:entity19:key00000013:ref8:ord0;page220:tag2:entity19:key00000013:ref8:ord0;page226:tag2:entity19:key00000013:ref8:ord0;page232:tag2:entity19:key00000013:ref8:ord0;page244:tag2:entity19:key00000013:ref8:ord0;page250:tag2:entity19:key00000013:ref8:ord0;page268:tag2:entity19:key00000013:ref8:ord0;page274:tag2:entity19:key00000013:ref8:ord0;page280:tag2:entity19:key00000013:ref8:ord0;page286:tag2:entity19:key00000013:ref8:ord0;page298:tag2:entity19:key00000013:ref8:ord0;page304:tag2:entity19:key00000013:ref8:ord0;page310:tag2:entity19:key00000013:ref8:ord0;page316:tag2:entity19:key00000013:ref8:ord0;page328:tag2:entity19:key00000013:ref8:ord0;page334:tag3:entity19:key00000013:ref8:ord0;page340:tag2:entity19:key00000013:ref8:ord0,"<R=増援は出せない,ネガティブ> 現有戦力で対処せよ",直ちに警戒を強化せよ,発見し次第攻撃せよ,,立即加强警戒,,MATCH,30,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=JPN_PRIMARY;AUX_CONFIRMED
5DB9708C,9,9,9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9,38,,page76:tag2:entity18:key00000012:ref9:ord0;page82:tag1:entity18:key00000012:ref9:ord0;page88:tag3:entity18:key00000012:ref9:ord0;page94:tag2:entity18:key00000012:ref9:ord0;page100:tag2:entity18:key00000012:ref9:ord0;page106:tag2:entity18:key00000012:ref9:ord0;page112:tag2:entity18:key00000012:ref9:ord0;page118:tag2:entity18:key00000012:ref9:ord0;page124:tag2:entity18:key00000012:ref9:ord0;page130:tag1:entity18:key00000012:ref9:ord0;page136:tag1:entity18:key00000012:ref9:ord0;page142:tag1:entity18:key00000012:ref9:ord0;page148:tag2:entity18:key00000012:ref9:ord0;page154:tag3:entity18:key00000012:ref9:ord0;page160:tag1:entity18:key00000012:ref9:ord0;page166:tag1:entity18:key00000012:ref9:ord0;page172:tag2:entity18:key00000012:ref9:ord0;page178:tag2:entity18:key00000012:ref9:ord0;page184:tag2:entity18:key00000012:ref9:ord0;page202:tag2:entity18:key00000012:ref9:ord0;page208:tag2:entity18:key00000012:ref9:ord0;page214:tag1:entity18:key00000012:ref9:ord0;page220:tag2:entity18:key00000012:ref9:ord0;page226:tag2:entity18:key00000012:ref9:ord0;page232:tag2:entity18:key00000012:ref9:ord0;page244:tag2:entity18:key00000012:ref9:ord0;page250:tag2:entity18:key00000012:ref9:ord0;page268:tag2:entity18:key00000012:ref9:ord0;page274:tag2:entity18:key00000012:ref9:ord0;page280:tag2:entity18:key00000012:ref9:ord0;page286:tag2:entity18:key00000012:ref9:ord0;page298:tag2:entity18:key00000012:ref9:ord0;page304:tag2:entity18:key00000012:ref9:ord0;page310:tag2:entity18:key00000012:ref9:ord0;page316:tag2:entity18:key00000012:ref9:ord0;page328:tag2:entity18:key00000012:ref9:ord0;page334:tag3:entity18:key00000012:ref9:ord0;page340:tag2:entity18:key00000012:ref9:ord0,直ちに警戒を強化せよ,発見し次第攻撃せよ,侵入者がそちらへ向かっている,,发现后立即攻击,,MATCH,27,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=JPN_PRIMARY;AUX_CONFIRMED
