file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D81443C,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,38,,page76:tag17:entity91:key000026AC:ref0:ord0;page82:tag8:entity91:key000026AC:ref0:ord0;page88:tag13:entity91:key000026AC:ref0:ord0;page94:tag13:entity91:key000026AC:ref0:ord0;page100:tag12:entity91:key000026AC:ref0:ord0;page106:tag11:entity91:key000026AC:ref0:ord0;page112:tag10:entity91:key000026AC:ref0:ord0;page118:tag12:entity91:key000026AC:ref0:ord0;page124:tag10:entity91:key000026AC:ref0:ord0;page130:tag12:entity91:key000026AC:ref0:ord0;page136:tag11:entity91:key000026AC:ref0:ord0;page142:tag11:entity91:key000026AC:ref0:ord0;page148:tag10:entity91:key000026AC:ref0:ord0;page154:tag11:entity91:key000026AC:ref0:ord0;page160:tag10:entity91:key000026AC:ref0:ord0;page166:tag10:entity91:key000026AC:ref0:ord0;page172:tag12:entity91:key000026AC:ref0:ord0;page178:tag10:entity91:key000026AC:ref0:ord0;page184:tag10:entity91:key000026AC:ref0:ord0;page202:tag10:entity91:key000026AC:ref0:ord0;page208:tag10:entity91:key000026AC:ref0:ord0;page214:tag11:entity91:key000026AC:ref0:ord0;page220:tag13:entity91:key000026AC:ref0:ord0;page226:tag10:entity91:key000026AC:ref0:ord0;page232:tag12:entity91:key000026AC:ref0:ord0;page244:tag10:entity91:key000026AC:ref0:ord0;page250:tag13:entity91:key000026AC:ref0:ord0;page268:tag10:entity91:key000026AC:ref0:ord0;page274:tag10:entity91:key000026AC:ref0:ord0;page280:tag11:entity91:key000026AC:ref0:ord0;page286:tag11:entity91:key000026AC:ref0:ord0;page298:tag12:entity91:key000026AC:ref0:ord0;page304:tag10:entity91:key000026AC:ref0:ord0;page310:tag12:entity91:key000026AC:ref0:ord0;page316:tag10:entity91:key000026AC:ref0:ord0;page328:tag10:entity91:key000026AC:ref0:ord0;page334:tag13:entity91:key000026AC:ref0:ord0;page340:tag13:entity91:key000026AC:ref0:ord0,,俺は…き 恐竜を見たことがあるんだ…,２人なら登れる場所がある…,,我、我见过恐龙…,,MATCH,52,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=WEB_TRANSLATED_PENDING_CODEX_CHECK
5D81443C,1,2,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,38,,page76:tag17:entity90:key00002580:ref2:ord0;page82:tag8:entity90:key00002580:ref2:ord0;page88:tag13:entity90:key00002580:ref2:ord0;page94:tag13:entity90:key00002580:ref2:ord0;page100:tag12:entity90:key00002580:ref2:ord0;page106:tag11:entity90:key00002580:ref2:ord0;page112:tag10:entity90:key00002580:ref2:ord0;page118:tag12:entity90:key00002580:ref2:ord0;page124:tag10:entity90:key00002580:ref2:ord0;page130:tag12:entity90:key00002580:ref2:ord0;page136:tag11:entity90:key00002580:ref2:ord0;page142:tag11:entity90:key00002580:ref2:ord0;page148:tag10:entity90:key00002580:ref2:ord0;page154:tag11:entity90:key00002580:ref2:ord0;page160:tag10:entity90:key00002580:ref2:ord0;page166:tag10:entity90:key00002580:ref2:ord0;page172:tag12:entity90:key00002580:ref2:ord0;page178:tag10:entity90:key00002580:ref2:ord0;page184:tag10:entity90:key00002580:ref2:ord0;page202:tag10:entity90:key00002580:ref2:ord0;page208:tag10:entity90:key00002580:ref2:ord0;page214:tag11:entity90:key00002580:ref2:ord0;page220:tag13:entity90:key00002580:ref2:ord0;page226:tag10:entity90:key00002580:ref2:ord0;page232:tag12:entity90:key00002580:ref2:ord0;page244:tag10:entity90:key00002580:ref2:ord0;page250:tag13:entity90:key00002580:ref2:ord0;page268:tag10:entity90:key00002580:ref2:ord0;page274:tag10:entity90:key00002580:ref2:ord0;page280:tag11:entity90:key00002580:ref2:ord0;page286:tag11:entity90:key00002580:ref2:ord0;page298:tag12:entity90:key00002580:ref2:ord0;page304:tag10:entity90:key00002580:ref2:ord0;page310:tag12:entity90:key00002580:ref2:ord0;page316:tag10:entity90:key00002580:ref2:ord0;page328:tag10:entity90:key00002580:ref2:ord0;page334:tag13:entity90:key00002580:ref2:ord0;page340:tag13:entity90:key00002580:ref2:ord0,俺は…き 恐竜を見たことがあるんだ…,２人なら登れる場所がある…,吊り橋はぶら下がれる…,,有些地方两个人才能爬上去…,,MATCH,39,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=WEB_TRANSLATED_PENDING_CODEX_CHECK
5D81443C,2,4,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,38,,page76:tag17:entity89:key0000251C:ref4:ord0;page82:tag8:entity89:key0000251C:ref4:ord0;page88:tag13:entity89:key0000251C:ref4:ord0;page94:tag13:entity89:key0000251C:ref4:ord0;page100:tag12:entity89:key0000251C:ref4:ord0;page106:tag11:entity89:key0000251C:ref4:ord0;page112:tag10:entity89:key0000251C:ref4:ord0;page118:tag12:entity89:key0000251C:ref4:ord0;page124:tag10:entity89:key0000251C:ref4:ord0;page130:tag12:entity89:key0000251C:ref4:ord0;page136:tag11:entity89:key0000251C:ref4:ord0;page142:tag11:entity89:key0000251C:ref4:ord0;page148:tag10:entity89:key0000251C:ref4:ord0;page154:tag11:entity89:key0000251C:ref4:ord0;page160:tag10:entity89:key0000251C:ref4:ord0;page166:tag10:entity89:key0000251C:ref4:ord0;page172:tag12:entity89:key0000251C:ref4:ord0;page178:tag10:entity89:key0000251C:ref4:ord0;page184:tag10:entity89:key0000251C:ref4:ord0;page202:tag10:entity89:key0000251C:ref4:ord0;page208:tag10:entity89:key0000251C:ref4:ord0;page214:tag11:entity89:key0000251C:ref4:ord0;page220:tag13:entity89:key0000251C:ref4:ord0;page226:tag10:entity89:key0000251C:ref4:ord0;page232:tag12:entity89:key0000251C:ref4:ord0;page244:tag10:entity89:key0000251C:ref4:ord0;page250:tag13:entity89:key0000251C:ref4:ord0;page268:tag10:entity89:key0000251C:ref4:ord0;page274:tag10:entity89:key0000251C:ref4:ord0;page280:tag11:entity89:key0000251C:ref4:ord0;page286:tag11:entity89:key0000251C:ref4:ord0;page298:tag12:entity89:key0000251C:ref4:ord0;page304:tag10:entity89:key0000251C:ref4:ord0;page310:tag12:entity89:key0000251C:ref4:ord0;page316:tag10:entity89:key0000251C:ref4:ord0;page328:tag10:entity89:key0000251C:ref4:ord0;page334:tag13:entity89:key0000251C:ref4:ord0;page340:tag13:entity89:key0000251C:ref4:ord0,２人なら登れる場所がある…,吊り橋はぶら下がれる…,…という可能性がある！,,吊桥是可以挂在下面的…,,MATCH,33,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=WEB_TRANSLATED_PENDING_CODEX_CHECK
5D81443C,3,6,6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6,38,,page76:tag17:entity88:key000024B8:ref6:ord0;page82:tag8:entity88:key000024B8:ref6:ord0;page88:tag13:entity88:key000024B8:ref6:ord0;page94:tag13:entity88:key000024B8:ref6:ord0;page100:tag12:entity88:key000024B8:ref6:ord0;page106:tag11:entity88:key000024B8:ref6:ord0;page112:tag10:entity88:key000024B8:ref6:ord0;page118:tag12:entity88:key000024B8:ref6:ord0;page124:tag10:entity88:key000024B8:ref6:ord0;page130:tag12:entity88:key000024B8:ref6:ord0;page136:tag11:entity88:key000024B8:ref6:ord0;page142:tag11:entity88:key000024B8:ref6:ord0;page148:tag10:entity88:key000024B8:ref6:ord0;page154:tag11:entity88:key000024B8:ref6:ord0;page160:tag10:entity88:key000024B8:ref6:ord0;page166:tag10:entity88:key000024B8:ref6:ord0;page172:tag12:entity88:key000024B8:ref6:ord0;page178:tag10:entity88:key000024B8:ref6:ord0;page184:tag10:entity88:key000024B8:ref6:ord0;page202:tag10:entity88:key000024B8:ref6:ord0;page208:tag10:entity88:key000024B8:ref6:ord0;page214:tag11:entity88:key000024B8:ref6:ord0;page220:tag13:entity88:key000024B8:ref6:ord0;page226:tag10:entity88:key000024B8:ref6:ord0;page232:tag12:entity88:key000024B8:ref6:ord0;page244:tag10:entity88:key000024B8:ref6:ord0;page250:tag13:entity88:key000024B8:ref6:ord0;page268:tag10:entity88:key000024B8:ref6:ord0;page274:tag10:entity88:key000024B8:ref6:ord0;page280:tag11:entity88:key000024B8:ref6:ord0;page286:tag11:entity88:key000024B8:ref6:ord0;page298:tag12:entity88:key000024B8:ref6:ord0;page304:tag10:entity88:key000024B8:ref6:ord0;page310:tag12:entity88:key000024B8:ref6:ord0;page316:tag10:entity88:key000024B8:ref6:ord0;page328:tag10:entity88:key000024B8:ref6:ord0;page334:tag13:entity88:key000024B8:ref6:ord0;page340:tag13:entity88:key000024B8:ref6:ord0,吊り橋はぶら下がれる…,…という可能性がある！,…かもしれない,,…有这种可能！,,MATCH,33,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=WEB_TRANSLATED_PENDING_CODEX_CHECK
5D81443C,4,8,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,38,,page76:tag17:entity87:key00002454:ref8:ord0;page82:tag8:entity87:key00002454:ref8:ord0;page88:tag13:entity87:key00002454:ref8:ord0;page94:tag13:entity87:key00002454:ref8:ord0;page100:tag12:entity87:key00002454:ref8:ord0;page106:tag11:entity87:key00002454:ref8:ord0;page112:tag10:entity87:key00002454:ref8:ord0;page118:tag12:entity87:key00002454:ref8:ord0;page124:tag10:entity87:key00002454:ref8:ord0;page130:tag12:entity87:key00002454:ref8:ord0;page136:tag11:entity87:key00002454:ref8:ord0;page142:tag11:entity87:key00002454:ref8:ord0;page148:tag10:entity87:key00002454:ref8:ord0;page154:tag11:entity87:key00002454:ref8:ord0;page160:tag10:entity87:key00002454:ref8:ord0;page166:tag10:entity87:key00002454:ref8:ord0;page172:tag12:entity87:key00002454:ref8:ord0;page178:tag10:entity87:key00002454:ref8:ord0;page184:tag10:entity87:key00002454:ref8:ord0;page202:tag10:entity87:key00002454:ref8:ord0;page208:tag10:entity87:key00002454:ref8:ord0;page214:tag11:entity87:key00002454:ref8:ord0;page220:tag13:entity87:key00002454:ref8:ord0;page226:tag10:entity87:key00002454:ref8:ord0;page232:tag12:entity87:key00002454:ref8:ord0;page244:tag10:entity87:key00002454:ref8:ord0;page250:tag13:entity87:key00002454:ref8:ord0;page268:tag10:entity87:key00002454:ref8:ord0;page274:tag10:entity87:key00002454:ref8:ord0;page280:tag11:entity87:key00002454:ref8:ord0;page286:tag11:entity87:key00002454:ref8:ord0;page298:tag12:entity87:key00002454:ref8:ord0;page304:tag10:entity87:key00002454:ref8:ord0;page310:tag12:entity87:key00002454:ref8:ord0;page316:tag10:entity87:key00002454:ref8:ord0;page328:tag10:entity87:key00002454:ref8:ord0;page334:tag13:entity87:key00002454:ref8:ord0;page340:tag13:entity87:key00002454:ref8:ord0,…という可能性がある！,…かもしれない,俺には…特殊な能力がある…！,,…也许吧,,MATCH,21,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=WEB_TRANSLATED_PENDING_CODEX_CHECK
5D81443C,5,10,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10,38,,page76:tag17:entity86:key0000238C:ref10:ord0;page82:tag8:entity86:key0000238C:ref10:ord0;page88:tag13:entity86:key0000238C:ref10:ord0;page94:tag13:entity86:key0000238C:ref10:ord0;page100:tag12:entity86:key0000238C:ref10:ord0;page106:tag11:entity86:key0000238C:ref10:ord0;page112:tag10:entity86:key0000238C:ref10:ord0;page118:tag12:entity86:key0000238C:ref10:ord0;page124:tag10:entity86:key0000238C:ref10:ord0;page130:tag12:entity86:key0000238C:ref10:ord0;page136:tag11:entity86:key0000238C:ref10:ord0;page142:tag11:entity86:key0000238C:ref10:ord0;page148:tag10:entity86:key0000238C:ref10:ord0;page154:tag11:entity86:key0000238C:ref10:ord0;page160:tag10:entity86:key0000238C:ref10:ord0;page166:tag10:entity86:key0000238C:ref10:ord0;page172:tag12:entity86:key0000238C:ref10:ord0;page178:tag10:entity86:key0000238C:ref10:ord0;page184:tag10:entity86:key0000238C:ref10:ord0;page202:tag10:entity86:key0000238C:ref10:ord0;page208:tag10:entity86:key0000238C:ref10:ord0;page214:tag11:entity86:key0000238C:ref10:ord0;page220:tag13:entity86:key0000238C:ref10:ord0;page226:tag10:entity86:key0000238C:ref10:ord0;page232:tag12:entity86:key0000238C:ref10:ord0;page244:tag10:entity86:key0000238C:ref10:ord0;page250:tag13:entity86:key0000238C:ref10:ord0;page268:tag10:entity86:key0000238C:ref10:ord0;page274:tag10:entity86:key0000238C:ref10:ord0;page280:tag11:entity86:key0000238C:ref10:ord0;page286:tag11:entity86:key0000238C:ref10:ord0;page298:tag12:entity86:key0000238C:ref10:ord0;page304:tag10:entity86:key0000238C:ref10:ord0;page310:tag12:entity86:key0000238C:ref10:ord0;page316:tag10:entity86:key0000238C:ref10:ord0;page328:tag10:entity86:key0000238C:ref10:ord0;page334:tag13:entity86:key0000238C:ref10:ord0;page340:tag13:entity86:key0000238C:ref10:ord0,…かもしれない,俺には…特殊な能力がある…！,…南東の部屋にいる,,我…有特殊能力…！,,MATCH,42,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=WEB_TRANSLATED_PENDING_CODEX_CHECK
5D81443C,6,12,12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12,38,,page76:tag17:entity8:key00000384:ref12:ord0;page82:tag8:entity8:key00000384:ref12:ord0;page88:tag13:entity8:key00000384:ref12:ord0;page94:tag13:entity8:key00000384:ref12:ord0;page100:tag12:entity8:key00000384:ref12:ord0;page106:tag11:entity8:key00000384:ref12:ord0;page112:tag10:entity8:key00000384:ref12:ord0;page118:tag12:entity8:key00000384:ref12:ord0;page124:tag10:entity8:key00000384:ref12:ord0;page130:tag12:entity8:key00000384:ref12:ord0;page136:tag11:entity8:key00000384:ref12:ord0;page142:tag11:entity8:key00000384:ref12:ord0;page148:tag10:entity8:key00000384:ref12:ord0;page154:tag11:entity8:key00000384:ref12:ord0;page160:tag10:entity8:key00000384:ref12:ord0;page166:tag10:entity8:key00000384:ref12:ord0;page172:tag12:entity8:key00000384:ref12:ord0;page178:tag10:entity8:key00000384:ref12:ord0;page184:tag10:entity8:key00000384:ref12:ord0;page202:tag10:entity8:key00000384:ref12:ord0;page208:tag10:entity8:key00000384:ref12:ord0;page214:tag11:entity8:key00000384:ref12:ord0;page220:tag13:entity8:key00000384:ref12:ord0;page226:tag10:entity8:key00000384:ref12:ord0;page232:tag12:entity8:key00000384:ref12:ord0;page244:tag10:entity8:key00000384:ref12:ord0;page250:tag13:entity8:key00000384:ref12:ord0;page268:tag10:entity8:key00000384:ref12:ord0;page274:tag10:entity8:key00000384:ref12:ord0;page280:tag11:entity8:key00000384:ref12:ord0;page286:tag11:entity8:key00000384:ref12:ord0;page298:tag12:entity8:key00000384:ref12:ord0;page304:tag10:entity8:key00000384:ref12:ord0;page310:tag12:entity8:key00000384:ref12:ord0;page316:tag10:entity8:key00000384:ref12:ord0;page328:tag10:entity8:key00000384:ref12:ord0;page334:tag13:entity8:key00000384:ref12:ord0;page340:tag13:entity8:key00000384:ref12:ord0,俺には…特殊な能力がある…！,…南東の部屋にいる,俺と組め 天下を取ろうぜ…,,…在东南边的房间里,,MATCH,27,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=WEB_TRANSLATED_PENDING_CODEX_CHECK
5D81443C,7,14,14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14,38,,page76:tag17:entity85:key000022C4:ref14:ord0;page82:tag8:entity85:key000022C4:ref14:ord0;page88:tag13:entity85:key000022C4:ref14:ord0;page94:tag13:entity85:key000022C4:ref14:ord0;page100:tag12:entity85:key000022C4:ref14:ord0;page106:tag11:entity85:key000022C4:ref14:ord0;page112:tag10:entity85:key000022C4:ref14:ord0;page118:tag12:entity85:key000022C4:ref14:ord0;page124:tag10:entity85:key000022C4:ref14:ord0;page130:tag12:entity85:key000022C4:ref14:ord0;page136:tag11:entity85:key000022C4:ref14:ord0;page142:tag11:entity85:key000022C4:ref14:ord0;page148:tag10:entity85:key000022C4:ref14:ord0;page154:tag11:entity85:key000022C4:ref14:ord0;page160:tag10:entity85:key000022C4:ref14:ord0;page166:tag10:entity85:key000022C4:ref14:ord0;page172:tag12:entity85:key000022C4:ref14:ord0;page178:tag10:entity85:key000022C4:ref14:ord0;page184:tag10:entity85:key000022C4:ref14:ord0;page202:tag10:entity85:key000022C4:ref14:ord0;page208:tag10:entity85:key000022C4:ref14:ord0;page214:tag11:entity85:key000022C4:ref14:ord0;page220:tag13:entity85:key000022C4:ref14:ord0;page226:tag10:entity85:key000022C4:ref14:ord0;page232:tag12:entity85:key000022C4:ref14:ord0;page244:tag10:entity85:key000022C4:ref14:ord0;page250:tag13:entity85:key000022C4:ref14:ord0;page268:tag10:entity85:key000022C4:ref14:ord0;page274:tag10:entity85:key000022C4:ref14:ord0;page280:tag11:entity85:key000022C4:ref14:ord0;page286:tag11:entity85:key000022C4:ref14:ord0;page298:tag12:entity85:key000022C4:ref14:ord0;page304:tag10:entity85:key000022C4:ref14:ord0;page310:tag12:entity85:key000022C4:ref14:ord0;page316:tag10:entity85:key000022C4:ref14:ord0;page328:tag10:entity85:key000022C4:ref14:ord0;page334:tag13:entity85:key000022C4:ref14:ord0;page340:tag13:entity85:key000022C4:ref14:ord0,…南東の部屋にいる,俺と組め 天下を取ろうぜ…,な…仲間にしてくれ！,,跟我联手吧 一起夺取天下…,,MATCH,37,37,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=WEB_TRANSLATED_PENDING_CODEX_CHECK
5D81443C,8,16,16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,38,,page76:tag17:entity84:key00002260:ref16:ord0;page82:tag8:entity84:key00002260:ref16:ord0;page88:tag13:entity84:key00002260:ref16:ord0;page94:tag13:entity84:key00002260:ref16:ord0;page100:tag12:entity84:key00002260:ref16:ord0;page106:tag11:entity84:key00002260:ref16:ord0;page112:tag10:entity84:key00002260:ref16:ord0;page118:tag12:entity84:key00002260:ref16:ord0;page124:tag10:entity84:key00002260:ref16:ord0;page130:tag12:entity84:key00002260:ref16:ord0;page136:tag11:entity84:key00002260:ref16:ord0;page142:tag11:entity84:key00002260:ref16:ord0;page148:tag10:entity84:key00002260:ref16:ord0;page154:tag11:entity84:key00002260:ref16:ord0;page160:tag10:entity84:key00002260:ref16:ord0;page166:tag10:entity84:key00002260:ref16:ord0;page172:tag12:entity84:key00002260:ref16:ord0;page178:tag10:entity84:key00002260:ref16:ord0;page184:tag10:entity84:key00002260:ref16:ord0;page202:tag10:entity84:key00002260:ref16:ord0;page208:tag10:entity84:key00002260:ref16:ord0;page214:tag11:entity84:key00002260:ref16:ord0;page220:tag13:entity84:key00002260:ref16:ord0;page226:tag10:entity84:key00002260:ref16:ord0;page232:tag12:entity84:key00002260:ref16:ord0;page244:tag10:entity84:key00002260:ref16:ord0;page250:tag13:entity84:key00002260:ref16:ord0;page268:tag10:entity84:key00002260:ref16:ord0;page274:tag10:entity84:key00002260:ref16:ord0;page280:tag11:entity84:key00002260:ref16:ord0;page286:tag11:entity84:key00002260:ref16:ord0;page298:tag12:entity84:key00002260:ref16:ord0;page304:tag10:entity84:key00002260:ref16:ord0;page310:tag12:entity84:key00002260:ref16:ord0;page316:tag10:entity84:key00002260:ref16:ord0;page328:tag10:entity84:key00002260:ref16:ord0;page334:tag13:entity84:key00002260:ref16:ord0;page340:tag13:entity84:key00002260:ref16:ord0,俺と組め 天下を取ろうぜ…,な…仲間にしてくれ！,あんたなら 仲間になってもいい,,让、让我加入你们吧！,,MATCH,30,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=WEB_TRANSLATED_PENDING_CODEX_CHECK
5D81443C,9,18,18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18,38,,page76:tag17:entity83:key000021FC:ref18:ord0;page82:tag8:entity83:key000021FC:ref18:ord0;page88:tag13:entity83:key000021FC:ref18:ord0;page94:tag13:entity83:key000021FC:ref18:ord0;page100:tag12:entity83:key000021FC:ref18:ord0;page106:tag11:entity83:key000021FC:ref18:ord0;page112:tag10:entity83:key000021FC:ref18:ord0;page118:tag12:entity83:key000021FC:ref18:ord0;page124:tag10:entity83:key000021FC:ref18:ord0;page130:tag12:entity83:key000021FC:ref18:ord0;page136:tag11:entity83:key000021FC:ref18:ord0;page142:tag11:entity83:key000021FC:ref18:ord0;page148:tag10:entity83:key000021FC:ref18:ord0;page154:tag11:entity83:key000021FC:ref18:ord0;page160:tag10:entity83:key000021FC:ref18:ord0;page166:tag10:entity83:key000021FC:ref18:ord0;page172:tag12:entity83:key000021FC:ref18:ord0;page178:tag10:entity83:key000021FC:ref18:ord0;page184:tag10:entity83:key000021FC:ref18:ord0;page202:tag10:entity83:key000021FC:ref18:ord0;page208:tag10:entity83:key000021FC:ref18:ord0;page214:tag11:entity83:key000021FC:ref18:ord0;page220:tag13:entity83:key000021FC:ref18:ord0;page226:tag10:entity83:key000021FC:ref18:ord0;page232:tag12:entity83:key000021FC:ref18:ord0;page244:tag10:entity83:key000021FC:ref18:ord0;page250:tag13:entity83:key000021FC:ref18:ord0;page268:tag10:entity83:key000021FC:ref18:ord0;page274:tag10:entity83:key000021FC:ref18:ord0;page280:tag11:entity83:key000021FC:ref18:ord0;page286:tag11:entity83:key000021FC:ref18:ord0;page298:tag12:entity83:key000021FC:ref18:ord0;page304:tag10:entity83:key000021FC:ref18:ord0;page310:tag12:entity83:key000021FC:ref18:ord0;page316:tag10:entity83:key000021FC:ref18:ord0;page328:tag10:entity83:key000021FC:ref18:ord0;page334:tag13:entity83:key000021FC:ref18:ord0;page340:tag13:entity83:key000021FC:ref18:ord0,な…仲間にしてくれ！,あんたなら 仲間になってもいい,俺の背後をとるとは…,,如果是你 我愿意加入,,MATCH,43,28,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=38; review_flag=WEB_TRANSLATED_PENDING_CODEX_CHECK
