relative_path,filename,resource_class,source_output,size_bytes,sha256,install_action,runtime_status
mgspw/FONT/001cbbd1.xpr,001cbbd1.xpr,FONT_SMALL,build/rc1/rebuild/fonts/001c_fixture/001cbbd1.xpr,2238492,357f12d313cf3c6b8958311afbff759b77b625a617c12800d682c7f1e1e86ce6,REPLACE,CLEAN_JPN_001C_STOCK_SELF_OWNED_RUNTIME_PROVEN
mgspw/FONT/00c7c9f9.xpr,00c7c9f9.xpr,FONT_LARGE,build/rc1/rebuild/fonts/00c7/runtime_fixture_00c7/00c7c9f9.xpr,16957468,13e226b664572cef36be391c0fb78c46ae334955650f86836a2d5d3b3e1580f5,REPLACE,CLEAN_JPN_00C7_FULL_REBUILD_RUNTIME_PROVEN
mgspw/JPN/disc0_rel/002aba34.DAT,002aba34.DAT,SLOT_DAT,build/rc1/rebuild/unified/mgspw/JPN/disc0_rel/002aba34.DAT,543858688,91eaf50c20c2ce00237a6ec02ffda7e4018c1edb8ab014e5ec27566ef36071d2,REPLACE,CLEAN_JPN_SLOT_REBUILD_PASS
mgspw/JPN/disc0_rel/002aba34.KEY,002aba34.KEY,SLOT_KEY,build/rc1/rebuild/unified/mgspw/JPN/disc0_rel/002aba34.KEY,42792,a156448279a43d386808a650c6c29f6de7210a7fa352af7f08f94b0f4e3f307c,REPLACE,CLEAN_JPN_SLOT_REBUILD_PASS
mgspw/JPN/disc0_rel/0076531d.DAT,0076531d.DAT,BRIEFING_DAT,build/rc1/rebuild/briefing/0076531d.DAT,4142432,c861796bae44eed00849e21cff423bfdb55af081fa96259cd53910427c4c818e,REPLACE,BRIEFING_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/disc0_rel/009645fa.PDT,009645fa.PDT,STAGEDAT,build/rc1/rebuild/stagedat/009645fa.PDT,535195648,ad14d3453b5ca2ae5dc7fde97b6c50bfdf69944760e47919472568e041b64308,REPLACE,STAGEDAT_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/0005ee2f.olang,0005ee2f.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/0005ee2f.olang,8258,6c6b252023cb90b3bca5f373522280770decbde9954c80df14b509a8c4d1a831,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/00225520.olang,00225520.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/00225520.olang,25628,38000e8250f8f3a5d5ceb212ad8480c5a00d7de7df1965a2722641e3899668d6,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/00327f6a.olang,00327f6a.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/00327f6a.olang,1886,5deaaf5a7999d93fc5873bb093e806b461cd1f8977a38b88bee3a436c1d246c7,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/0043da6e.olang,0043da6e.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/0043da6e.olang,9670,ebd29edb50b00761321e9845c850fcc94f7be82b364146fe70a38df793aec2e5,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/005184e3.olang,005184e3.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/005184e3.olang,67136,65d41c67cd5862bdd1edb4c2dac40fa1ad0ad7cf105f5c1c9e363b4978c4cf73,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/0060e2f2.olang,0060e2f2.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/0060e2f2.olang,6468,1ed04c58eb22978080cda60175bc5573cbf5943ecdb05c9c8ddc4ccc9d254116,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/0066e64e.olang,0066e64e.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/0066e64e.olang,47872,a88a98d5e8ab10c528a711e55722289c9366b684a138d7eb77692fbb81561e6c,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/0072f326.olang,0072f326.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/0072f326.olang,25608,73c0e051446fea326bbcb25318b6bb2dd918ef710310873d2f6cf231005b7c31,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/007e2f18.olang,007e2f18.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/007e2f18.olang,373908,3eb5a2379bda249069c443382a392b594b3971c8b231a3479893957a5274e3d3,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/00c6a046.olang,00c6a046.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/00c6a046.olang,2456,955acbf492fb4f76657767ae65457affd9d240eb9fa731abc752f29b66c75787,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/00c79b17.olang,00c79b17.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/00c79b17.olang,13142,c93d59e8e7cc94ea12ffc01cb3f6b5d90a5ed284d981b2631934ba98b3314c20,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/00cb1fb7.olang,00cb1fb7.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/00cb1fb7.olang,32154,d6881e5234b89dbd65e724bedc6a1b98907be04930b61d3d563e2764245bfa8e,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/00d0c740.olang,00d0c740.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/00d0c740.olang,30982,dbd8901aa1f6248830e66dd3f412813c804a54765ff9d9a81946f7ca4cfe1f6d,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
mgspw/JPN/Text/00d345a5.olang,00d345a5.olang,LOOSE_OLANG,build/rc1/rebuild/loose/mgspw/JPN/Text/00d345a5.olang,45398,961ba863af4cc337047cc7ff74592fa3778c36af4f5df19d2ef1f9f9348c7059,REPLACE,LOOSE_OLANG_CLEAN_JPN_REBUILD_PASS
